source_id,image_use,file_sha,x,y,width,height,region,status,notes
S-001,IU-001,efe34892ce,56.31728896324739,161.84304886227346,916.0,286.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-002,IU-002,d088a448b2,75.31718723798713,505.7318529801023,858.0,236.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-003,IU-003,708d42c2dc,200.15062229658088,804.1208096858218,555.0,317.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-004,IU-004,18a5890c25,137.69094321759576,1393.393258469133,834.0,430.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-005,IU-005,91453dc759,57.500152587890625,2046.9899840447806,992.0,382.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-006,IU-006,a3e4b86333,37.83343505859375,2491.323342809429,978.0,290.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-007,IU-007,79b4c062fb,26.666717529296875,2889.1567015740775,997.0,281.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-008,IU-008,bed0299466,10.0,3280.6567015740775,1037.0,288.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-009,IU-009,90ae14730d,1666.9445800781255,290.68850815657515,1012.0,470.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-010,IU-010,4a5fa5a0af,1652.611246744792,845.2440806663408,974.0,332.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-011,IU-011,249ae26369,1634.4445801445308,1228.990210889654,1017.0,376.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-012,IU-012,db65bb4fda,1669.1841546495916,1644.1108150898626,929.0,363.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-013,IU-013,448250b24c,1648.1284828365956,2051.4335777154165,880.0,351.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-014,IU-014,20a12d0c09,1680.3591051614753,2456.409608403371,685.0,482.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-015,IU-015,90a18da117,1654.9297718805656,2974.9280817106674,730.0,482.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-016,IU-016,ff95b9e57f,1604.5093132800616,3530.4836372662076,795.0,482.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-017,IU-017,30ac3f5f45,1563.0120609451628,4086.8958391187016,949.0,434.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-018,IU-018,9dd580df8d,1557.6636272675669,4556.881259334744,950.0,309.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-019,IU-019,70614bc546,1555.4816981127378,4960.320579292126,838.0,290.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-020,IU-020,f0f6bba3bd,1626.126105303716,5302.952226575512,607.0,482.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-021,IU-021,edc0ea5de9,1589.6635162945563,5851.260065709034,886.0,416.0,R02,closed-by-final-v001,Covered by final transcript v001.
