text_id,text,x,y,font_size,sha256,region_id,node_kind,coverage_status,assignment_count
T-001,interlocked vs lock,3458.2717952045095,99.03976201171872,101.06669921874997px,2cd59865e6de6d94300c0119b35c7d3bf02d404c80c988833d64e5a22babdff2,R01,semantic,processed-semantic-transcript,1
T-002,interlocked,239.66997371576872,1123.4532637420746,128.71800952953234px,18828bfc74d15ac8fd0d800c489665227f90808a5003363637f00c8b854bb347,R01,semantic,processed-semantic-transcript,1
T-003,interlocked.read,239.66997371576872,1284.35077565399,128.71800952953234px,6524291ae2030105357eaaa6fcb2cafa79ca1dc4ce33eb3c7bbcbb83197148ca,R01,semantic,processed-semantic-transcript,1
T-004,increment,2583.739566242308,1334.9926182700194,124.88883463541852px,f679230253e596b02442b1ca20083da5efd7bf5dfe48a9814afb6fe8ebe58bc9,R02,semantic,processed-semantic-transcript,1
T-005,exchange,4209.295087889443,1403.8815749757462,124.88883463541852px,ab27b729d9cc4cb1c00960700446924159e9298d0f952aee3d55408b8e0b1b71,R03,semantic,processed-semantic-transcript,1
T-006,decrement,2612.6284212227765,2308.3259516033554,124.88883463541852px,230735e5011976aced5d58b79235c365b729dfa8ad18d67a75d7d2c34d5b5be8,R02,semantic,processed-semantic-transcript,1
T-007,when literally have nothing to do,5909.9495979843805,3059.6906539059537,140.8888346354156px,a4e74482558120acba6d571205d4f5796d7a568a29630d569a3837341294b348,R01,semantic,processed-semantic-transcript,1
T-008,comparexchange,4294.850711261839,3150.5481399171526,124.88883463541852px,721163f08d267653953d206bf341162ec20e033db2728ae647ea4b4cb8dd37de,R03,semantic,processed-semantic-transcript,1
T-009,add,2625.96195800663,3334.9926182700196,124.88883463541852px,7e9e5ac30f2216fd0fd6f5faed316f2d5983361a4203c3330cfa46ef65bb4767,R02,semantic,processed-semantic-transcript,1
T-010,Or,2708.1839428699113,4324.992465682129,124.88883463541852px,0568bd03b8eb6cca2799770a3cb2b2d342e9ae7a8032e8aac7b948341807d7c4,R04,semantic,processed-semantic-transcript,1
T-011,xor more like toggle or add,16.129578433483402,4451.564156713936,74.04444444444376px,b9d67725fd6d5472ff197e629c997dffcf2702d01e852f7e48a8fca9bac63a34,R04,semantic,processed-semantic-transcript,1
T-012,if you have then toggle if you,16.129578433483402,4544.119712269491,74.04444444444376px,f54b7fc39bd31c31f4256815977fb5f84aa7c9c3a5200c7ddc83178771e17178,R04,semantic,processed-semantic-transcript,1
T-013,dont then add,16.129578433483402,4636.675267825046,74.04444444444376px,0bc30fd30a401f7052463653d120866b0dd1ed7fe5b56f218f6c972463927918,R04,semantic,processed-semantic-transcript,1
T-014,"or is good for adding flags,",1159.4358976408375,4658.184713027754,56.10255784254698px,8cd116721eb5a3fff681e716999d90e1e9a4e1996126a6cfd1a53f02a27ab7d4,R04,semantic,processed-semantic-transcript,1
T-015,it doesnt toggle shit,1159.4358976408375,4728.3129103309375,56.10255784254698px,2557bf3977d4d642ce2f37ef49ffb64650be57bbb243c55dd3bd0587171721f6,R04,semantic,processed-semantic-transcript,1
T-016,and,4339.295291339963,4903.881473250488,124.88883463541852px,6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0,R04,semantic,processed-semantic-transcript,1
T-017,so its just  | and &,3482.964989940682,5017.960230558339,61.14285714285651px,c320b67f45edbaad898afbcf81952d6908e586490d97ad0d36d2c5632000c999,R04,semantic,processed-semantic-transcript,1
T-018,but interlocked,3482.964989940682,5094.38880198691,61.14285714285651px,06e2d23949863eec6f6333ca1c284600172d54f20e051b12228be92bb24c8079,R04,semantic,processed-semantic-transcript,1
T-019,remove only,5160.064988499762,5322.747434202095,73.41434509005323px,1ae22d1661caeb5634297497425ae4462fd68285b3d710dd589b45aa82885d6e,R04,semantic,processed-semantic-transcript,1
T-020,~,5899.164032284939,5353.821725659171,221.69699928977244px,7ace431cb61584cb9b8dc7ec08cf38ac0a2d649660be86d349fb43108b542fa4,R04,semantic,processed-semantic-transcript,1
T-021,some flag logic,5160.064988499762,5414.515365564661,73.41434509005323px,4b9c0361a78342e6c38f7a27e9d087f9a96f692ff222f5e052d022de917c4899,R04,semantic,processed-semantic-transcript,1
