id,text,x,y,region
T-001,response cache,12607.824696260179,587.6815515147441,R03
T-002,custom policy,9481.515141117041,479.7924658583886,R03
T-003,can cache based on request,9481.515141117041,479.7924658583886,R03
T-004,(in fluent builder too),9481.515141117041,479.7924658583886,R03
T-005,varybyvalue,3821.708258804514,7070.82089470049,R02
T-006,varybyvalue vs with,3744.367572045214,8504.147600506192,R02
T-007,allows multiple variants of cache response (like any vary),3966.1732629306407,7268.041761027125,R02
T-008,depending on the result of callback or not callback,3966.1732629306407,7268.041761027125,R02
T-009,and we can use ctx to create rule,3966.1732629306407,7268.041761027125,R02
T-010,with can use ctx to create rule whether endpoint should be allowed to return cache (whether policy,3781.7336438322855,8678.279652911056,R02
T-011,should be applied),3781.7336438322855,8678.279652911056,R02
T-012,addPolicy overloads,4493.501410171911,314.22506195663846,R02
T-013,outputcachecontext props,11156.631702675277,5809.462750293692,R03
T-014,(of custom policy),11156.631702675277,5809.462750293692,R03
T-015,outputcachepolicybuilder operations,4209.210465961705,2447.1757781880424,R02
T-016,(not custom policy),4209.210465961705,2447.1757781880424,R02
T-017,custom policy vs fluent builder,10993.82218074244,8268.041237657702,R03
T-018,how tag invalidation works,11171.125164279947,3978.3306172283387,R03
T-019,enableoutputcaching,9146.714068480092,5680.1615696442095,R03
T-020,vs,9146.714068480092,5680.1615696442095,R03
T-021,allowcachestorage,9146.714068480092,5680.1615696442095,R03
T-022,vs,9146.714068480092,5680.1615696442095,R03
T-023,allowcachelookup,9146.714068480092,5680.1615696442095,R03
T-024,setup,11222.370270660793,553.7692424637653,R03
T-025,responsetime,13001.039835778589,6678.649831946538,R03
T-026,when populated,14158.373087731714,6657.316457923101,R03
T-027,!!!,3081.946108332213,6413.407007201462,R02
T-028,the difference is more logical/semantic,3099.2645699804107,6002.351985799152,R02
T-029,will we serve the cache of user id 1,169.69562943385426,3930.1223731319224,R02
T-030,to user id 2 without varybyroutevalues,169.69562943385426,3930.1223731319224,R02
T-031,both setvarybyroutevalue,1485.8188656904786,3748.6209538635485,R02
T-032,and setvarybyhost,1485.8188656904786,3748.6209538635485,R02
T-033,do nothing,1485.8188656904786,3748.6209538635485,R02
T-034,start policy building from,3532.7948870282617,2873.6567798554806,R02
T-035,"cache,extend default policy",3532.7948870282617,2873.6567798554806,R02
T-036,defaults of default policy(cache()),3448.325116076556,3736.434496752231,R02
T-037,middlewares options,1003.2066255210284,10.0,R02
T-038,defaultexpiratointimespan,1774.3972034367653,935.7141712733678,R02
T-039,maximumbodysize,1829.3972034367653,1289.047453744071,R02
T-040,sizelilmit,1872.730638495359,1609.8251993088495,R02
T-041,usecasesensitivepaths,1836.0640735539528,1899.0473774501256,R02
T-042,app services,1837.7307910832496,2295.7140949794225,R02
T-043,defaults without some,513.4601395715345,2802.435974332811,R02
T-044,policy method,513.4601395715345,2802.435974332811,R02
T-045,setcachekeyprefix,3325.5816765530235,4619.785364998501,R02
T-046,vs varybyvalue,3325.5816765530235,4619.785364998501,R02
T-047,can we rely on some custom policy defaults?,10.0,4729.047435076656,R02
T-048,can we rely on some custom policy defaults?,12803.333740234375,5689.047435076656,R03
T-049,varybyquery,805.2095425187181,5741.721429739587,R02
T-050,default,805.2095425187181,5741.721429739587,R02
T-051,vs not default(ignore some keys),805.2095425187181,5741.721429739587,R02
