source_id,image_use_id,symbol_id,asset_sha1,x,y,width,height,region,coverage_status,legacy_match,nearest_labels_for_search_only
S-001,IU-001,image-2e68c251266a79e78ab57db264f2bbd78d3646cc,84e584854e6f2126a36ae02c6a5e36d772a48f03,12659.762331043014,3795.3867910543613,652.0,140.0,R03,restored-stage4,,T-052:custom | T-018:how tag invalidation works | T-048:can we rely on some custom policy defaults? | T-119:e-tag with outputcache | T-013:outputcachecontext props
S-002,IU-002,image-81317a94895cb729c0660e7ed878426a43206e2c,63dac6ff26f512265938a19f1e517e2da23ad25f,12640.912058836826,3292.369043761575,607.0,482.0,R03,restored-stage4,,T-052:custom | T-018:how tag invalidation works | T-048:can we rely on some custom policy defaults? | T-119:e-tag with outputcache | T-013:outputcachecontext props
S-003,IU-003,image-4ce3ab30e4498434d43904d7e89faa3ef1e58c2c,8bc317a2d41bdd9ad9ca529d214b5e561ff2d0b4,12534.189034656756,2797.9246162713407,771.0,482.0,R03,restored-stage4,,T-018:how tag invalidation works | T-119:e-tag with outputcache | T-052:custom | T-001:response cache | T-048:can we rely on some custom policy defaults?
S-004,IU-004,image-59ed516eb0b35bc6cf128255cfa9f4b35cd258e4,b08bf4c79cc5c90492c513dae0d711d8b6b0ead3,12488.297320897767,2307.9245654087117,823.0,482.0,R03,restored-stage4,,T-119:e-tag with outputcache | T-001:response cache | T-018:how tag invalidation works | T-052:custom | T-024:setup
S-005,IU-005,image-15004ab777fdcdfe76c5d64215da4147bed16afc,4807b1baa32f3095fb525f6b7292d2da51180181,12498.623636444969,2039.8586270949108,878.0,274.0,R03,restored-stage4,,T-119:e-tag with outputcache | T-001:response cache | T-024:setup | T-018:how tag invalidation works | T-052:custom
S-006,IU-006,image-1d6d25cbdff319c281a6d012bb0dfb08c7bc3cae,eac3da313e4b372418b67a6135ac0ffa0b1af9e6,12496.837117410003,1543.480137918481,837.0,482.0,R03,restored-stage4,,T-001:response cache | T-119:e-tag with outputcache | T-024:setup | T-018:how tag invalidation works | T-052:custom
S-007,IU-007,image-342a8401a1332c0890a041f3c460ccc93f7c9bd4,083e2598742822abe73013a0d0d9967e270318e6,12488.84582475877,1214.136387918481,822.0,341.0,R03,restored-stage4,,T-001:response cache | T-119:e-tag with outputcache | T-024:setup | T-018:how tag invalidation works | T-002:custom policy
S-008,IU-008,image-75c2601d466cf819b504dcc079dc2430bdf8cb39,3c1016942c0be89ce4662c839b431589d10190d3,12427.012593150697,731.9697212518167,1019.0,472.0,R03,restored-stage4,,T-001:response cache | T-119:e-tag with outputcache | T-024:setup | T-002:custom policy | T-003:can cache based on request
S-009,IU-009,image-c8e131860ca879b06f9b68d890d190d241296907,f82acaa905cf47bc8d9c69cf1d9113f17a039e90,11303.435227179629,3389.3791542283757,622.0,482.0,R03,restored-stage4,,T-018:how tag invalidation works | T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom
S-010,IU-010,image-0b7d0de580147875e1315221432a6a27deea264b,871143b463eb995c5d12792b34905b64e59930f2,11195.30185338754,3144.3132566046766,779.0,224.0,R03,restored-stage4,,T-018:how tag invalidation works | T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom
S-011,IU-011,image-52fcc998dd7ce5a1a360ef5e36627558a8b2cca6,ab8aa68dfbed02f045ea7da7f3e8366877c7285c,11211.996390789116,2668.4902890753797,586.0,482.0,R03,restored-stage4,,T-018:how tag invalidation works | T-106:does adding a tag | T-107:creates a separate cache entry with | T-108:different key? | T-109:where we can set tags in custom
