label_id,text,x,y,font_size,region
T-001,response cache,12607.824696260179,655.6142466267444,77.10862101248607px,R01
T-002,custom policy,9481.515141117041,575.3704728839663,108.48808969986113px,R01
T-003,can cache based on request,9481.515141117041,710.9805850087927,108.48808969986113px,R01
T-004,(in fluent builder too),9481.515141117041,846.5906971336192,108.48808969986113px,R01
T-005,varybyvalue,3821.708258804514,7185.02465416772,129.62969292534686px,R01
T-006,varybyvalue vs with,3744.367572045214,8582.328224963658,88.74077690972189px,R01
T-007,allows multiple variants of cache response (like any vary),3966.1732629306407,7285.661761027125,20px,R01
T-008,depending on the result of callback or not callback,3966.1732629306407,7310.661761027125,20px,R01
T-009,and we can use ctx to create rule,3966.1732629306407,7335.661761027125,20px,R01
T-010,with can use ctx to create rule whether endpoint should be allowed to return cache (whether policy,3781.7336438322855,8695.899652911057,20px,R01
T-011,should be applied),3781.7336438322855,8720.899652911057,20px,R01
T-012,addPolicy overloads,4493.501410171911,475.9376019957008,183.55566406249983px,R01
T-013,outputcachecontext props,11156.631702675277,5881.90048027416,82.22216796874996px,R01
T-014,(of custom policy),11156.631702675277,5984.678190235098,82.22216796874996px,R01
T-015,outputcachepolicybuilder operations,4209.210465961705,2564.1085836745483,132.72736150568187px,R01
T-016,(not custom policy),4209.210465961705,2730.0177855566503,132.72736150568187px,R01
T-017,custom policy vs fluent builder,10993.82218074244,8353.322037657703,96.80000000000004px,R01
T-018,how tag invalidation works,11171.125164279947,4052.3346172283386,83.99999999999999px,R01
T-019,enableoutputcaching,9146.714068480092,5732.551704769942,59.46666870117185px,R01
T-020,vs,9146.714068480092,5806.885040646407,59.46666870117185px,R01
T-021,allowcachestorage,9146.714068480092,5881.218376522872,59.46666870117185px,R01
T-022,vs,9146.714068480092,5955.551712399336,59.46666870117185px,R01
T-023,allowcachelookup,9146.714068480092,6029.885048275801,59.46666870117185px,R01
T-024,setup,11222.370270660793,679.980665803609,143.25927734374991px,R01
T-025,responsetime,13001.039835778589,6783.195183203862,118.66668701171876px,R01
T-026,when populated,14158.373087731714,6761.861809180425,118.66668701171876px,R01
T-027,!!!,3081.946108332213,6458.435872191696,51.11108398437499px,R01
T-028,the difference is more logical/semantic,3099.2645699804107,6074.377741896727,81.75454721631542px,R01
T-029,will we serve the cache of user id 1,169.69562943385426,3969.2912564088774,44.45957239154963px,R01
T-030,to user id 2 without varybyroutevalues,169.69562943385426,4024.8657218983144,44.45957239154963px,R01
T-031,both setvarybyroutevalue,1485.8188656904786,3826.731019520331,88.6606874651334px,R01
T-032,and setvarybyhost,1485.8188656904786,3937.5568788517476,88.6606874651334px,R01
T-033,do nothing,1485.8188656904786,4048.3827381831643,88.6606874651334px,R01
T-034,start policy building from,3532.7948870282617,2928.866113188814,62.66666666666666px,R01
T-035,"cache,extend default policy",3532.7948870282617,3007.1994465221474,62.66666666666666px,R01
T-036,defaults of default policy(cache()),3448.325116076556,3788.511433438429,59.11116536458337px,R01
T-037,middlewares options,1003.2066255210284,266.16760958158045,290.7691368689903px,R01
T-038,defaultexpiratointimespan,1774.3972034367653,989.8391858842451,61.43588491586526px,R01
T-039,maximumbodysize,1829.3972034367653,1343.1724683549483,61.43588491586526px,R01
T-040,sizelilmit,1872.730638495359,1663.9502139197268,61.43588491586526px,R01
T-041,usecasesensitivepaths,1836.0640735539528,1953.172392061003,61.43588491586526px,R01
T-042,app services,1837.7307910832496,2349.8391095903,61.43588491586526px,R01
