source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only,file_name
S-001,IU-001,1,image-29b6e956dba470c7f5ac96f8abebbbffe0b3df9a,bf31cd758d,0.0,0.0,689.0,374.0,0.0,344.5,187.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-001__bf31cd758d.png
S-002,IU-002,2,image-177bb2d0acbbb8d20e66d9c0c5da8060f7fea799,39d04e020f,0.0,0.0,838.0,327.0,0.0,419.0,163.5,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-002__39d04e020f.png
S-003,IU-003,3,image-3731d3144f9643a2175895871efdfb345afee783,d33fc5a044,0.0,0.0,796.0,286.0,0.0,398.0,143.0,1,T-006:to which itmes from first callback belong | T-007:join | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-003__d33fc5a044.png
S-004,IU-004,4,image-5e59487cc8a4ecd612df8f34449066c97fec6040,a9963fa634,0.0,0.0,569.0,376.0,0.0,284.5,188.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-004__a9963fa634.png
S-005,IU-005,5,image-d32d2f7a8f85b9695ad6507a6ddba4e62cfc4463,e2391022fd,0.0,0.0,821.0,291.0,0.0,410.5,145.5,1,T-006:to which itmes from first callback belong | T-007:join | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-005__e2391022fd.png
S-006,IU-006,6,image-ad9d370dd1ab910c22ba926c3b487350d4cd32c7,de01ef49fa,0.0,0.0,876.0,170.0,0.0,438.0,85.0,1,T-004:second callback allows to build result for each | T-008:groupjoin | T-009:group by | T-010:selectmany | T-005:of the item of first callbacks result + from the items,S-006__de01ef49fa.png
S-007,IU-007,7,image-d544e0a92bd2febbafb95ef6ad626ab4f00bd5d4,330c4631dd,0.0,0.0,536.0,376.0,0.0,268.0,188.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-007__330c4631dd.png
S-008,IU-008,8,image-8df5057fa9c843d00fddd734fe54fc37be9d873e,1b1f2305d8,0.0,0.0,748.0,482.0,0.0,374.0,241.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-008__1b1f2305d8.png
S-009,IU-009,9,image-127f7031b877ef0ae63ba039af82ce7b568a9d4d,b7215dc0b2,0.0,0.0,960.0,390.0,0.0,480.0,195.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-009__b7215dc0b2.png
S-010,IU-010,10,image-4e2387bf4d02e4b5d300a61bfe62329beb380aab,86d40c68f8,0.0,0.0,860.0,449.0,0.0,430.0,224.5,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-010__86d40c68f8.png
S-011,IU-011,11,image-8a2eab7b16028c1e1f460b1c525ac075cdd8daee,f7767de898,0.0,0.0,884.0,442.0,0.0,442.0,221.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-011__f7767de898.png
S-012,IU-012,12,image-25cb710482c8657561f491052c0ade9e797d5384,42f36490f5,0.0,0.0,677.0,482.0,0.0,338.5,241.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-012__42f36490f5.png
S-013,IU-013,13,image-027663be73c5f5cce8d91141335899d475dd3aaf,59162fecf7,0.0,0.0,849.0,482.0,0.0,424.5,241.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-013__59162fecf7.png
S-014,IU-014,14,image-0cb11f972d936ce78b1ecd7fc709aa8c88912f1f,136f165c5b,0.0,0.0,573.0,482.0,0.0,286.5,241.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-014__136f165c5b.png
S-015,IU-015,15,image-b8726ece8d9b707484157e3c92cdf1532a823eaa,b0e31575dd,0.0,0.0,826.0,482.0,0.0,413.0,241.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-015__b0e31575dd.png
S-016,IU-016,16,image-5cbfd76c6bb5c94e447e6675fb758ce360233e95,c0965c9e98,0.0,0.0,452.0,482.0,0.0,226.0,241.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-016__c0965c9e98.png
S-017,IU-017,17,image-e54018da885866fd0b069710f383635071225fde,0833789b0d,0.0,0.0,574.0,459.0,0.0,287.0,229.5,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-017__0833789b0d.png
S-018,IU-018,18,image-d7ccfeed590f192043e0501cd81846d4535c8b45,3bba36923b,0.0,0.0,515.0,337.0,0.0,257.5,168.5,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-018__3bba36923b.png
S-019,IU-019,19,image-55be6a1efbe14c3bad6c12aeab4f9ef18c6e8682,b7ce446342,0.0,0.0,463.0,376.0,0.0,231.5,188.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-019__b7ce446342.png
S-020,IU-020,20,image-2eec1aba2c78f224d7d02e9b8ec44be3dc8921bd,97f0d9b978,0.0,0.0,556.0,422.0,0.0,278.0,211.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-020__97f0d9b978.png
S-021,IU-021,21,image-b4469138a952e14dc87bfc8ecd9cca72ae5f66a9,56bf78ac53,0.0,0.0,559.0,269.0,0.0,279.5,134.5,1,T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-007:join | T-004:second callback allows to build result for each,S-021__56bf78ac53.png
S-022,IU-022,22,image-b0bc92440a501879662e6e353590236777e338d2,710a625516,0.0,0.0,532.0,430.0,0.0,266.0,215.0,1,T-007:join | T-006:to which itmes from first callback belong | T-005:of the item of first callbacks result + from the items | T-010:selectmany | T-004:second callback allows to build result for each,S-022__710a625516.png
