text_id,dom_group_index,x,y,group_x,group_y,rotation,font_size,fill,text
T-001,1,0.0,17.619999999999997,0.0,0.0,0.0,20px,#d3d3d3,ROUTING
T-002,2,0.0,17.619999999999997,0.0,0.0,0.0,20px,#d3d3d3,// custom constraint
T-003,3,0.0,42.62,0.0,0.0,0.0,20px,#d3d3d3,public class EvenNumberConstraint : IRouteConstraint
T-004,4,0.0,67.62,0.0,0.0,0.0,20px,#d3d3d3,{
T-005,5,0.0,92.62,0.0,0.0,0.0,20px,#d3d3d3,"public bool Match(HttpContext httpContext, IRouter route, string routeKey,"
T-006,6,0.0,117.62,0.0,0.0,0.0,20px,#d3d3d3,"RouteValueDictionary values, RouteDirection routeDirection)"
T-007,7,0.0,142.62,0.0,0.0,0.0,20px,#d3d3d3,{
T-008,8,0.0,167.62,0.0,0.0,0.0,20px,#d3d3d3,"if (!values.TryGetValue(routeKey, out var val) || val == null) return false;"
T-009,9,0.0,192.62,0.0,0.0,0.0,20px,#d3d3d3,"return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0;"
T-010,10,0.0,217.62,0.0,0.0,0.0,20px,#d3d3d3,}
T-011,11,0.0,242.62,0.0,0.0,0.0,20px,#d3d3d3,}
T-012,12,0.0,292.62,0.0,0.0,0.0,20px,#d3d3d3,// register in Startup / Program.cs
T-013,13,0.0,317.62,0.0,0.0,0.0,20px,#d3d3d3,services.Configure<RouteOptions>(opts =>
T-014,14,0.0,342.62,0.0,0.0,0.0,20px,#d3d3d3,{
T-015,15,0.0,367.62,0.0,0.0,0.0,20px,#d3d3d3,"opts.ConstraintMap.Add(""even"", typeof(EvenNumberConstraint));"
T-016,16,0.0,392.62,0.0,0.0,0.0,20px,#d3d3d3,});
T-017,17,0.0,442.62,0.0,0.0,0.0,20px,#d3d3d3,// now usable:
T-018,18,0.0,467.62,0.0,0.0,0.0,20px,#d3d3d3,"app.MapGet(""/nums/{id:even}"", (int id) => $""even {id}"");"
T-019,19,0.0,17.619999999999997,0.0,0.0,0.0,20px,#d3d3d3,Order
T-020,20,0.0,17.619999999999997,0.0,0.0,0.0,20px,#d3d3d3,actually no
T-021,21,0.0,42.62,0.0,0.0,0.0,20px,#d3d3d3,precedence rules
T-022,22,0.0,67.62,0.0,0.0,0.0,20px,#d3d3d3,apply specific endpoint
T-023,23,0.0,92.62,0.0,0.0,0.0,20px,#d3d3d3,first
