source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only,file_name
S-001,IU-001,1,image-d2bfa3595a09061872621ce46c84d3a980356358,ab6359fd2b,0.0,0.0,1052.0,445.0,0.0,526.0,222.5,1,"T-010:} | T-011:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-012:// register in Startup / Program.cs",S-001__ab6359fd2b.png
S-002,IU-002,2,image-c5fee407567a11d1cebb70982c7ee85f0728d157,de6f3b1057,0.0,0.0,1037.0,432.0,0.0,518.5,216.0,1,"T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-011:} | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-007:{",S-002__de6f3b1057.png
S-003,IU-003,3,image-861074c65a0d679980e6c8481d80c843756624c2,cd1bc31105,0.0,0.0,958.0,464.0,0.0,479.0,232.0,1,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",S-003__cd1bc31105.png
S-004,IU-004,4,image-e06cdfd355b95a44aaa7963df4809b24282cbdef,6091f78aac,0.0,0.0,952.0,467.0,0.0,476.0,233.5,1,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",S-004__6091f78aac.png
S-005,IU-005,5,image-38f4cb5a6050268ffd7bab694a06c2c4146b35bd,71956f9267,0.0,0.0,812.0,638.0,0.0,406.0,319.0,1,"T-013:services.Configure<RouteOptions>(opts => | T-014:{ | T-012:// register in Startup / Program.cs | T-015:opts.ConstraintMap.Add(""even"", typeof(EvenNumberConstraint)); | T-016:});",S-005__71956f9267.png
S-006,IU-006,6,image-096a492cee0e293f84c90596bc878ce116ca09f1,628f529298,0.0,0.0,1043.0,482.0,0.0,521.5,241.0,1,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",S-006__628f529298.png
S-007,IU-007,7,image-136493bd65dc8c484ccd6484a1b4d48c4761aad4,4eb036ccc0,0.0,0.0,1021.0,482.0,0.0,510.5,241.0,1,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",S-007__4eb036ccc0.png
S-008,IU-008,8,image-596cfde3ec72f842bdf434c89c4ee3b958e2f8ca,aa1b49fb6c,0.0,0.0,1088.0,227.0,0.0,544.0,113.5,1,"T-006:RouteValueDictionary values, RouteDirection routeDirection) | T-005:public bool Match(HttpContext httpContext, IRouter route, string routeKey, | T-023:first | T-007:{ | T-004:{",S-008__aa1b49fb6c.png
S-009,IU-009,9,image-8a2fb1effe4ea327f8c6965d647e22d858571e6e,6e56ce2a1e,0.0,0.0,881.0,482.0,0.0,440.5,241.0,1,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",S-009__6e56ce2a1e.png
S-010,IU-010,10,image-1b9d9b2f5d9226c415f7c9d289e9bf22a91d5d39,c7da02b627,0.0,0.0,1004.0,304.0,0.0,502.0,152.0,1,"T-007:{ | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-006:RouteValueDictionary values, RouteDirection routeDirection) | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-005:public bool Match(HttpContext httpContext, IRouter route, string routeKey,",S-010__c7da02b627.png
