region,source_id,image_use,file_sha,x,y,width,height,stage1_status,theme
R01,S-001,IU-001,34a237dbf7,894.99,188.7,656.0,482.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-002,IU-002,b62445d810,809.4,1202.69,1131.0,481.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-003,IU-003,2001d25c1c,833.24,1734.53,1094.0,388.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-004,IU-004,c884a7aef6,801.24,3018.53,1102.0,388.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-006,IU-006,987ffc172e,897.1,3511.37,550.0,482.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-007,IU-007,d96dfd76c8,821.21,3936.7,753.0,482.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-008,IU-008,982f2e2516,838.07,4494.03,735.0,333.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-005,IU-005,6f0ca8790e,852.41,4884.7,690.0,482.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R01,S-009,IU-009,15a2f13f58,842.9,5432.86,656.0,482.0,verified-semantic-transcript,"upper intro road: allocation basics, value/reference behavior, stack/heap/object allocation setup"
R02,S-010,IU-010,bb5db927b1,759.9,5927.19,918.0,456.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-015,IU-015,b7efa0508b,654.07,6394.03,1015.0,117.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-011,IU-011,3da1a70c51,794.24,6537.69,620.0,355.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-012,IU-012,7d96868e12,790.24,6915.53,644.0,426.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-013,IU-013,f38a249ba8,877.07,7382.36,497.0,295.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-014,IU-014,826f34f2e0,834.74,7745.53,427.0,86.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-016,IU-016,52075f94e1,645.57,7915.69,1000.0,327.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-017,IU-017,79e54d4b38,672.04,8285.26,959.0,364.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-018,IU-018,e7ba2cd693,678.07,8732.7,815.0,482.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-019,IU-019,3c4502a042,730.19,9248.7,633.0,482.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R02,S-020,IU-020,5492f68b2d,652.4,9769.19,765.0,476.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
