source_id,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,current_subregion_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,IU-001,afbe3b1521,3237.2326816528484,539.9128455923205,927.0,482.0,T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views | T-002:Ef core view flow,processed-in-viv01-v001,VIV01,VIV01A,yes-for-viv01-v001-boundary,no-for-stage2-next01,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,7984b7fabb,3251.553455359358,1012.5690886564994,967.0,257.0,"T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views | T-022:stored or not, indexes views",processed-in-viv01-v001,VIV01,VIV01A,yes-for-viv01-v001-boundary,no-for-stage2-next01,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,21337ffaa2,3248.901977198846,1421.1599977474111,982.0,458.0,"T-022:stored or not, indexes views | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views",processed-in-viv01-v001,VIV01,VIV01A,yes-for-viv01-v001-boundary,no-for-stage2-next01,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,f29abf7252,3245.319257916176,1898.6914662788784,1008.0,360.0,"T-022:stored or not, indexes views | T-021:can views be updated? | T-015:Security, allow to work with | T-016:some viewed data, not with | T-017:sources",processed-in-viv01-v001,VIV01,VIV01A,yes-for-viv01-v001-boundary,no-for-stage2-next01,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,345db22642,3233.65934025815,2445.3418852873733,1064.0,476.0,"T-022:stored or not, indexes views | T-021:can views be updated? | T-018:legacy | T-019:stable read api, sources | T-017:sources",processed-in-viv01-v001,VIV01,VIV01A,yes-for-viv01-v001-boundary,no-for-stage2-next01,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,0b4d618223,1823.0251715094191,507.9788845084554,971.0,379.0,"T-009:aggregated into one domain | T-008:multiple sources, | T-007:good for view | T-010:hide ugly queries | T-011:hiding bad queries",processed-in-viv02-v001,VIV02,VIV02A,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,4bb0f17d01,1815.8587591559035,1004.145525743807,1002.0,410.0,"T-010:hide ugly queries | T-009:aggregated into one domain | T-008:multiple sources, | T-007:good for view | T-015:Security, allow to work with",processed-in-viv02-v001,VIV02,VIV02A,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,da30d5c58f,1843.0437974046008,2153.1641431618923,928.0,259.0,"T-017:sources | T-016:some viewed data, not with | T-015:Security, allow to work with | T-018:legacy | T-019:stable read api, sources",processed-in-viv02-v001,VIV02,VIV02A,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,ee0f624ae0,1838.710362346007,2589.830784397244,940.0,139.0,"T-018:legacy | T-019:stable read api, sources | T-020:can change, evolve | T-017:sources | T-016:some viewed data, not with",processed-in-viv02-v001,VIV02,VIV02A,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,ee05943b73,1849.9882452398874,2972.3308505186633,879.0,134.0,"T-020:can change, evolve | T-019:stable read api, sources | T-018:legacy | T-017:sources | T-016:some viewed data, not with",processed-in-viv02-v001,VIV02,VIV02A,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-011,IU-011,969f797df8,530.5251715094191,511.31224327310383,1016.0,299.0,T-011:hiding bad queries | T-023:bad for view | T-012:to much buisness logic | T-013:overusing for simple queries | T-009:aggregated into one domain,processed-in-viv02-v001,VIV02,VIV02B,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,23556a5bd6,543.8586828619582,964.6456020377523,1006.0,269.0,T-012:to much buisness logic | T-013:overusing for simple queries | T-011:hiding bad queries | T-023:bad for view | T-014:expecting normal entity behav,processed-in-viv02-v001,VIV02,VIV02B,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-013,IU-013,4652d83b27,534.8587591559035,1409.145525743807,994.0,320.0,T-013:overusing for simple queries | T-014:expecting normal entity behav | T-012:to much buisness logic | T-011:hiding bad queries | T-023:bad for view,processed-in-viv02-v001,VIV02,VIV02B,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-014,IU-014,11ad4ef440,538.3586828619582,1884.9788845084554,977.0,325.0,"T-014:expecting normal entity behav | T-013:overusing for simple queries | T-012:to much buisness logic | T-015:Security, allow to work with | T-016:some viewed data, not with",processed-in-viv02-v001,VIV02,VIV02B,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-015,IU-015,fd59600e46,3246.1127671311633,3088.1376434893323,994.0,335.0,"T-021:can views be updated? | T-022:stored or not, indexes views | T-020:can change, evolve | T-019:stable read api, sources | T-018:legacy",processed-in-viv02-v001,VIV02,VIV02C,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,488ada1965,3269.7793320725696,3525.304361018629,990.0,274.0,"T-021:can views be updated? | T-022:stored or not, indexes views | T-020:can change, evolve | T-019:stable read api, sources | T-018:legacy",processed-in-viv02-v001,VIV02,VIV02C,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,f15669f4b4,3293.0258864554153,3801.892658805548,1011.0,249.0,"T-021:can views be updated? | T-022:stored or not, indexes views | T-038:Clustered index first | T-020:can change, evolve | T-019:stable read api, sources",processed-in-viv02-v001,VIV02,VIV02C,yes-for-viv02-v001-boundary,no-for-stage2-next01,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,c7bec476cf,4558.288433024786,546.4187478881217,998.0,402.0,T-002:Ef core view flow | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views,processed-in-viv01-v001,VIV01,VIV01B,yes-for-viv01-v001-boundary,no-for-stage2-next01,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
