text_id,text,candidate_region,theme
T-001,tosqlquery vs toview,VIV01,canvas text label / local note
T-002,Ef core view flow,VIV01,canvas text label / local note
T-003,concept of views,VIV01,canvas text label / local note
T-004,depend on uderl tables,VIV01,canvas text label / local note
T-005,usually readonly,VIV01,canvas text label / local note
T-006,not physically stored until indexed,VIV01,canvas text label / local note
T-007,good for view,VIV02,canvas text label / local note
T-008,"multiple sources,",VIV02,canvas text label / local note
T-009,aggregated into one domain,VIV02,canvas text label / local note
T-010,hide ugly queries,VIV02,canvas text label / local note
T-011,hiding bad queries,VIV02,canvas text label / local note
T-012,to much buisness logic,VIV02,canvas text label / local note
T-013,overusing for simple queries,VIV02,canvas text label / local note
T-014,expecting normal entity behav,VIV02,canvas text label / local note
T-015,"Security, allow to work with",VIV02,canvas text label / local note
T-016,"some viewed data, not with",VIV02,canvas text label / local note
T-017,sources,VIV02,canvas text label / local note
T-018,legacy,VIV02,canvas text label / local note
T-019,"stable read api, sources",VIV02,canvas text label / local note
T-020,"can change, evolve",VIV02,canvas text label / local note
T-021,can views be updated?,VIV01,canvas text label / local note
T-022,"stored or not, indexes views",VIV01,canvas text label / local note
T-023,bad for view,VIV02,canvas text label / local note
