source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only
S-001,IU-001,1,image-2637490cde760788c7ab792a32bf92267e896818,afbe3b1521,3237.2326816528484,539.9128455923205,927.0,482.0,0.0,463.4267695783132,241.15625,1,T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views | T-002:Ef core view flow
S-002,IU-002,2,image-24ef6f405a3e0028a5e68a3b29bbf1c9bdf908fe,7984b7fabb,3251.553455359358,1012.5690886564994,967.0,257.0,0.0,483.5,128.5,1,"T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views | T-022:stored or not, indexes views"
S-003,IU-003,3,image-c9f79d12c7febfbb3e7b37ebd0449fb8a368c6cd,21337ffaa2,3248.901977198846,1421.1599977474111,982.0,458.0,0.0,490.99999999999994,229.0,1,"T-022:stored or not, indexes views | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views"
S-004,IU-004,4,image-34718a196c809efc47f370894fb7c4b60db17cc4,f29abf7252,3245.319257916176,1898.6914662788784,1008.0,360.0,0.0,503.99999999999994,180.0,1,"T-022:stored or not, indexes views | T-021:can views be updated? | T-015:Security, allow to work with | T-016:some viewed data, not with | T-017:sources"
S-005,IU-005,5,image-390583fa93e6a8a6759269052a17c8b29f8d6318,345db22642,3233.65934025815,2445.3418852873733,1064.0,476.0,0.0,532.0,238.0,1,"T-022:stored or not, indexes views | T-021:can views be updated? | T-018:legacy | T-019:stable read api, sources | T-017:sources"
S-006,IU-006,6,image-78705785710055fa0b21e4773e13973c52734f63,0b4d618223,1823.0251715094191,507.9788845084554,971.0,379.0,0.0,485.5,189.5,1,"T-009:aggregated into one domain | T-008:multiple sources, | T-007:good for view | T-010:hide ugly queries | T-011:hiding bad queries"
S-007,IU-007,7,image-ba521b7cd65345588fcf31c4dce54109cc7b4c7b,4bb0f17d01,1815.8587591559035,1004.145525743807,1002.0,410.0,0.0,501.0,205.0,1,"T-010:hide ugly queries | T-009:aggregated into one domain | T-008:multiple sources, | T-007:good for view | T-015:Security, allow to work with"
S-008,IU-008,8,image-02aec7b6747b35c5e66eefe2f06f5761539c2d26,da30d5c58f,1843.0437974046008,2153.1641431618923,928.0,259.0,0.0,464.0,129.5,1,"T-017:sources | T-016:some viewed data, not with | T-015:Security, allow to work with | T-018:legacy | T-019:stable read api, sources"
S-009,IU-009,9,image-5075bacf88fdab755589074b05c739bd1ad72a87,ee0f624ae0,1838.710362346007,2589.830784397244,940.0,139.0,0.0,470.0,69.5,1,"T-018:legacy | T-019:stable read api, sources | T-020:can change, evolve | T-017:sources | T-016:some viewed data, not with"
S-010,IU-010,10,image-cfb580bb0a41652c462235ea916a53e1053928bf,ee05943b73,1849.9882452398874,2972.3308505186633,879.0,134.0,0.0,439.5,67.0,1,"T-020:can change, evolve | T-019:stable read api, sources | T-018:legacy | T-017:sources | T-016:some viewed data, not with"
S-011,IU-011,11,image-7ef126d760359a2e2a549d5aae7918c68ac557c1,969f797df8,530.5251715094191,511.31224327310383,1016.0,299.0,0.0,508.0,149.5,1,T-011:hiding bad queries | T-023:bad for view | T-012:to much buisness logic | T-013:overusing for simple queries | T-009:aggregated into one domain
