text_id,text,candidate_region,theme
T-028,SCHEMABINDING,VIV04,canvas text label / local note
T-029,protect view from breaking,VIV04,canvas text label / local note
T-030,SCHEMABINDING,VIV04,canvas text label / local note
T-031,protect view from breaking,VIV04,canvas text label / local note
T-032,what it prevents,VIV04,canvas text label / local note
T-033,schemabinding rules,VIV04,canvas text label / local note
T-034,indexed views require,VIV04,canvas text label / local note
T-035,it,VIV04,canvas text label / local note
T-036,indexed views require,VIV04,canvas text label / local note
T-037,COUNT BIG for grouping,VIV04,canvas text label / local note
