region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
VIV03A-S001,S-028,IU-028,a199a76dad,VIV03,VIV03A,verified-from-source-image,high,no,high,Normal view versus indexed view,
VIV03A-S002,S-029,IU-029,f72170b4d6,VIV03,VIV03A,verified-from-source-image,high,no,high,Indexed view stores result physically with unique clustered index,
VIV03B-S001,S-030,IU-030,456797c8ff,VIV03,VIV03B,verified-from-source-image,high,no,high,Create the unique clustered index first,
VIV03B-S002,S-031,IU-031,7c4af6bb2b,VIV03,VIV03B,verified-from-source-image,high,no,high,New physical structures after indexed view creation,
VIV03C-S001,S-032,IU-032,5ec4cab651,VIV03,VIV03C,verified-from-source-image,high,yes,high,Indexed view maintenance flow after insert,"Right edge of some code/table text is cropped, but the before/after maintenance flow is visible."
VIV03C-S002,S-033,IU-033,e882127848,VIV03,VIV03C,verified-from-source-image,high,no,high,Base row change must maintain base table and indexed view,
VIV03C-S003,S-034,IU-034,419a4b0a04,VIV03,VIV03C,verified-from-source-image,high,no,high,View result stays synchronized automatically,
VIV03D-S001,S-035,IU-035,b79c4215a7,VIV03,VIV03D,verified-from-source-image,high,no,high,Nonclustered indexes on an indexed view,
VIV03D-S002,S-036,IU-036,3eb716fc8b,VIV03,VIV03D,verified-from-source-image,high,no,high,Why the first index must be unique clustered,
VIV03D-S003,S-037,IU-037,086ca24b99,VIV03,VIV03D,verified-from-source-image,medium,no,high,Nonclustered indexes need physical rows to point to,The source is conversational; the core point is readable.
VIV03D-S004,S-038,IU-038,834564d5b2,VIV03,VIV03D,verified-from-source-image,high,no,high,Why indexed view costs feel heavier than table indexes,
VIV03D-S005,S-039,IU-039,f0a7504502,VIV03,VIV03D,verified-from-source-image,high,no,high,A single write can cause more complicated maintenance,
VIV03D-S006,S-040,IU-040,2eac56af31,VIV03,VIV03D,verified-from-source-image,high,no,high,Detailed write cost for indexed views,
VIV03B-S003,S-041,IU-041,66861de839,VIV03,VIV03B,verified-from-source-image,high,no,high,Indexed view = definition plus stored result set plus indexes,
