region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
VIV01A-S001,S-001,IU-001,afbe3b1521,VIV01,VIV01A,verified-from-source-image,high,yes,high,SQL view concept: saved query,"Bottom of the SQL is cropped, but the CREATE VIEW shape and intent are clear."
VIV01A-S002,S-002,IU-002,7984b7fabb,VIV01,VIV01A,verified-from-source-image,high,no,high,Querying a normal view and storage behavior,
VIV01A-S003,S-003,IU-003,21337ffaa2,VIV01,VIV01A,verified-from-source-image,high,no,high,Views are useful for hiding complex SQL,
VIV01A-S004,S-004,IU-004,f29abf7252,VIV01,VIV01A,verified-from-source-image,high,no,high,Create view then query view,
VIV01A-S005,S-005,IU-005,345db22642,VIV01,VIV01A,verified-from-source-image,high,no,high,Views in SQL Server summary,
VIV02A-S001,S-006,IU-006,0b4d618223,VIV02,VIV02A,verified-from-source-image,high,no,high,Good use case: reporting/read models,
VIV02A-S002,S-007,IU-007,4bb0f17d01,VIV02,VIV02A,verified-from-source-image,high,no,high,Good use case: hide complex joins,
VIV02A-S003,S-008,IU-008,da30d5c58f,VIV02,VIV02A,verified-from-source-image,high,no,high,Good use case: security / limited exposure,
VIV02A-S004,S-009,IU-009,ee0f624ae0,VIV02,VIV02A,verified-from-source-image,high,no,high,Good use case: legacy database,
VIV02A-S005,S-010,IU-010,ee05943b73,VIV02,VIV02A,verified-from-source-image,high,no,high,Good use case: stable read API for database,
VIV02B-S001,S-011,IU-011,969f797df8,VIV02,VIV02B,verified-from-source-image,high,no,high,Bad use case: hiding bad performance,
VIV02B-S002,S-012,IU-012,23556a5bd6,VIV02,VIV02B,verified-from-source-image,high,no,high,Bad use case: business logic dumping ground,
VIV02B-S003,S-013,IU-013,4652d83b27,VIV02,VIV02B,verified-from-source-image,high,no,high,Bad use case: overusing views for simple queries,
VIV02B-S004,S-014,IU-014,11ad4ef440,VIV02,VIV02B,verified-from-source-image,high,no,high,Bad use case: expecting normal entity behavior,
VIV02C-S001,S-015,IU-015,fd59600e46,VIV02,VIV02C,verified-from-source-image,high,no,high,Can views be updated?,
VIV02C-S002,S-016,IU-016,488ada1965,VIV02,VIV02C,verified-from-source-image,high,no,high,View model with key or no key,
VIV02C-S003,S-017,IU-017,f15669f4b4,VIV02,VIV02C,verified-from-source-image,high,no,high,View model can have key if result has unique stable key,
VIV01B-S001,S-018,IU-018,c7bec476cf,VIV01,VIV01B,verified-from-source-image,high,no,high,EF Core view flow step 1: create SQL view,
VIV01B-S002,S-019,IU-019,9d09484977,VIV01,VIV01B,verified-from-source-image,high,no,high,EF Core view flow step 2: create C# model,
VIV01B-S003,S-020,IU-020,930eb5eaf5,VIV01,VIV01B,verified-from-source-image,high,no,high,EF Core view flow step 3: configure EF,
VIV01B-S004,S-021,IU-021,2ae3756652,VIV01,VIV01B,verified-from-source-image,high,no,high,EF Core view flow step 4: query it,
VIV02A-S006,S-022,IU-022,9faf423ed5,VIV02,VIV02A,verified-from-source-image,high,no,high,"Views hide complex joins, not necessarily improve performance",
VIV02A-S007,S-023,IU-023,435df14af8,VIV02,VIV02A,verified-from-source-image,high,no,high,Optimizer expands normal views; performance is not automatic,
VIV01C-S001,S-024,IU-024,5bfc37a3fa,VIV01,VIV01C,verified-from-source-image,high,no,high,ToView vs ToSqlQuery,
VIV01C-S002,S-025,IU-025,cd83bca109,VIV01,VIV01C,verified-from-source-image,high,yes,high,ToSqlQuery mapping,SQL text is partially cropped but enough is visible to identify ToSqlQuery mapping.
VIV01C-S003,S-026,IU-026,de3758264a,VIV01,VIV01C,verified-from-source-image,high,no,high,ToView: SQL lives in the database,
VIV01C-S004,S-027,IU-027,e12425be98,VIV01,VIV01C,verified-from-source-image,high,no,high,ToSqlQuery: SQL lives in EF mapping,
