source_id,image_use,symbol_id,x,y,width,height,asset_sha1,region,status,transcript
S-001,U-001,image-c2a6fd40c037c159fdc1d949d4ca163cc1ccff1a,7782.104319071983,3907.4959669101518,859.0,470.0,de313fd8ee5e3fde372b4553ecd89f4cbda93237,R03,reviewed,regions/R03.md
S-002,U-002,image-5df251319def930191ee75ab752e57e66af22e65,7785.422611863176,4404.7231841509165,976.0,341.0,4011b9a9bc2ad850d2330cd76d0321a4921e8f48,R03,reviewed,regions/R03.md
S-003,U-003,image-99572c42b2dbfe4845ecf83871ca69228d577730,7801.240682708346,4754.768638696369,988.0,470.0,ef57e7e8bdf0b2295ef1c804f7771a7c6f33cccb,R03,reviewed,regions/R03.md
S-004,U-004,image-b7a7c61e1fca1f600c54cac339837f08469c5a03,6376.429560281833,1528.3935596024976,986.0,397.0,84ef51eb4cdb425901baf982dd9c926873af2695,R02,reviewed,regions/R02.md
S-005,U-005,image-786aed3315ee12dc881c1e62a2f3ab8605aa6970,6340.04076633652,1167.2824145829663,985.0,329.0,e0ac4cbc74437d9d516c84fdefcf08a2acdd874c,R02,reviewed,regions/R02.md
S-006,U-006,image-d29c0304dbd41ba1ad37dca3ba1072e4a2f857dc,6340.331766732845,704.0290404343286,877.0,463.0,0fafc65b84a8f7484ccc910e607ebff3d65641d0,R02,reviewed,regions/R02.md
S-007,U-007,image-75167761b2465bcb90934d90df4ae6aa63a6eca0,6321.153050008252,289.5162277465288,807.0,408.0,2ab4f3749f2d16fe1a8a007a4d6298284dfbb27e,R02,reviewed,regions/R02.md
S-008,U-008,image-8b8cc06efdaef4cfc68e84a036591e1055381570,6432.342397346432,2817.6672426590803,984.0,254.0,99aaa2268b5a5f7fd6211e33e079519086096727,R02,reviewed,regions/R02.md
S-009,U-009,image-ecba42fd726e268b423c166ed1557502cd6780ad,6416.342356656329,2400.5561586747053,1008.0,414.0,181c5745eb0bba9e42aed466879373b2e0dd05f0,R02,reviewed,regions/R02.md
S-010,U-010,image-2fe8398daa19e06042c16031c0113dc812408cf0,6386.6756289545065,1960.5005759924143,982.0,395.0,62d39317b11bb7da9f01fb5fb1a8cd8f4e7f7dbc,R02,reviewed,regions/R02.md
S-011,U-011,image-598bd9797c19544c7d9d659d65637e2a17a27aba,6517.670505425016,5332.6225140620745,754.0,482.0,94ad61fdf187bbd83b14bfa42cca60d8f6955590,R03,reviewed,regions/R03.md
S-012,U-012,image-6bacaab22530edc6732b58cbe33f2715f68d8c71,6500.231354052163,5025.445390038637,866.0,302.0,027bf19a937a6e324a153107c46c98cd08acdc32,R03,reviewed,regions/R03.md
S-013,U-013,image-4b58d12fa7545be700e895da9edee848ec693397,6507.333361384657,4529.955827050356,801.0,482.0,168ce5cf02987c39e7aeefc194d04e1e2add724e,R03,reviewed,regions/R03.md
S-014,U-014,image-5cd431543ae3de44f2709b401555a646e7d440d9,6436.0647280756,4285.6120160151995,1085.0,211.0,e6dc035fa28bbc3f4b847a2656ba045182e8708e,R03,reviewed,regions/R03.md
S-015,U-015,image-14a13a563152cc4bdcad8198b4686936875490f2,6380.231354052163,3844.1120770503558,970.0,414.0,014d9e3da696acbf2363996c2c8a1a3e3bb6ed2a,R02,reviewed,regions/R02.md
S-016,U-016,image-d5356c16e68b35cee1e6e22388fef6693a2d9c4d,6343.064606005288,3462.2787030269183,983.0,375.0,c4462d677a7df15ca0352d2774e63ed5ad7eefaa,R02,reviewed,regions/R02.md
S-017,U-017,image-95da7cdbcad3adba432ce642bb8d689293c61632,4376.417019266588,1850.2790714745834,994.0,209.0,c68e784482c0034f13c83ccb1584a63bdc356fa4,R02,reviewed,regions/R02.md
S-018,U-018,image-15ffbfed64e71e00683960046d921095d6c53c78,4379.62511606792,1383.1464881154752,990.0,474.0,5d9b9a890997fc548766d4069f2b063090d6d09e,R02,reviewed,regions/R02.md
S-019,U-019,image-220c01eb2d384d8628af09d08af5fdbee92759af,4364.421895790807,1007.2861309330356,965.0,365.0,bec588f38a59eba932d4e658e321b80b4b6572e3,R02,reviewed,regions/R02.md
S-020,U-020,image-ff0ca0b045242198af80ff7142e40f7a82e2481b,8966.838993787258,3602.745072642556,1005.0,384.0,408cfe81e80f11416ab861a5fd52a3c2692c9be6,R03,reviewed,regions/R03.md
S-021,U-021,image-abeff6ca60efbe2d03fcc5bd46ce33076c437055,8966.293171693007,3102.110563312557,1021.0,482.0,c7165258a6a59f9828f225b36dd6d9b9266d25f2,R03,reviewed,regions/R03.md
S-022,U-022,image-11e337e74c89aa1216907a696ce29aaf0ebef6ca,7917.328198613894,8463.84863196081,1000.0,359.0,55514f76f87524df3b72f01ee3667344c8becf6c,R03,reviewed,regions/R03.md
S-023,U-023,image-8b96d72f1eabec244beae16927cda8858b4ecedb,7886.664172708322,8177.453066185518,961.0,259.0,613aff6215253403ce7f568ea0223bd36e3104fa,R03,reviewed,regions/R03.md
S-024,U-024,image-296d3c1b8566e725df5db23b27f219999bfc7b8b,7847.377062438562,7732.450816553138,954.0,429.0,22742efce1a17e4886c826de6989e6ee0ad63496,R03,reviewed,regions/R03.md
S-025,U-025,image-dd491b79a003a61d51357bf3bf43f10d801eecf0,7861.778513900015,7381.0875790167565,937.0,335.0,67e6453f546e848e94dd079b7c2844ab6fec7250,R03,reviewed,regions/R03.md
S-026,U-026,image-301a5aed87cfbe70891a1daae55db89b874232b2,7883.004404154908,6896.670148964986,962.0,476.0,6539996565632b11dcc3acd6a89413f4b89c05a4,R03,reviewed,regions/R03.md
S-027,U-027,image-fa3143a879c6ae2a2bd300695b34015a93dd8018,7862.29702055985,6410.376531975528,936.0,482.0,a75d7b9843eed649138ee91753273e9fab2a1526,R03,reviewed,regions/R03.md
S-028,U-028,image-9532b5d30159a6d34e32072ab0808d8e3440c3d1,7857.297790735818,5883.651896090532,946.0,482.0,67db18d0a0e1a8c1106cdaea2efb13e0b837a79f,R03,reviewed,regions/R03.md
S-029,U-029,image-ff3c69156c25e3f7c10da63e36366dfa4cd03899,9083.520290846742,7083.731650605525,985.0,417.0,3f43c487c86866088a466cfacb26b0d4420e144a,R03,reviewed,regions/R03.md
S-030,U-030,image-4bcd2977e97eec7c212544ca096fa73d632bdf7b,9093.721198808824,6722.223522293845,947.0,328.0,d789fb9f1c2b565325b24c6c99bec5c71adfc2a1,R03,reviewed,regions/R03.md
S-031,U-031,image-2a711bc8cc89df5ba97617c185a4e3db326f0e84,9096.548179038433,6247.215336441671,969.0,466.0,7feab64edcf82d9fa39cf778355a1a6e790cf5cb,R03,reviewed,regions/R03.md
S-032,U-032,image-2c68edc42d5159c533df2353b1ffc225c50f3d46,9071.85244383217,5984.145913747839,948.0,248.0,da8a32d3772e3f860b1e5b2af6560c29ba2606ff,R03,reviewed,regions/R03.md
S-033,U-033,image-65053e033f827afd60da8b81e63c47646b7ea8c9,6279.554603415299,8918.061174599865,843.0,376.0,e62902a080fd190433800649b0647ba33a82adea,R03,reviewed,regions/R03.md
