source_id,image_use,symbol_id,x,y,width,height,asset_sha1,region
S-001,U-001,image-c2a6fd40c037c159fdc1d949d4ca163cc1ccff1a,7782.104319,3907.495967,859.0,470.0,de313fd8ee5e3fde372b4553ecd89f4cbda93237,R03
S-002,U-002,image-5df251319def930191ee75ab752e57e66af22e65,7785.422612,4404.723184,976.0,341.0,4011b9a9bc2ad850d2330cd76d0321a4921e8f48,R03
S-003,U-003,image-99572c42b2dbfe4845ecf83871ca69228d577730,7801.240683,4754.768639,988.0,470.0,ef57e7e8bdf0b2295ef1c804f7771a7c6f33cccb,R03
S-004,U-004,image-b7a7c61e1fca1f600c54cac339837f08469c5a03,6376.42956,1528.39356,986.0,397.0,84ef51eb4cdb425901baf982dd9c926873af2695,R02
S-005,U-005,image-786aed3315ee12dc881c1e62a2f3ab8605aa6970,6340.040766,1167.282415,985.0,329.0,e0ac4cbc74437d9d516c84fdefcf08a2acdd874c,R02
S-006,U-006,image-d29c0304dbd41ba1ad37dca3ba1072e4a2f857dc,6340.331767,704.02904,877.0,463.0,0fafc65b84a8f7484ccc910e607ebff3d65641d0,R02
S-007,U-007,image-75167761b2465bcb90934d90df4ae6aa63a6eca0,6321.15305,289.516228,807.0,408.0,2ab4f3749f2d16fe1a8a007a4d6298284dfbb27e,R02
S-008,U-008,image-8b8cc06efdaef4cfc68e84a036591e1055381570,6432.342397,2817.667243,984.0,254.0,99aaa2268b5a5f7fd6211e33e079519086096727,R02
S-009,U-009,image-ecba42fd726e268b423c166ed1557502cd6780ad,6416.342357,2400.556159,1008.0,414.0,181c5745eb0bba9e42aed466879373b2e0dd05f0,R02
S-010,U-010,image-2fe8398daa19e06042c16031c0113dc812408cf0,6386.675629,1960.500576,982.0,395.0,62d39317b11bb7da9f01fb5fb1a8cd8f4e7f7dbc,R02
S-011,U-011,image-598bd9797c19544c7d9d659d65637e2a17a27aba,6517.670505,5332.622514,754.0,482.0,94ad61fdf187bbd83b14bfa42cca60d8f6955590,R03
S-012,U-012,image-6bacaab22530edc6732b58cbe33f2715f68d8c71,6500.231354,5025.44539,866.0,302.0,027bf19a937a6e324a153107c46c98cd08acdc32,R03
S-013,U-013,image-4b58d12fa7545be700e895da9edee848ec693397,6507.333361,4529.955827,801.0,482.0,168ce5cf02987c39e7aeefc194d04e1e2add724e,R03
S-014,U-014,image-5cd431543ae3de44f2709b401555a646e7d440d9,6436.064728,4285.612016,1085.0,211.0,e6dc035fa28bbc3f4b847a2656ba045182e8708e,R03
S-015,U-015,image-14a13a563152cc4bdcad8198b4686936875490f2,6380.231354,3844.112077,970.0,414.0,014d9e3da696acbf2363996c2c8a1a3e3bb6ed2a,R02
S-016,U-016,image-d5356c16e68b35cee1e6e22388fef6693a2d9c4d,6343.064606,3462.278703,983.0,375.0,c4462d677a7df15ca0352d2774e63ed5ad7eefaa,R02
S-017,U-017,image-95da7cdbcad3adba432ce642bb8d689293c61632,4376.417019,1850.279071,994.0,209.0,c68e784482c0034f13c83ccb1584a63bdc356fa4,R02
S-018,U-018,image-15ffbfed64e71e00683960046d921095d6c53c78,4379.625116,1383.146488,990.0,474.0,5d9b9a890997fc548766d4069f2b063090d6d09e,R02
S-019,U-019,image-220c01eb2d384d8628af09d08af5fdbee92759af,4364.421896,1007.286131,965.0,365.0,bec588f38a59eba932d4e658e321b80b4b6572e3,R02
S-020,U-020,image-ff0ca0b045242198af80ff7142e40f7a82e2481b,8966.838994,3602.745073,1005.0,384.0,408cfe81e80f11416ab861a5fd52a3c2692c9be6,R03
S-021,U-021,image-abeff6ca60efbe2d03fcc5bd46ce33076c437055,8966.293172,3102.110563,1021.0,482.0,c7165258a6a59f9828f225b36dd6d9b9266d25f2,R03
S-022,U-022,image-11e337e74c89aa1216907a696ce29aaf0ebef6ca,7917.328199,8463.848632,1000.0,359.0,55514f76f87524df3b72f01ee3667344c8becf6c,R03
S-023,U-023,image-8b96d72f1eabec244beae16927cda8858b4ecedb,7886.664173,8177.453066,961.0,259.0,613aff6215253403ce7f568ea0223bd36e3104fa,R03
S-024,U-024,image-296d3c1b8566e725df5db23b27f219999bfc7b8b,7847.377062,7732.450817,954.0,429.0,22742efce1a17e4886c826de6989e6ee0ad63496,R03
S-025,U-025,image-dd491b79a003a61d51357bf3bf43f10d801eecf0,7861.778514,7381.087579,937.0,335.0,67e6453f546e848e94dd079b7c2844ab6fec7250,R03
S-026,U-026,image-301a5aed87cfbe70891a1daae55db89b874232b2,7883.004404,6896.670149,962.0,476.0,6539996565632b11dcc3acd6a89413f4b89c05a4,R03
S-027,U-027,image-fa3143a879c6ae2a2bd300695b34015a93dd8018,7862.297021,6410.376532,936.0,482.0,a75d7b9843eed649138ee91753273e9fab2a1526,R03
S-028,U-028,image-9532b5d30159a6d34e32072ab0808d8e3440c3d1,7857.297791,5883.651896,946.0,482.0,67db18d0a0e1a8c1106cdaea2efb13e0b837a79f,R03
S-029,U-029,image-ff3c69156c25e3f7c10da63e36366dfa4cd03899,9083.520291,7083.731651,985.0,417.0,3f43c487c86866088a466cfacb26b0d4420e144a,R03
S-030,U-030,image-4bcd2977e97eec7c212544ca096fa73d632bdf7b,9093.721199,6722.223522,947.0,328.0,d789fb9f1c2b565325b24c6c99bec5c71adfc2a1,R03
S-031,U-031,image-2a711bc8cc89df5ba97617c185a4e3db326f0e84,9096.548179,6247.215336,969.0,466.0,7feab64edcf82d9fa39cf778355a1a6e790cf5cb,R03
S-032,U-032,image-2c68edc42d5159c533df2353b1ffc225c50f3d46,9071.852444,5984.145914,948.0,248.0,da8a32d3772e3f860b1e5b2af6560c29ba2606ff,R03
S-033,U-033,image-65053e033f827afd60da8b81e63c47646b7ea8c9,6279.554603,8918.061175,843.0,376.0,e62902a080fd190433800649b0647ba33a82adea,R03
S-034,U-034,image-c1b0b3c8653fb28f8d979643aebd0ea10129a125,6287.876139,8517.227835,710.0,376.0,56bf4c6ab7161871146f1c3046d61d516ef19917,R03
S-035,U-035,image-5a4144b7739fbaaa156b3ea6a6c162e8e8db5189,6197.312338,7089.8048,787.0,482.0,b01a8a610ac97105f59f9cffd387fd63da5310d5,R03
S-036,U-036,image-995dc9b301fbf606c0953ea0a61240d20caf57ab,6158.064928,6616.76002,896.0,463.0,d1670918ba0465bd27535e21008cc5616dd07533,R03
S-037,U-037,image-e4708a7463b6aee4842ba788b1d21adcfdcbb296,6162.14149,6184.965164,904.0,463.0,69d61d299703cc4916a5b935308cbc18aa4bc688,R03
S-038,U-038,image-0cbd52c23cafa93107b06f1fd28933b531b3a6e0,6071.989309,7606.589075,1040.0,360.0,ccc90ccba81d442f7629b3a1113bdc4bce9e9fdb,R03
S-039,U-039,image-ee95f44012782e4da8dce0fd2a0e3a76e7998ab0,5971.248215,14561.017884,944.0,430.0,ace9619778eb6fc9d237acb718210e9e72569fce,R05
S-040,U-040,image-eccd0754c7db2ce4eacbd24f7c771f72eb28da2a,5954.581549,15005.906841,1024.0,258.0,61506074d896b08f5882ced650d1a6874c920629,R05
S-041,U-041,image-23f13af193fef873b57808de671ea465a90d51c2,5956.137172,15260.62908,1032.0,353.0,0ba019f6c8744f5953a7f7a209082db99fd907b3,R05
S-042,U-042,image-a21e502a7878ca38d866e82211268cffd787982b,4366.879554,2587.709402,796.0,482.0,e4dbe0e33b2ef7f083f2a3d050fb4cf60c05704d,R02
S-043,U-043,image-de94dcf2baf13f41c7a14089241a4473648a13e2,4317.120933,2108.936993,1002.0,377.0,c06a725ea2417e40df596df492f6e52c4bef92eb,R02
S-044,U-044,image-501d5b51c5393e6434b54146de7c5e5c4e748eef,2741.754572,2301.895835,804.0,482.0,4ea3a0d58af3ff85b16e12068526137b05547c5c,R01
S-045,U-045,image-5c643f98e7a80f9385ecea1ff9ce795785a22dac,2712.596096,1795.229194,769.0,482.0,2ccb2041659dec2cc5a3aa1a8428870d39a1b35f,R01
S-046,U-046,image-2c65515b8921cde79105a69b963eaaf973582e05,2683.957127,1288.562514,870.0,482.0,0447579fb13f528e8ca2862b2e456ec5a79124e1,R01
S-047,U-047,image-486fff846b3348db7b507a45caa89c385d84f061,2652.080537,862.459451,831.0,401.0,798b3af36489fa94815d6b58c98d9eeeaf0ba01c,R01
S-048,U-048,image-e77b992dd326d08d3955b42e7cb724ccf292bfac,3544.272764,4495.903472,996.0,329.0,2c1b0bb0ab539f9df9de6676f7c8868f61795964,R04
S-049,U-049,image-afbf9d0f97c0fa46819d561d3d3b6063348ccae7,3561.327166,4848.876874,814.0,482.0,22ccef2ffe122d3dbff03dd28e0ad8e6b8023103,R04
S-050,U-050,image-681d7c1114ebc8dc807596ac03a86344d7183be0,3551.976381,5354.062082,871.0,482.0,3ded7ebc741bc390d9a524ce63d980734d564e3b,R04
S-051,U-051,image-05cd80d1ca9b304b59f935f3cd58449f9d1addb3,3514.865402,5860.347916,1040.0,409.0,018942ff971a3a43c7e3e5cbd4ea2e36473be7d7,R04
S-052,U-052,image-8b0fdbf0c2c2001e28e1b24fabeae017dc7f8eec,3530.930096,6266.980355,837.0,417.0,6b206fd1448e7c5c198c6be97a93607d9d84aea4,R04
S-053,U-053,image-5f1dc3ec1e5b86dc74d4742d4125c3f08522b73f,3482.686538,6715.518817,954.0,443.0,e91cd2b5e8929591b4c2251f898a6d5231304da8,R04
