symbol_id,mime_type,sha1,intrinsic_width,intrinsic_height
image-3d609d9782d37a957996ee495b18928d2817597c,image/png,48fd437121d941f58243a4ea5b9434aa60b284eb,100.0,100.0
image-4b27a1be98fb3625ea14b244b7e2b6731282a9ae,image/png,aa4d2d9ee42a2939369d160b7f98e3dfff87b1a6,100.0,100.0
image-cda1fa9ff68b968d2c56b79d6db7443ccccdba4f,image/png,725662086c2900e1bdce43dcfa5096c1f9efeab4,100.0,100.0
image-40a5931ef5639045e0660c1500eee1be45647241,image/png,3e013cc7ed124edb4172756b4fec94847d5fd523,100.0,100.0
image-786b9111c48f036f465a9a7fda3e92d898e6d6e2,image/png,ae57390f3f6c64f6192c055cfe42459a1886841a,100.0,100.0
image-ad9a951a6ac677b30f08de7e158001b5dd1e6b53,image/png,9cf88e33491370b749afc0862a12744fcd2fa3fc,100.0,100.0
image-a62d552ac4a75027bb84259cc4142b39c6efd114,image/png,f81b197ac581e7743f05b6fc368f933863371a09,100.0,100.0
image-fb4e7d52bb89bb6c466669aa1fb860e9070f0c6d,image/png,00d532871b7b9f149d2806bdb48f3dd32c4c3a63,100.0,100.0
image-62d97ac730c68d50ae21fb948305cbe69744eec3,image/png,c05a82200f23c816e6b924c105acc24878b876db,100.0,100.0
image-4c32a37cfd57a16d75f3bb88f57813b584d4f360,image/png,83edababb8856b2ee0b740f97cd2f7a586f35775,100.0,100.0
image-51ce6126aec930610e5fd91956efb9157384680e,image/png,2c93d37a9d53d73e97d4b9257b61120633e94995,100.0,100.0
image-5f1dc3ec1e5b86dc74d4742d4125c3f08522b73f,image/png,e91cd2b5e8929591b4c2251f898a6d5231304da8,100.0,100.0
image-8b0fdbf0c2c2001e28e1b24fabeae017dc7f8eec,image/png,6b206fd1448e7c5c198c6be97a93607d9d84aea4,100.0,100.0
image-05cd80d1ca9b304b59f935f3cd58449f9d1addb3,image/png,018942ff971a3a43c7e3e5cbd4ea2e36473be7d7,100.0,100.0
image-681d7c1114ebc8dc807596ac03a86344d7183be0,image/png,3ded7ebc741bc390d9a524ce63d980734d564e3b,100.0,100.0
image-afbf9d0f97c0fa46819d561d3d3b6063348ccae7,image/png,22ccef2ffe122d3dbff03dd28e0ad8e6b8023103,100.0,100.0
image-e77b992dd326d08d3955b42e7cb724ccf292bfac,image/png,2c1b0bb0ab539f9df9de6676f7c8868f61795964,100.0,100.0
image-486fff846b3348db7b507a45caa89c385d84f061,image/png,798b3af36489fa94815d6b58c98d9eeeaf0ba01c,100.0,100.0
image-2c65515b8921cde79105a69b963eaaf973582e05,image/png,0447579fb13f528e8ca2862b2e456ec5a79124e1,100.0,100.0
image-5c643f98e7a80f9385ecea1ff9ce795785a22dac,image/png,2ccb2041659dec2cc5a3aa1a8428870d39a1b35f,100.0,100.0
image-501d5b51c5393e6434b54146de7c5e5c4e748eef,image/png,4ea3a0d58af3ff85b16e12068526137b05547c5c,100.0,100.0
image-de94dcf2baf13f41c7a14089241a4473648a13e2,image/png,c06a725ea2417e40df596df492f6e52c4bef92eb,100.0,100.0
image-a21e502a7878ca38d866e82211268cffd787982b,image/png,e4dbe0e33b2ef7f083f2a3d050fb4cf60c05704d,100.0,100.0
image-23f13af193fef873b57808de671ea465a90d51c2,image/png,0ba019f6c8744f5953a7f7a209082db99fd907b3,100.0,100.0
image-eccd0754c7db2ce4eacbd24f7c771f72eb28da2a,image/png,61506074d896b08f5882ced650d1a6874c920629,100.0,100.0
image-ee95f44012782e4da8dce0fd2a0e3a76e7998ab0,image/png,ace9619778eb6fc9d237acb718210e9e72569fce,100.0,100.0
image-0cbd52c23cafa93107b06f1fd28933b531b3a6e0,image/png,ccc90ccba81d442f7629b3a1113bdc4bce9e9fdb,100.0,100.0
