physical_id,text,empty
TP-001,Account activation,False
TP-002,For random generation berter to use this,False
TP-003,"In register redirect user to checkemail page, not signin",False
TP-004,public class Activation : Entity,False
TP-005,{,False
TP-006,public string SecurityCode { get; private set; },False
TP-007,public DateTimeOffset CodeExpirationTime { get; private set; },False
TP-008,public bool IsActivated { get; private set; },False
TP-009,public Maybe<DateTimeOffset> ActivatedAt { get; private set; },False
TP-010,public bool IsActivationAttempted { get; private set; },False
TP-011,public User User { get; internal set; } = default!;,False
TP-012,,True
TP-013,#region Empty Constructor,False
TP-014,"#pragma warning disable CS8618 // Поле, не допускающее значения NULL, должно содержать значение, отличное от NULL, при выходе из конструктора. Возможно, стоит объявить поле как допускающее значения NULL.",False
TP-015,private Activation() { },False
TP-016,"#pragma warning restore CS8618 // Поле, не допускающее значения NULL, должно содержать значение, отличное от NULL, при выходе из конструктора. Возможно, стоит объявить поле как допускающее значения NULL.",False
TP-017,#endregion,False
TP-018,,True
TP-019,private Activation(,False
TP-020,"string securityCode,",False
TP-021,"DateTimeOffset securityCodeExpiration,",False
TP-022,"bool isActive,",False
TP-023,"Maybe<DateTimeOffset> activatedAt,",False
TP-024,bool isActivationAttempted ),False
TP-025,{,False
TP-026,SecurityCode = securityCode;,False
TP-027,CodeExpirationTime = securityCodeExpiration;,False
TP-028,ActivatedAt = activatedAt;,False
TP-029,IsActivated = isActive;,False
TP-030,IsActivationAttempted = isActivationAttempted;,False
TP-031,},False
TP-032,,True
TP-033,internal UnitResult<Error> ActivateAccount(,False
TP-034,"string inputCode,",False
TP-035,DateTimeOffset utcNow),False
TP-036,{,False
TP-037,Guard.IsNotNull(inputCode);,False
TP-038,Guard.IsNotNull(utcNow);,False
TP-039,,True
TP-040,if (inputCode != SecurityCode),False
TP-041,{,False
TP-042,IsActivationAttempted = true;,False
TP-043,"return Errors.Account.InValidActivationCode(SecurityCode, inputCode);",False
TP-044,},False
TP-045,,True
TP-046,if(utcNow > CodeExpirationTime),False
TP-047,{,False
TP-048,IsActivationAttempted = true;,False
TP-049,"return Errors.Account.ActivationCodeHasExpired(inputCode, CodeExpirationTime);",False
TP-050,},False
TP-051,,True
TP-052,IsActivationAttempted = true;,False
TP-053,IsActivated = true;,False
TP-054,return UnitResult.Success<Error>();,False
TP-055,},False
TP-056,,True
TP-057,internal static Activation StartAccountActivation(DateTimeOffset utcNow),False
TP-058,{,False
TP-059,var code = Convert.ToHexString(RandomNumberGenerator.GetBytes(128));,False
TP-060,,True
TP-061,var expirationDate = utcNow.AddHours(1);,False
TP-062,,True
TP-063,"var aaInfo =new Activation(code!, expirationDate,false,Maybe.None,false);",False
TP-064,,True
TP-065,return aaInfo;,False
TP-066,},False
TP-067,,True
TP-068,,True
TP-069,,True
TP-070,},False
TP-071,In user:,False
TP-072,modelBuilder.Entity<Activation>(ab =>,False
TP-073,{,False
TP-074,"ab.ToTable(""AccountActivations"").HasKey(a => a.Id);",False
TP-075,,True
TP-076,"ab.Property(a => a.Id).HasColumnName(""ActivationsIds"");",False
