source_id,symbol_id,sha256,pixel_width,pixel_height,x,y,display_width,display_height,duplicate_of,image_file,transcript_status,question_status
S-001,image-85a8ae2b5c369a1ef59e4b03c9fd5c5bd6ceb2e0,7a62553f21729360b03b09d12750fd7f547937ccb32ea314c30103f1377fd473,718,268,0.0,0.0,718.0,268.0,,source/images/S-001.png,complete-v002,complete-v002
S-002,image-b8a73d05f0019314404fea8c7222e44aa462a282,d5a1a51a4673661f751707c614610c50207f997bbd31632489b63ef3438a93ec,804,159,0.0,0.0,804.0,159.0,,source/images/S-002.png,complete-v002,complete-v002
S-003,image-6dd8e869cbc641f3921e9dee6db34c91cf49d617,821b1cce5f1b5f9b41279ee7280bc72469fe91e45a047e537a31620fcdc6cc3e,822,578,0.0,0.0,757.0,532.0,,source/images/S-003.png,complete-v002,complete-v002
S-004,image-d5bc5095fe12607b663d5945e822412464e6a4a3,4db34e791287ad5634ae591107e53ad14cb9de4bee0c1d73ed60cbdb72dafc7e,845,548,0.0,0.0,570.0,369.0,,source/images/S-004.png,complete-v002,complete-v002
S-005,image-f6a87c07955a58d6ef133cea818e36640fe4aca2,46119150e5d561393971b43c05f7e54affac9d756d39185ebf50863308f605f5,1156,297,0.0,0.0,1156.0,297.0,,source/images/S-005.png,complete-v002,complete-v002
S-006,image-d0ceee7d4715e1ef7fbb786e6a6b11a6685d37eb,82341058a460e04b6a02500aa72af30cbf298a912988a5e9c0a9eea0d33f0420,886,438,0.0,0.0,926.0,458.0,,source/images/S-006.png,complete-v002,complete-v002
S-007,image-2c369e0a790f24ec31d477eb4620c2a48ba33f24,43ae33d5a218e02819d90f223c8628c554976390b94f643c1208814a7a0285fa,811,401,0.0,0.0,941.0,465.0,,source/images/S-007.png,complete-v002,complete-v002
S-008,image-9f85a8ccf5500305f33ca3887999c5ccc297640b,2fe87a01ba8a0ddd8e37d82fa7124e1d2d68985dde1186a37c4dc1c3a0b0f22c,1040,541,0.0,0.0,898.0,467.0,,source/images/S-008.png,complete-v002,complete-v002
S-009,image-a6d6eff867057c45e8ee087607d698d033797b5f,a35d4635951d0609ee5a4d13decfd4d079aee25f155dec75de8a19f32741eb93,1039,498,0.0,0.0,1052.0,504.0,,source/images/S-009.png,complete-v002,complete-v002
S-010,image-eee30aa1cfd1b83aa5958ae32a54f97d7ae94f63,d59c5a09b54f7bacac9f95238da2af570a1c6bfcc10e684ad304a9e594565af2,814,524,0.0,0.0,574.0,369.0,,source/images/S-010.png,complete-v002,complete-v002
S-011,image-98cf7b45f9a240612c031fc39827c7589ad0b8e8,cf37f03579a4b2e9ea6d321be345d0215bba6206f74c8c2f8f69d1fa69558a5c,803,183,0.0,0.0,803.0,183.0,,source/images/S-011.png,complete-v002,complete-v002
S-012,image-1bffec35f6f96bd49fd1991d1c6e762db6b20b75,7ca8432bafbc5d323807ede309f3f049f95cb9df74054eded6483f3d10ea4301,1050,526,0.0,0.0,738.0,369.0,,source/images/S-012.png,complete-v002,complete-v002
S-013,image-8c3c4be12febb1d5381bbcb9e442a97c778b851d,d5b470fe49142126dfdc6fb529cbc76c16e2c9516af4e1346e69b82309b784f7,1103,560,0.0,0.0,728.0,369.0,,source/images/S-013.png,complete-v002,complete-v002
S-014,image-29df5826dc989d1d903891e32175041753daf292,b134b6d4e36012e20b256ff4da72bf6227f3855a8fa81dac7337e5c7136ef36f,1102,106,0.0,0.0,1102.0,106.0,,source/images/S-014.png,complete-v002,complete-v002
S-015,image-f317b3877804a6576c56fe13a1ce4a2836cd05aa,38efc2091608537cf98ca9f3b0b7b885ff528f90c332cc94d709b3ede47926c3,1080,558,0.0,0.0,1836.0,949.0,,source/images/S-015.png,complete-v002,complete-v002
S-016,image-6efdc98f93af90a5d3c6d66f077db72acea476cf,40b810d350c8138d6461e2cac6e7c67679e1351cdae6b63c3da13a24efe1f59b,927,260,0.0,0.0,927.0,260.0,,source/images/S-016.png,complete-v002,complete-v002
