"Status","TopicName","MatchedPath","PossiblePaths"
"FOUND_NORMALIZED_SPACES","- EF CORE GENERAL repo shit entity shit onmodelcreat shit transactions shit dbexceptions db level invariants,protection, trigger","Canvases/new theory/fw_Asp/Sheet/- EF CORE GENERAL  repo shit   entity shit   onmodelcreat shit  transactions shit  dbexceptions   db level invariants,protection, trigger.md",""
"QUOTE_VARIANT_FOUND","""cancellation,async""","Canvases/new theory/fw_Asp/Sheet/cancellation,async.md",""
"QUOTE_VARIANT_FOUND","""when need to add content type, encoding""","Canvases/new theory/fw_Asp/Sheet/when need to add content type, encoding.md",""
"FOUND","abstraction and encapsulation","Canvases/new theory/fw_Asp/Sheet/abstraction and encapsulation.md",""
"FOUND","account activation","Canvases/new theory/fw_Asp/Sheet/account activation.md",""
"FOUND","actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata","Canvases/new theory/fw_Asp/Sheet/actiondescriptor,controlleractiondescriptor,endpoint,metadata, route or endpoint name, iapiendpointmetadata, ordered metadata.md",""
"FOUND","adddataprotection, encryption, password recovery","Canvases/new theory/fw_Asp/Sheet/adddataprotection, encryption, password recovery.md",""
"FOUND_NORMALIZED_SPACES","ALL ABOUT REQ RES ,,,,,,,TYPES OF REQUEST CONTENT httpclient part, server part, pipereader pipewriter stream reader stream writer","Canvases/new theory/fw_Asp/Sheet/ALL ABOUT REQ RES ,,,,,,,TYPES OF REQUEST CONTENT httpclient part,  server part, pipereader pipewriter stream reader stream writer.md",""
"FOUND","allocations","Canvases/new theory/fw_Asp/Sheet/allocations.md",""
"FOUND","alternate key","Canvases/new theory/fw_Asp/Sheet/alternate key.md",""
"FOUND","antiforgerytoken","Canvases/new theory/fw_Asp/Sheet/antiforgerytoken.md",""
"FOUND","apibehavioroptions","Canvases/new theory/fw_Asp/Sheet/apibehavioroptions.md",""
"FOUND","ascii","Canvases/new theory/fw_Asp/Sheet/ascii.md",""
"FOUND","assplitquery","Canvases/new theory/fw_Asp/Sheet/assplitquery.md",""
"FOUND","async processing of multiple calls,parallelism","Canvases/new theory/fw_Asp/Sheet/async processing of multiple calls,parallelism.md",""
"FOUND","AUTH EVENTS","Canvases/new theory/fw_Asp/Sheet/AUTH EVENTS.md",""
"FOUND","authenticaiton ticket, properties, context.User (claimsprincipal)","Canvases/new theory/fw_Asp/Sheet/authenticaiton ticket, properties, context.User (claimsprincipal).md",""
