source_type,source_id,asset_id,region,status,transcript_file
image_use,IU-001,A-067,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-002,A-066,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-003,A-065,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-004,A-064,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-005,A-063,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-006,A-062,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-007,A-061,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-008,A-060,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-009,A-059,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-010,A-058,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-011,A-057,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-012,A-056,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-013,A-055,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-014,A-054,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-015,A-053,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-016,A-052,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-017,A-051,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-018,A-050,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-019,A-049,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-020,A-048,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-021,A-047,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-022,A-046,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-023,A-045,R01,verified,regions/R01-contract-fields-validation.md
image_use,IU-024,A-044,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-025,A-043,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-026,A-042,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-027,A-041,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-028,A-040,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-029,A-039,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-030,A-038,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-031,A-037,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-032,A-036,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-033,A-035,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-034,A-034,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-035,A-033,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-036,A-032,R02,verified,regions/R02-shaping-extensions-controller-flow.md
image_use,IU-037,A-040,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-038,A-039,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-039,A-038,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-040,A-037,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-041,A-031,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-042,A-030,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-043,A-029,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-044,A-028,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-045,A-027,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-046,A-026,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-047,A-025,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-048,A-024,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-049,A-023,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-050,A-022,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-051,A-021,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-052,A-020,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-053,A-019,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-054,A-018,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-055,A-017,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-056,A-016,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-057,A-015,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-058,A-014,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-059,A-013,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
