text_id,x,y,group_x,group_y,text,empty,region,review_status,transcript_file
TX-001,1131.3801832349177,463.62441708287145,1131.3801832349177,446.00441708287144,to basics,False,R01,verified,regions/R01-contract-fields-validation.md
TX-002,5462.156491721215,568.4557010705458,5462.156491721215,550.8357010705458,public class AuthorsResourceParameters,False,R01,verified,regions/R01-contract-fields-validation.md
TX-003,5462.156491721215,593.4557010705458,5462.156491721215,550.8357010705458,{,False,R01,verified,regions/R01-contract-fields-validation.md
TX-004,5462.156491721215,618.4557010705458,5462.156491721215,550.8357010705458,    private const int MaxPageSize = 20;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-005,5462.156491721215,643.4557010705458,5462.156491721215,550.8357010705458,    private int _pageSize = 10;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-006,5462.156491721215,668.4557010705458,5462.156491721215,550.8357010705458,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-007,5462.156491721215,693.4557010705458,5462.156491721215,550.8357010705458,    public string? MainCategory { get; set; },False,R01,verified,regions/R01-contract-fields-validation.md
TX-008,5462.156491721215,718.4557010705458,5462.156491721215,550.8357010705458,    public string? SearchQuery { get; set; },False,R01,verified,regions/R01-contract-fields-validation.md
TX-009,5462.156491721215,743.4557010705458,5462.156491721215,550.8357010705458,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-010,5462.156491721215,768.4557010705458,5462.156491721215,550.8357010705458,    public int PageNumber { get; set; } = 1;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-011,5462.156491721215,793.4557010705458,5462.156491721215,550.8357010705458,    public int PageSize,False,R01,verified,regions/R01-contract-fields-validation.md
TX-012,5462.156491721215,818.4557010705458,5462.156491721215,550.8357010705458,    {,False,R01,verified,regions/R01-contract-fields-validation.md
TX-013,5462.156491721215,843.4557010705458,5462.156491721215,550.8357010705458,        get => _pageSize;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-014,5462.156491721215,868.4557010705458,5462.156491721215,550.8357010705458,        set => _pageSize = (value > MaxPageSize) ? MaxPageSize : value;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-015,5462.156491721215,893.4557010705458,5462.156491721215,550.8357010705458,    },False,R01,verified,regions/R01-contract-fields-validation.md
