source_id,symbol_id,sha256,pixel_width,pixel_height,x,y,display_width,display_height,duplicate_of,image_file,module,transcript_status,question_status
S-001,image-d302aa90bf5bae8fca5350ad517cff9157c6f2cf,f5340ee8c3e60e17eb609adf35e475f622f936462aad36113a6a5a7fc8f0e8f9,595,430,0.0,0.0,713.0,515.0,,source/images/S-001.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-002,image-6f4e2c074e55e1537d7d12d78abdbac1f7b4ce90,750f946d671f7233f85012519761a36bd5d1996fd8c1ffc4031112831f258bc9,1247,181,0.0,0.0,1247.0,181.0,,source/images/S-002.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-003,image-1213966d51228e5cfeb45051775ddc494e0f559f,5219009337cf1f43ff2194ddf79dba2e763310c043401b623ffc4f313ffac313,1405,391,0.0,0.0,1328.0,369.0,,source/images/S-003.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-004,image-d7fac1f4f569e35352d9a4e700ca3699862cf19b,52a24bc2f818e208dfb6207f6f671bd20c456073936bf9067224f2dad278f4a2,843,270,0.0,0.0,843.0,270.0,,source/images/S-004.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-005,image-c19905cc165188ee6373de8f60584a4bedd8fdcd,ba900f6d23068cbc210c5085e66c832ae8723f7187aec866305a2e34c492f5b9,760,495,0.0,0.0,741.0,482.0,,source/images/S-005.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-006,image-4d23828b7e98ff10c5c34f04eef02a4588c36895,51c8cfb4a30335ef32e37af4f20b7c9754bf0500624190563291de13f8aef490,854,248,0.0,0.0,854.0,248.0,,source/images/S-006.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-007,image-d1e967bd16b7c1b30ac3a073d6e48a417ca96550,4dfd1d3d49c43812115ee064bb8bf2fd3b16e314e4125a040c1148f97f5b330a,1174,530,0.0,0.0,1068.0,482.0,,source/images/S-007.png,M01-contract-parameters-validation,covered-by-v002-module,covered-by-v002-question-bank
S-008,image-a0e5b8cda36b7f6a16abea80dcf2ceb7ccfa7a85,c9ef9c1cf442a78ce9e3778fd6913b59e04cd9fa753319ed73abe9ad2a170fd4,464,102,0.0,0.0,464.0,102.0,,source/images/S-008.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-009,image-bb9c7ebd2a1241fb7070067e9ce80cdf4d00069c,0db9506819245173d86a78bc828137aa9f4a7ba7b0edcf19eaf9d2d644d4ea17,1099,348,0.0,0.0,1099.0,348.0,,source/images/S-009.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-010,image-cb53eff6a0ddf463e24884bc500a0c585b4353cb,53b5124f10a0598eace888932fb66d771eeb47dd831d32c73f61e68ab54f3fe3,1267,400,0.0,0.0,1267.0,400.0,,source/images/S-010.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-011,image-364e55a59e7d7d0c04966a612da6e00151c887cb,b229e5ed1f19bd65cec116b753af2792fe2455569947fa341662c49452697724,975,385,0.0,0.0,975.0,385.0,,source/images/S-011.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-012,image-d8e43e70402eff46029ec4ecae86fb44eef91f8b,f3206daa32bffad1a9bf77a24b2d41bfb1fbef0e9ac189fdc84cd11ff4639fcc,381,81,0.0,0.0,381.0,81.0,,source/images/S-012.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-013,image-23bef1f228c4c1894f56f0207ea349f08c84cb3d,56f51e5ca6e55fe60f59fb3cae07b6d6cd3e68db470e0a0b15b01f7546c7e68a,341,75,0.0,0.0,341.0,75.0,,source/images/S-013.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-014,image-4f8777d514e055f927f75622ff60806da751d6f6,e62ec1ee9bf51929a214cebf5298bcaa42e97858e256c306c83ce250b9cf6fec,385,84,0.0,0.0,385.0,84.0,,source/images/S-014.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-015,image-ff14aad8b7e9e90a181d57efa96a2a3f7239d3b0,75e7b399b8ba3a66af49bbc9adcdaddecffcb48f151d3e14ff81c234a7d20dc3,795,176,0.0,0.0,795.0,176.0,,source/images/S-015.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-016,image-5a2d1a319d8f421f998aa3d94006fabe4b211036,97c9ab368aaac6328abfef0d9d0eb6ea04c4abc7c974543e13f7a2a6814ad576,1022,282,0.0,0.0,1022.0,282.0,,source/images/S-016.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-017,image-ad91d2fccdd36c97be3aac55dd093a0e7bc39b0a,52b4046e43973c189ff1a6840f7565975392c6f8a094bfdef72e569698776c7d,761,373,0.0,0.0,761.0,373.0,,source/images/S-017.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-018,image-32e2e77addcb2d2efb72d28a20bb3641a8c8c97c,17e06f733bdd31b57f3ca9b878cef573c42580b345137c7f07957b6ea8333525,727,335,0.0,0.0,727.0,335.0,,source/images/S-018.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
S-019,image-769bcdd077f6b86ae600eed2cd3ae07fc5a62cb2,5ee7e13dcaac4a4166b85fbb86e80098267ce6b5a5063d7b3691e5035d69692c,703,89,0.0,0.0,703.0,89.0,,source/images/S-019.png,M02-shaping-extensions-di-controller,covered-by-v002-module,covered-by-v002-question-bank
