text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,you are still substracting y from x,2636.6650789887826,2362.830317534045,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
T-002,but when you are building lambda - you are,2636.6650789887826,2387.830317534045,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
T-003,setting up what param will be x and what will be y,2636.6650789887826,2412.830317534045,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
T-004,when you call function,2636.6650789887826,2437.830317534045,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
T-005,expression convert(unary),3169.4214341089937,1099.140847091667,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
T-006,about methodcallexpression,6596.798757306736,293.52154226597287,R05,closed,05-transcript-R05-methodcallexpression-construction-and-deconstruction.md,06-full-combined-final-transcript.md
T-007,property,1752.3703793315544,173.6278404421119,R02,closed,02-transcript-R02-property-access-expressions.md,06-full-combined-final-transcript.md
T-008,decosntructoin example,55.98664862134683,157.57191929233124,R01,closed,01-transcript-R01-expression-deconstruction-and-node-inspection.md,06-full-combined-final-transcript.md
T-009,operator -> binary expressoin mapping,2908.758392241633,253.0547097559062,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
T-010,expression types,4977.951249375683,79.30535125732419,R04,closed,04-transcript-R04-expression-node-types.md,06-full-combined-final-transcript.md
T-011,parameters and lambda,3034.501563716702,1188.8393130660568,R03,closed,03-transcript-R03-binary-operators-parameters-lambdas-and-conversions.md,06-full-combined-final-transcript.md
