source_id,sha256,sha256_12,placements,image_file,transcript_file,status
S-001,a1143dcb50550093f843af61c7211088b6f26a286abbe864211bb5952329f3bf,a1143dcb5055,2,source/images-near-literal-v002/S-001__a1143dcb50.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-002,d8912ccd3555cd4c5f0505cda48809d5b25332e6b5af17592232048b58ed46f1,d8912ccd3555,1,source/images-near-literal-v002/S-002__d8912ccd35.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-003,3f0b0e0fd98714fa7d77d082cc6adfbf5dab276919c2cf1a05c982487e735fe3,3f0b0e0fd987,1,source/images-near-literal-v002/S-003__3f0b0e0fd9.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-004,043a22edca86bb1eea3aa90575dda95765bd954ac1f3633a896f84bfd96c4648,043a22edca86,1,source/images-near-literal-v002/S-004__043a22edca.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-005,f4785158919ec3ed87ce605d0d5ea938b28aab65c0c7022611e77042de54155c,f4785158919e,1,source/images-near-literal-v002/S-005__f478515891.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-006,1da6318dd74dd5f14d63204ff296127ac834c1c6355bda8277ac96286ae38e38,1da6318dd74d,1,source/images-near-literal-v002/S-006__1da6318dd7.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-007,d78f9450be54bdab36cf296e0e7594d8bc71470eec825a9ffcb56c33082c2ea7,d78f9450be54,1,source/images-near-literal-v002/S-007__d78f9450be.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-008,b836985661e1bda3974e13f39b56706cd4b76cb808628b8469f836a24342e61e,b836985661e1,1,source/images-near-literal-v002/S-008__b836985661.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-009,7794e893d332aed7b1f12353f99ec0991cef71540bbffddd747d091e022a3123,7794e893d332,1,source/images-near-literal-v002/S-009__7794e893d3.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-010,babdf7eac432852f1c546e8e18b8d46b183fc19b5eec1f8c8d0ddafc9ed36928,babdf7eac432,1,source/images-near-literal-v002/S-010__babdf7eac4.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-011,a23bd6d98c3f871e2ce518742f56013c7a257f53d562bccd0de655a98a45b352,a23bd6d98c3f,1,source/images-near-literal-v002/S-011__a23bd6d98c.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-012,15e39b339b9fb55565418b7c28c301837e78880e573b870f527a5b18cc3cd0dd,15e39b339b9f,1,source/images-near-literal-v002/S-012__15e39b339b.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-013,4d98b9853562cb1a0e09e9dae2b380aa5d2f9cd1e2f822e24df6d1ff6b80ef60,4d98b9853562,1,source/images-near-literal-v002/S-013__4d98b98535.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-014,65ecc7c59e94f3daedfc691d3f9ae32473361b566d14dae57b10891144dff3e2,65ecc7c59e94,1,source/images-near-literal-v002/S-014__65ecc7c59e.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
