source_id,image_use_id,symbol_id,sha256,file,x,y,width,height,status,notes
S-001,,image-e19216dfec75c8e7826bacf3eaefde50273834a1,a1143dcb50550093f843af61c7211088b6f26a286abbe864211bb5952329f3bf,a1143dcb50550093f843af61c7211088b6f26a286abbe864211bb5952329f3bf.png,10.0,88.955,643.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-002,,image-7d036ddaf4c44e40fd99db5318b0d096fae877e5,d8912ccd3555cd4c5f0505cda48809d5b25332e6b5af17592232048b58ed46f1,d8912ccd3555cd4c5f0505cda48809d5b25332e6b5af17592232048b58ed46f1.png,703.248,90.928,806.0,405.0,closed-by-final-transcript,Verified in final semantic transcript.
S-003,,image-e19216dfec75c8e7826bacf3eaefde50273834a1,a1143dcb50550093f843af61c7211088b6f26a286abbe864211bb5952329f3bf,a1143dcb50550093f843af61c7211088b6f26a286abbe864211bb5952329f3bf.png,3349.982,212.969,643.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-004,,image-01ef9905401ab8ed7bb0f7bc5209b7971fa1ed73,3f0b0e0fd98714fa7d77d082cc6adfbf5dab276919c2cf1a05c982487e735fe3,3f0b0e0fd98714fa7d77d082cc6adfbf5dab276919c2cf1a05c982487e735fe3.png,729.375,524.124,757.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-005,,image-bf6fe7918af3865c0dc5e756e52657efce6b0083,043a22edca86bb1eea3aa90575dda95765bd954ac1f3633a896f84bfd96c4648,043a22edca86bb1eea3aa90575dda95765bd954ac1f3633a896f84bfd96c4648.png,3350.232,708.206,627.0,65.0,closed-by-final-transcript,Verified in final semantic transcript.
S-006,,image-7c665bee17b149121a0a6c90535337c0a7190c5e,f4785158919ec3ed87ce605d0d5ea938b28aab65c0c7022611e77042de54155c,f4785158919ec3ed87ce605d0d5ea938b28aab65c0c7022611e77042de54155c.png,3333.625,815.346,817.0,328.0,closed-by-final-transcript,Verified in final semantic transcript.
S-007,,image-7e2ac761be5ac762f66c1801e3ac8e7561aaafcd,1da6318dd74dd5f14d63204ff296127ac834c1c6355bda8277ac96286ae38e38,1da6318dd74dd5f14d63204ff296127ac834c1c6355bda8277ac96286ae38e38.png,774.781,1029.062,660.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-008,,image-ce9d1be8666487f04d6fca1f3c1c6e2c9eed67b1,d78f9450be54bdab36cf296e0e7594d8bc71470eec825a9ffcb56c33082c2ea7,d78f9450be54bdab36cf296e0e7594d8bc71470eec825a9ffcb56c33082c2ea7.png,3314.864,1260.43,746.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-009,,image-35ec2c39a7568f16cda10af5691f6866de8a9384,b836985661e1bda3974e13f39b56706cd4b76cb808628b8469f836a24342e61e,b836985661e1bda3974e13f39b56706cd4b76cb808628b8469f836a24342e61e.png,767.213,1526.886,589.0,220.0,closed-by-final-transcript,Verified in final semantic transcript.
S-010,,image-f9ea85195f40a9a3d887b76f8f81a6304529a6fa,7794e893d332aed7b1f12353f99ec0991cef71540bbffddd747d091e022a3123,7794e893d332aed7b1f12353f99ec0991cef71540bbffddd747d091e022a3123.png,748.251,1779.724,811.0,415.0,closed-by-final-transcript,Verified in final semantic transcript.
S-011,,image-636fa6a3924b7288fabe4fdca91cecdbacd6a693,babdf7eac432852f1c546e8e18b8d46b183fc19b5eec1f8c8d0ddafc9ed36928,babdf7eac432852f1c546e8e18b8d46b183fc19b5eec1f8c8d0ddafc9ed36928.png,1900.08,2070.236,860.0,439.0,closed-by-final-transcript,Verified in final semantic transcript.
S-012,,image-0e9b002fee673d2c81023a53974d121fdbdaf9e4,a23bd6d98c3f871e2ce518742f56013c7a257f53d562bccd0de655a98a45b352,a23bd6d98c3f871e2ce518742f56013c7a257f53d562bccd0de655a98a45b352.png,760.446,2209.226,810.0,482.0,closed-by-final-transcript,Verified in final semantic transcript.
S-013,,image-1e7b099c04634cb89c0110f4e9a415e5b1f0d76a,15e39b339b9fb55565418b7c28c301837e78880e573b870f527a5b18cc3cd0dd,15e39b339b9fb55565418b7c28c301837e78880e573b870f527a5b18cc3cd0dd.png,1942.318,2509.749,847.0,420.0,closed-by-final-transcript,Verified in final semantic transcript.
S-014,,image-752d83a309784b29c4d202662fca54bf85783da1,4d98b9853562cb1a0e09e9dae2b380aa5d2f9cd1e2f822e24df6d1ff6b80ef60,4d98b9853562cb1a0e09e9dae2b380aa5d2f9cd1e2f822e24df6d1ff6b80ef60.png,756.972,2710.011,847.0,413.0,closed-by-final-transcript,Verified in final semantic transcript.
S-015,,image-d966e447278a394ab680c150d925bce0d518fe27,65ecc7c59e94f3daedfc691d3f9ae32473361b566d14dae57b10891144dff3e2,65ecc7c59e94f3daedfc691d3f9ae32473361b566d14dae57b10891144dff3e2.png,1940.751,2943.04,917.0,395.0,closed-by-final-transcript,Verified in final semantic transcript.
