source_id,image_use_id,symbol_id,sha256,x,y,width,height,pixel_width,pixel_height,asset_path,region_id,description,nearest_text_nodes_hint_only
RS-001,RIU-001,image-ed374b9367cd613525c164da28b6fdb8a30f0c44,bed413c1e6ec386b29fca387468ab6001a371b4143ad363480bb2706d276bb71,60.074383169516295,417.71198443188405,778.0,570.0,910,666,assets/source-images-restored-v002/RS-001__bed413c1e6.png,R02,"Catch linked-token cancellation, inspect original request-abort and timeout tokens to identify likely cause, then rethrow.","[{""text_id"": ""T-034"", ""text"": ""how to know what caused""}, {""text_id"": ""T-035"", ""text"": ""cancellation""}, {""text_id"": ""T-036"", ""text"": ""when have linkedtokensource""}, {""text_id"": ""T-037"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-017"", ""text"": ""linkedtokensource""}]"
RS-002,RIU-002,image-f64b26be9584bc6eaacf3a1ee067d5db30e47577,6104ead578a358da02e8fa98b68bf73668459db79001574be9c022a8590b66ed,9975.731098964707,795.9388151999701,824.0,200.0,824,200,assets/source-images-restored-v002/RS-002__6104ead578.png,R04,ASP.NET Core request-cancellation guidance: normally do not catch or log as an error; pass the request token and use async/await throughout.,"[{""text_id"": ""T-027"", ""text"": ""Handling exceptions in async code""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}, {""text_id"": ""T-033"", ""text"": ""EXCEPTIONS""}, {""text_id"": ""T-026"", ""text"": ""!!!""}, {""text_id"": ""T-029"", ""text"": ""Now just""}]"
RS-003,RIU-003,image-02c93f5bf55d2411389130debf79a9accff3b5c9,bf689c38d5c8c6f921b1ac014a9e8a79206e249debe273e5dea30ebaad6bbec9,6960.126242193417,839.0363622557925,1138.0,369.0,1275,414,assets/source-images-restored-v002/RS-003__bf689c38d5.png,R01,"Why cancellation matters: releases I/O resources, improves scalability, and avoids wasting CPU on abandoned work.","[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-026"", ""text"": ""!!!""}, {""text_id"": ""T-033"", ""text"": ""EXCEPTIONS""}]"
RS-004,RIU-004,image-b8e9ffa6c5fa2568753636854cafbdf6729ab4ce,58247c6285dc82a29eeb341564740f4a620c6993b7631267f6cfc9e41a98ee6a,3941.962976138399,871.2418612790298,740.0,347.0,740,347,assets/source-images-restored-v002/RS-004__58247c6285.png,R02,CreateLinkedTokenSource(requestCt) creates a new CTS whose token cancels when any linked token cancels.,"[{""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}]"
RS-005,RIU-005,image-174f5487167f7716851e27b7293c460f153b16eb,592939fc7a7431a1ea2510a7f681fef64bc5d3ad439b068be573c03cb9e52a2f,4736.938414648883,906.9050780492544,717.0,294.0,717,294,assets/source-images-restored-v002/RS-005__592939fc7a.png,R02,BookCoversClient example creates an internal CTS and links it with the external request token.,"[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}]"
RS-006,RIU-006,image-b268b589eeabe45ce417aa938c7cf22b300d2ae3,e01e2509dbad5b5051d2d597ad400557a56a03688743e448b993caab6fc227f2,2376.494665695649,936.0299717812159,1146.0,369.0,1371,442,assets/source-images-restored-v002/RS-006__e01e2509db.png,R02,Demo boundary: one operation listens to multiple cancellation tokens.,"[{""text_id"": ""T-005"", ""text"": ""Have token passed from controller and our source with using""}, {""text_id"": ""T-004"", ""text"": ""Operation should be cancelled if user navigates away OR if you cant fetch something from ext api""}, {""text_id"": ""T-006"", ""text"": ""Creating linked cancellation token source by passing our two tokens""}, {""text_id"": ""T-017"", ""text"": ""linkedtokensource""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}]"
RS-007,RIU-007,image-217d486c86ef47b81a5c1aca363862df0547ed6f,d9201075f52474c2aaef9c4498ab36cef4f3569e7e23258d4b6cb2a536886ea8,5567.2087326809515,1058.381300859619,627.0,463.0,800,591,assets/source-images-restored-v002/RS-007__d9201075f5.png,R02,Manual ThrowIfCancellationRequested before an async call is mainly for prompt fail-fast behavior and clarity.,"[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}]"
RS-008,RIU-008,image-98a7cab83253bd956196439ed5a4fd8e7f29799c,f403dc9e8b10526c7edf103f9ce26e81715c58fa7bbaffaa12f09b5defdbcb02,4734.563481581716,1236.8416174721642,708.0,632.0,650,580,assets/source-images-restored-v002/RS-008__f403dc9e8b.png,R02,Loop uses the linked token for HTTP and content reads; internal CTS can abort the batch on a downstream failure.,"[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}]"
RS-009,RIU-009,image-4f5757c8481626ab624d076f3dad1dd63cd5a012,e1f8a3c32629e102749efb643fc4f327e8803ac13380aee4c66d1b578c35765d,3940.345996926204,1238.6249062532734,738.0,279.0,738,279,assets/source-images-restored-v002/RS-009__e1f8a3c326.png,R02,Why not pass requestCt directly: the operation has both caller cancellation and an internal abort condition.,"[{""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}, {""text_id"": ""T-010"", ""text"": ""new token source""}, {""text_id"": ""T-011"", ""text"": ""to 2 tokens""}, {""text_id"": ""T-012"", ""text"": ""so produces by this source""}]"
RS-010,RIU-010,image-bdd060b8d794369da59152653c84bf923c78ef03,e40252578d55026da1cf844aafec0c7d1bf77150139968851aa9ee9f13d9de86,6945.333815141128,1266.2585444237193,1313.0,369.0,1322,372,assets/source-images-restored-v002/RS-010__e40252578d.png,R01,CancellationTokenSource is the controller/producer that owns cancellation and notifies token listeners.,"[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-026"", ""text"": ""!!!""}, {""text_id"": ""T-033"", ""text"": ""EXCEPTIONS""}]"
