region,source_id,image_use_id,file_sha,x,y,width,height,stage1_status,region_meaning
R01,S-001,IU-001,34c6106e5f54,1028.1363867507396,282.77227228197444,828.0,228.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-002,IU-002,2f43a0b5ba48,2070.046081330901,312.2573286923889,776.0,482.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-003,IU-003,de5d7e1ee209,1044.363659478012,516.9843195120884,781.0,482.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-004,IU-004,77a676856ba8,1082.906897607727,1190.561544284079,847.0,333.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-005,IU-005,bd12d03a7ff5,1110.5873683041586,1529.315497675594,803.0,206.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-006,IU-006,83950b255371,1112.3651189552002,1756.2599862009847,819.0,265.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-007,IU-007,ecce58dbe4b2,1158.323015574504,2381.465590545027,794.0,324.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R01,S-008,IU-008,14ca283f2c12,1187.8482138462846,2706.354506560652,694.0,401.0,verified-semantic-transcript,"basic setup, methods, expiration, size limits, removal"
R02,S-009,IU-009,78248ff119ff,1213.6865502128794,3109.8798994975914,756.0,146.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-010,IU-010,6849914275dc,1149.3229112914287,3573.1000915315335,743.0,482.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-011,IU-011,99ae88b225d7,10.0,3727.1131553701634,915.0,374.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-012,IU-012,d336c3334133,1173.5848123020003,4057.822082200567,617.0,334.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-013,IU-013,2d62d572a060,97.16661071777344,4121.113140111374,851.0,385.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-014,IU-014,38f7c63ac906,134.75868448397023,4541.790264134812,677.0,482.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-015,IU-015,2fe5d2f2f498,197.58829691303936,5068.9216164149475,669.0,482.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R02,S-016,IU-016,5875c044b6ca,169.8887176513672,5562.1333880620805,858.0,267.0,verified-semantic-transcript,"bulk invalidation, versions/manual tags, cache organization"
R03,S-017,IU-017,25e7c74ddd4b,1243.7255877285158,7164.139083069376,874.0,482.0,verified-semantic-transcript,"stampede protection, GetOrCreate behavior, advanced caveats"
R03,S-018,IU-018,904b3afd3003,1248.5547871391248,7672.571894228582,904.0,480.0,verified-semantic-transcript,"stampede protection, GetOrCreate behavior, advanced caveats"
R03,S-019,IU-019,f1aceeea3233,1302.3541392732716,8178.08251434577,826.0,482.0,verified-semantic-transcript,"stampede protection, GetOrCreate behavior, advanced caveats"
R03,S-020,IU-020,9fb004f2f614,1283.721352080531,8696.238611757879,917.0,306.0,verified-semantic-transcript,"stampede protection, GetOrCreate behavior, advanced caveats"
