source_id,image_use_id,region_candidate,x,y,width,height,file_sha,symbol_id
S-001,IU-001,R01,1028.1363867507396,282.77227228197444,828.0,228.0,34c6106e5f54,image-636cfd6bea723171602ecfe7a278e05939ee3fd9
S-002,IU-002,R01,2070.046081330901,312.2573286923889,776.0,482.0,2f43a0b5ba48,image-f133b3527f6721595bfcb327f3935800711551b8
S-003,IU-003,R01,1044.363659478012,516.9843195120884,781.0,482.0,de5d7e1ee209,image-68905d7b394e843a38267686df6e1f2cd0bf1724
S-004,IU-004,R01,1082.906897607727,1190.561544284079,847.0,333.0,77a676856ba8,image-75d389941facc79d78859bfb67f6ad311eac8eff
S-005,IU-005,R01,1110.5873683041586,1529.315497675594,803.0,206.0,bd12d03a7ff5,image-297856616e26fe566639a0bbe0489b2127d38d9c
S-006,IU-006,R01,1112.3651189552002,1756.2599862009847,819.0,265.0,83950b255371,image-56f8974c02f983a67941ccb0c9fbb0cbdf8e69ed
S-007,IU-007,R01,1158.323015574504,2381.465590545027,794.0,324.0,ecce58dbe4b2,image-7ad9fd0185ba234e63007bef7005e4962a62f8ed
S-008,IU-008,R01,1187.8482138462846,2706.354506560652,694.0,401.0,14ca283f2c12,image-7defd0e20d9ea4584dcb65e73d8d3468a000f3a6
S-009,IU-009,R02,1213.6865502128794,3109.8798994975914,756.0,146.0,78248ff119ff,image-9c9eaa171fdfbdefcd489e25fe41b09ae5a35984
S-010,IU-010,R02,1149.3229112914287,3573.1000915315335,743.0,482.0,6849914275dc,image-45d9c16254fee5d0157b6bfacf3a5d9fd7a8388e
S-011,IU-011,R02,10.0,3727.1131553701634,915.0,374.0,99ae88b225d7,image-bdcd193d77e379822c3ceb6362af14882efd96d9
S-012,IU-012,R02,1173.5848123020003,4057.822082200567,617.0,334.0,d336c3334133,image-ad81ad60129f6a7d3fcc1bdcfa42f3c53400b107
S-013,IU-013,R02,97.16661071777344,4121.113140111374,851.0,385.0,2d62d572a060,image-eeb68d79c56e1d15c1773a4a2ffc6893c2ed0bf7
S-014,IU-014,R02,134.75868448397023,4541.790264134812,677.0,482.0,38f7c63ac906,image-0ea57fa96831e280dbc9bde23b53652355cd2d04
S-015,IU-015,R02,197.58829691303936,5068.9216164149475,669.0,482.0,2fe5d2f2f498,image-3d57caf68f74ea6d7174906343bf221e6bbdee68
S-016,IU-016,R02,169.8887176513672,5562.1333880620805,858.0,267.0,5875c044b6ca,image-a66997c1b9f07ed86c8455dccb9f6331119536dd
S-017,IU-017,R03,1243.7255877285158,7164.139083069376,874.0,482.0,25e7c74ddd4b,image-f0436fd9e069671a575acf5bb43e12707b56f23a
S-018,IU-018,R03,1248.5547871391248,7672.571894228582,904.0,480.0,904b3afd3003,image-4913ed4f8978b376d4440715ca9bca321d7cdbeb
S-019,IU-019,R03,1302.3541392732716,8178.08251434577,826.0,482.0,f1aceeea3233,image-5f9247b53f53c584117e2291630e956f4f8dca2c
S-020,IU-020,R03,1283.721352080531,8696.238611757879,917.0,306.0,9fb004f2f614,image-dd77347420750819939878a450337938661353ed
