idx,symbol_id,file_sha,x,y,w,h,rot
1,image-2cb8a563c1f0693f950f36016f7b7cc3934f0469,59f71e314e,42.28232265103543,393.74516141494655,946.0,363.0,0.0
2,image-2e740718d3b90c76c1e154b34a1fda06c3e73742,ad79712900,40.873287228449044,810.159235012248,927.0,413.0,0.0
3,image-d0811435934061556d137e7e62cfff0aaefc6c20,906192880f,31.212158203125,1253.7934110711155,1004.0,280.0,0.0
4,image-39d95e281459b33589f21799f6c471a5ba127fad,0766299e3b,10.0,1581.2327865150053,964.0,253.0,0.0
5,image-142bf2e94a73194d2c8387908fddf3893b036aa1,03f6d5836f,1176.2576127485809,381.35398014071484,983.0,357.0,0.0
6,image-892d08ae850ae25909263b88a0a1f471a1afc095,6f1bee4737,1184.196932705967,760.8388101300623,955.0,335.0,0.0
7,image-6f3c9b7f2149e54d386e59e533a25253517ee918,54957b90c5,1177.2936248151364,1122.3340937770824,957.0,482.0,0.0
8,image-1276a90d5ab24633e56d7278aea9c871187bcbdf,151fa997ba,2329.8539277730742,397.9518221993728,797.0,482.0,0.0
9,image-2c17598e17b127f0eeebffd2f17bb6ec83337226,c1786a4c01,2323.1872610127084,906.190259278819,868.0,404.0,0.0
10,image-0947c63607eba9cc1d88f68c4a75f891886f3c9b,eb3ba77526,2319.4270325994275,1317.8263930529154,841.0,208.0,0.0
11,image-2021118ef498ecbbf85eb6444e4a98871bcf7f88,3f19914979,2303.965505875418,1538.9546138311614,945.0,356.0,0.0
12,image-52a674e26ac3a3820beb961c615c939103196f0b,e1c4790886,2308.674557098446,1938.86736310649,937.0,265.0,0.0
13,image-0a043412f27b659d47faa9d4d0b947a5164fcd01,0fd95b080e,3454.05603845075,403.45599870389356,969.0,341.0,0.0
14,image-00effd8f43e1960fcbec7c5f83edde0b438a4942,9f5fda6c56,3453.9821320021965,770.6399538512285,981.0,469.0,0.0
15,image-42f7e605a3413757abfe855b2814c54e6eb631cd,4ab029cac6,3443.6488495314934,1280.1400301451738,905.0,310.0,0.0
16,image-8ea6a4215ffa882d0ecdf4ea8aff4f07d326d88f,5ee54cb324,4602.981979414306,396.80674767447067,903.0,330.0,0.0
17,image-fbe0375719d0cc4d7b9ef8b808ff4fcfa9a9812b,6186c4a3c7,4608.9989169266155,755.1400301451738,912.0,430.0,0.0
18,image-f16476220539a2a7dc03a083a3ca4d8dba1c4eb6,0c69944df3,4607.029700187186,1211.7828872880325,703.0,271.0,0.0
