idx,text,x,y,font_size
1,!!!,2184.8257222886423,2023.5592520230364,146.22224934895925px
2,"comtured column,",69.59119169919722,10.0,86.6666695731026px
3,does it store,69.59119169919722,10.0,86.6666695731026px
4,value by default,69.59119169919722,10.0,86.6666695731026px
5,PERSISTED,1273.4008317661617,177.6190185546875,86.6666695731026px
6,Computed column with,2322.5384092765416,37.9453325605059,86.6666695731026px
7,"index, when index is",2322.5384092765416,37.9453325605059,86.6666695731026px
8,being updated,2322.5384092765416,37.9453325605059,86.6666695731026px
9,predictable function vs unpredictable,3650.051798258437,104.61190234597188,86.6666695731026px
10,index need good marker for index updates,3650.051798258437,104.61190234597188,86.6666695731026px
