source_id,sha256,width,height,region_file,near_literal_transcript,recall_questions,status
S-001,5d2162139a184e454724b9b9e01bab466f6a84756688db34a0c01ca4b93c8106,946,363,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-002,ad1bb42dbd426549825e501cbf5e1bc77baa5f7f1f9bd675f5f41f6692159b97,927,413,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-003,feef5aebcf46e0d7dfb3af79de8dc3c43e3dc3e600c2b7d1e2ab916647b8ff00,1004,280,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-004,462f13d7b08d63962437be943714e7c85f3c69ceacf12db756364072794d330b,964,253,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-005,232c590f4290ebe40be08ab0b250524ff486b4679b3113cd8d9e2f61c146377e,983,357,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-006,7448cf7651d88a874bb9a66b713221b22f30a2a130b12794a9f038e6d8a739a3,955,335,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-007,29e01f96b43c87916ea2ceafff8d17648681ad3617453ba2b04b18ef3948df78,964,486,R01-nonpersisted-and-persisted-computed-columns.md,yes,yes,complete
S-008,7933d94dd367ae73cbb1e3af94943e0e9c9204f9e3544f42958a62c844d11a34,992,600,R02-indexed-computed-column-maintenance.md,yes,yes,complete
S-009,e7de08fcce29c56f7d202cc867ead064e6787870ef0fffd73a4c921d321da624,868,404,R02-indexed-computed-column-maintenance.md,yes,yes,complete
S-010,a47992ff08ebfd0a139e48c1c1cdc542c40bdeb31c0b6818c16e053678b2b23b,841,208,R02-indexed-computed-column-maintenance.md,yes,yes,complete
S-011,97cfd0f10f02141aacb07ef74fc2845e377c2e6f2af15f8dbd390aadc2eefa50,945,356,R02-indexed-computed-column-maintenance.md,yes,yes,complete
S-012,2574ece40855f1fe1515ba105c05b2704a14f61b38d3890e8cc219e81ff1ee69,937,265,R02-indexed-computed-column-maintenance.md,yes,yes,complete
S-013,5874d261b29bff1ab36133078b6e7b22273828822aeb1ba740c611478f269751,969,341,R03-determinism-and-index-safety.md,yes,yes,complete
S-014,0b7df9b38faedc90b6ffcc6143eb5707b39a7a2899bb0cbbf4b1c0335773bd75,981,469,R03-determinism-and-index-safety.md,yes,yes,complete
S-015,e4ac80f451f11d2bd228f8ecf77f23b7c892b71334f434b570e0332a54c735b0,905,310,R03-determinism-and-index-safety.md,yes,yes,complete
S-016,6083c59e746d3abc0d9472823ee67e8918dd84f6c1bbd6dfda99080c95325932,903,330,R03-determinism-and-index-safety.md,yes,yes,complete
S-017,8630d98fa230f4dae3d31dcb42f335f7355317f8273dba779c5bc5952db80a94,1010,476,R03-determinism-and-index-safety.md,yes,yes,complete
S-018,5f17717ac35bd4272cae656abdde2323f5b9eea2e914b9de4a1690e5702561e5,703,271,R03-determinism-and-index-safety.md,yes,yes,complete
