source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,91ed56efac,904.0755760870334,10.0,867.0,205.0,R01,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-002,IU-002,0c0cd7d583,71.3916541205208,50.13670901382284,728.0,482.0,R01,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-003,IU-003,7d00000475,1001.2288621569078,222.8348004758809,628.0,482.0,R01,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-004,IU-004,15f8701665,905.5388455206503,787.5539918970608,779.0,350.0,R01,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-005,IU-005,ff983f56a0,60.80534664685456,815.1170967228172,595.0,344.0,R01,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-006,IU-006,e9311bc75d,936.928689862686,1154.2601786960076,920.0,160.0,R02,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-007,IU-007,2ab80e3543,65.19867476030595,1171.5464650402828,571.0,365.0,R02,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-008,IU-008,3f63a1ff6f,76.41131680049148,1549.9467963128482,572.0,350.0,R02,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-009,IU-009,c7490b1683,32.038223149979785,1961.406040760361,632.0,482.0,R02,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-010,IU-010,64d5cb18d3,26.945789554763905,2471.5567512754606,723.0,482.0,R03,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
S-011,IU-011,986af76fa7,10.0,2984.4638411351916,684.0,292.0,R03,closed-by-stage1-final-coverage-v001,Closed by all-regions final coverage transcript.
