symbol_id,file_sha,x,y,w,h,rot,cx,cy,idx,source_id,image_use
image-e5c5f6ebfeacaa573fb7b30d7f89b2a0e2ea1407,91ed56efac,904.0755760870334,10.0,867.0,205.0,0.0,433.5,102.5,1,S-001,IU-001
image-9dbe5fbea6a4505abbf0709c907e9eeee0090db3,0c0cd7d583,71.3916541205208,50.13670901382284,728.0,482.0,0.0,363.8572293133803,241.15625,2,S-002,IU-002
image-3363615f0e6893a579e844c00b83dcbacf9562b7,7d00000475,1001.2288621569078,222.8348004758809,628.0,482.0,0.0,314.0373318829114,241.15625,3,S-003,IU-003
image-70c4902468f1bc41c1c70d12e56a3f296be60791,15f8701665,905.5388455206503,787.5539918970608,779.0,350.0,0.0,389.49999999999994,175.0,4,S-004,IU-004
image-9c347b8fc85f3af108ce05e2bd8fa223d323d46f,ff983f56a0,60.80534664685456,815.1170967228172,595.0,344.0,0.0,297.5,172.0,5,S-005,IU-005
image-318b41de17c91a59bed7f271b4915af7002f3bf8,e9311bc75d,936.928689862686,1154.2601786960076,920.0,160.0,0.0,460.0,80.0,6,S-006,IU-006
image-358cf67cd53f802bc9a0d108ff8c96e7d907b667,2ab80e3543,65.19867476030595,1171.5464650402828,571.0,365.0,0.0,285.5,182.5,7,S-007,IU-007
image-9cf03f713568aef84a6b8746d26f7a31715484fa,3f63a1ff6f,76.41131680049148,1549.9467963128482,572.0,350.0,0.0,286.0,175.0,8,S-008,IU-008
image-a9871600b2fd52e4841bb9f3a7a017ab5ab2ce9d,c7490b1683,32.038223149979785,1961.406040760361,632.0,482.0,0.0,316.05756283662475,241.15625,9,S-009,IU-009
image-49b759245d7d7f222f52943cd926c08a1f40ad43,64d5cb18d3,26.945789554763905,2471.5567512754606,723.0,482.0,0.0,361.49370009980044,241.15625,10,S-010,IU-010
image-11283caa4d91ddad182a7f857f7215e6688867e3,986af76fa7,10.0,2984.4638411351916,684.0,292.0,0.0,342.0,146.0,11,S-011,IU-011
