use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-2cb9506b3eb44ab46adefe176c1c41bee98ec9ba,074edffe56a9.png,074edffe56a9,R01,4682.084908380242,805.21808667611,997.0,404.0,1.0,,T-004|T-018|T-003,strings|setup|keys,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-002,image-634e0dad9ae46a3f6d16a286bfe9b9ec3f1fd1c8,c0b97f93af17.png,c0b97f93af17,R01,4676.872387066308,1449.1434714867773,994.0,480.0,1.0,,T-004|T-003|T-018,strings|keys|setup,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-003,image-05948fde4e97b9162c4df6f0da32218465a277d0,4d1a55039746.png,4d1a55039746,R01,4686.115837291132,1973.406986407017,993.0,395.0,1.0,,T-003|T-004|T-006,keys|strings|lists,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-004,image-57031652fc9437850261e0c0efa936a99fe10164,9039c11bbe63.png,9039c11bbe63,R01,4664.35813718918,2562.4643516991237,966.0,268.0,1.0,,T-003|T-006|T-004,keys|lists|strings,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-005,image-bfd13c3723ffc29e0a5a7b1a290e3f07656dd8af,e72f04fddd99.png,e72f04fddd99,R02,3971.4223387482652,3729.25193579143,998.0,454.0,1.0,,T-001|T-010|T-008,Hashes|sets|sortedsets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-006,image-20e9a6d0c5616c0eaafc1d011ca950c6aad85167,31cbef2d5505.png,31cbef2d5505,R02,5173.712141717477,3784.348267228599,977.0,229.0,1.0,,T-006|T-008|T-007,lists|sortedsets|lists,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-007,image-c3ee0d1fbebbf0482b877141dc0e7b983f212ad9,c77f2bde4cc5.png,c77f2bde4cc5,R02,3960.2710133288456,4294.183771324684,1009.0,384.0,1.0,,T-010|T-008|T-001,sets|sortedsets|Hashes,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-008,image-b7d424b9b64d7b883f25bdf3f67e83cc9e03fd37,7acc5e487fe4.png,7acc5e487fe4,R02,5173.426666339035,4281.763876117422,1036.0,478.0,1.0,,T-008|T-006|T-009,sortedsets|lists|sortedsets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-009,image-7071229f07fb2b341492394c75b65f65db66c0b9,be1476678bfb.png,be1476678bfb,R01,3258.58529121476,809.3283361765043,1062.0,253.0,1.0,,T-005|T-004|T-018,options/args|strings|setup,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-010,image-9449808e125aeff7bc3fef12916bd55b85b0d7f6,f9f1170fa194.png,f9f1170fa194,R01,3232.0174147375847,1083.9591475638135,1034.0,446.0,1.0,,T-005|T-004|T-018,options/args|strings|setup,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-011,image-b02e6b42d861796a7f94e8472f7b401ff67e7586,4166fbd58013.png,4166fbd58013,R02,2040.5965563503614,3229.9492843243243,716.0,285.0,1.0,,T-002|T-011|T-001,Hashes|sets|Hashes,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-012,image-893f9ceda56490a4019865c078a237e891503420,037e92605be2.png,037e92605be2,R02,1989.7211106968407,3544.1159119963086,935.0,476.0,1.0,,T-002|T-011|T-010,Hashes|sets|sets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-013,image-3f463fd62d4f828dc6425bfaa831b1a1519353c2,7292332a5ef9.png,7292332a5ef9,R02,2021.3876146030907,4049.2826600431836,885.0,375.0,1.0,,T-011|T-002|T-010,sets|Hashes|sets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-014,image-199653e6d8d30a74c1474c4bacee9f6a8eb9b65a,1d11608256d7.png,1d11608256d7,R02,6824.887614603091,3675.3064375961967,526.0,254.0,1.0,,T-007|T-009|T-006,lists|sortedsets|lists,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
