source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,MediaTypesOfRequests Stage1,MEDIA-R01,processed-in-media-r01-v001,MEDIA-R01,processed-in-media-r01-v001,yes-for-media-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,MediaTypesOfRequests Stage1,MEDIA-R02,processed-in-media-r02-v001,MEDIA-R02,processed-in-media-r02-v001,yes-for-media-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,MediaTypesOfRequests Stage1,MEDIA-R02,processed-in-media-r02-v001,MEDIA-R02,processed-in-media-r02-v001,yes-for-media-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,MediaTypesOfRequests Stage1,MEDIA-R02,processed-in-media-r02-v001,MEDIA-R02,processed-in-media-r02-v001,yes-for-media-r02-stage1,no-for-stage1-semantic-transcript,no,yes
