source_id,symbol_id,sha256,pixel_width,pixel_height,x,y,display_width,display_height,duplicate_of,image_file,transcript_status,question_status
S-001,image-a11b29e6653265df21640fdf6d98b97b1c79123f,dee51f787241f07f241b4b260987297a8b43aa76c7d3ea2b36d6bd898ca10521,893,654,0.0,0.0,659.0,482.0,,source/images/S-001.png,complete-v002,complete-v002
S-002,image-6299a4965f080d3ad7a7bca7bc35149f0c986eb8,8c34f7dfeca245c3625c8b456fb260f13b97a344a8958efdd6ccb586a9801c40,792,222,0.0,0.0,792.0,222.0,,source/images/S-002.png,complete-v002,complete-v002
S-003,image-f8ae7a736db9245eb84ec666af65da26ad283b77,c63a44a5a0aaea179a950338f8cae60d8b9f82511252885ef92133eb765c963d,872,235,0.0,0.0,872.0,235.0,,source/images/S-003.png,complete-v002,complete-v002
S-004,image-b0a7cc15796df3ef0fec383d2e4d3bc3199e94f7,6e4eb845b2cbae3253540de8c4138e4756090f939f8fa3c750918d8025a1ac06,940,457,0.0,0.0,940.0,457.0,,source/images/S-004.png,complete-v002,complete-v002
S-005,image-1a0e262eaaff3f826561ac790a44b693199717a4,a1b4bf89b3daa20ec1b8c8184df3037da48abfe0b0a6731b802876f4dcd712bf,912,604,0.0,0.0,728.0,482.0,,source/images/S-005.png,complete-v002,complete-v002
S-006,image-30e38a7fbbc082472f0886c7d193a318f5702218,9c9ec5b94a8f24010d4ec3dbc0da9950da1db2e5557ac108b035cda8ff01271a,881,337,0.0,0.0,881.0,337.0,,source/images/S-006.png,complete-v002,complete-v002
S-007,image-91e594c22090766118ec70f659d16ead7c25aefc,3724e3c53b7755a2be6a5dec4b93bc1d7c1ba0d4fdf3ef0d825a5cd050d03119,991,455,0.0,0.0,991.0,455.0,,source/images/S-007.png,complete-v002,complete-v002
S-008,image-51c8691f4edbd6fd7c84b8516ced43a755c7fb4d,7ee87ef68a8479b89525f7c1a6f94fa0fff1bf12308900050c52b553a7869e25,972,284,0.0,0.0,972.0,284.0,,source/images/S-008.png,complete-v002,complete-v002
S-009,image-56b903b00c61b7292a9bc9174e081ce5b9da1aab,54e159018d9396b2a4ee47ee31327ba1690f916bd6ff31cdc8b4ce80834a7777,928,636,0.0,0.0,704.0,482.0,,source/images/S-009.png,complete-v002,complete-v002
S-010,image-115b2b0d1667188739899e602ad22ef4b2d6be89,720d4e130c7d7515a56552b33d88facb9e998c4285a01de94e3d2ac03ceea783,947,491,0.0,0.0,930.0,482.0,,source/images/S-010.png,complete-v002,complete-v002
S-011,image-4977a3dfd5dde1dc79510f847e500933f9faf153,fe8abc0a2ac73336fa336aec478e392ce517a946fc560830e8724a925db39ad6,941,350,0.0,0.0,941.0,350.0,,source/images/S-011.png,complete-v002,complete-v002
S-012,image-3fa63e1ed828e635721b1e328810f2dbd50a1710,1c47cf47f2c925845ac48fc3822b350fea5e48df020fed4cb8aa3b2aaad45bd0,955,430,0.0,0.0,955.0,430.0,,source/images/S-012.png,complete-v002,complete-v002
S-013,image-c5d3c6e6c4114bc10dac96892725a11231c81f98,0fd53d6c694c074322280186bd54ab342b394bbceab97f3127d73f8f3a723cdb,931,442,0.0,0.0,931.0,442.0,,source/images/S-013.png,complete-v002,complete-v002
S-014,image-3b956fd956121f462f10d58d83674d50c2e31338,c99fc8e68cf8b6e21452d76cb8dcad3a34777b9e4a6aa51d6a9602c919198411,964,245,0.0,0.0,964.0,245.0,,source/images/S-014.png,complete-v002,complete-v002
S-015,image-97eccd3bde0d8379f21c64db22d25592966b1cae,ae6df72a1d0b0b778ad9caa900da992a46f9aea211958c167a218c5de264d33c,936,491,0.0,0.0,919.0,482.0,,source/images/S-015.png,complete-v002,complete-v002
S-016,image-113619e79bfd450e04dac8771561921f90d3a62b,17ae86a74f480d91ced918cce7886251aa33a22539d059c11245e447706f4cc1,915,536,0.0,0.0,823.0,482.0,,source/images/S-016.png,complete-v002,complete-v002
S-017,image-b680deface91af84e36b566499f84dce71f8480e,883ee279567c1c539fe088dd9006722fda0f87fe4e34b9970561f2525e5b951f,981,580,0.0,0.0,727.0,430.0,,source/images/S-017.png,complete-v002,complete-v002
S-018,image-66592cbd607cdcb8eb2fa923f5008b9cd2adfc20,2dbf6a31d169cd2b105042e0f5405c869b810374fcb353cd6c32a6ed2363316f,1009,241,0.0,0.0,1009.0,241.0,,source/images/S-018.png,complete-v002,complete-v002
S-019,image-597e9ae92b03459fde61db0c8ec5362fefb7db7e,88a1e2ef0786655dc3689bfde3b780d08d811b6b9572792ca1c99fc97cf94481,435,58,0.0,0.0,1443.0,192.0,,source/images/S-019.png,complete-v002,complete-v002
S-020,image-e356ab08f93162f91d93671a7581cc481b97253d,15e423be23fbdcfa89bdda8a4e43f91ebdb0cc332a7f0d387418207dcd026e13,988,578,0.0,0.0,824.0,482.0,,source/images/S-020.png,complete-v002,complete-v002
