label_id,region,text,x,y,font_size
T001,R01,InvalidModelStateResponseFactory,1260.2686824588986,1392.2367632649737,85.77775065104183px
T002,R01,Cheat shet,1480.2686824588986,85.57019832356785,85.77775065104183px
T003,R01,InvalidModelStateResponseFactory,1514.8719539432736,2963.347908284505,85.77775065104183px
T004,R02,SuppressInferBindingSourcesFromParams,1561.5385624812202,3931.9193368559336,85.77775065104183px
T005,R02,DisableImplicitFromServicesParameters,1539.8718449519233,5046.919336855934,85.77775065104183px
T006,R02,SuppressConsumesConstraintForFOrmFIleParams,1598.2051274226264,6730.252771914527,85.77775065104183px
T007,R03,SuppressMapClientErrors,1644.871753399189,7832.91939789109,85.77775065104183px
T008,R03,clientErrorMapping,1614.2051274226264,8759.141708275205,85.77775065104183px
T009,R03,what it affects,300.8718449519233,9623.586084902809,85.77775065104183px
T010,R03,what client error results it affects,10.0,10579.278444240254,85.77775065104183px
T011,R03,what we can set,254.52288807180776,8585.17330414109,85.77775065104183px
T012,R03,link Title,254.52288807180776,8692.39549245489,85.77775065104183px
T013,R03,!!!,89.88889265235002,10052.343859438139,106.66665649414068px
