idx,text,x,y,font_size,region,status
1,partial,5976.622539301154,209.24480990323138,226.1575594815339px,R01,closed-by-stage1-final-coverage
2,partial for vs model,6053.7598469032,1449.2528260520248,104.26674804687497px,R01,closed-by-stage1-final-coverage
3,All route data,728.6458223101722,1496.9725032342471,80.4444444444438px,R01,closed-by-stage1-final-coverage
4,fragments,4104.369153581104,2524.049556017609,193.33331298828114px,R01,closed-by-stage1-final-coverage
5,asp-format,28.193613238855505,3852.750015297183,172.38096400669633px,R01,closed-by-stage1-final-coverage
6,!!!,1905.3064972603747,5380.226605585239,93.68547515117532px,R01,closed-by-stage1-final-coverage
7,!!!,10.0,5824.096442621358,112.28296958909252px,R01,closed-by-stage1-final-coverage
8,!!!,1706.8921412174,6031.025044420297,72.41891449164541px,R01,closed-by-stage1-final-coverage
9,areas,3428.9276457491023,6545.16827062588,126.10526315789484px,R01,closed-by-stage1-final-coverage
10,!!!,91.05589506200658,6879.99829968064,110.91490223096342px,R01,closed-by-stage1-final-coverage
11,so its fingerprinted assets,2150.2865764646544,7786.045095672705,20px,R01,closed-by-stage1-final-coverage
