block_id,region_id,x,y,line_count,text
B001,R01,18097.296460978017,4058.035658092451,1,ww-authenticate
B002,R01,15679.615418654213,3443.591790091139,1,Authorization header
B003,R01,17362.65489609826,5558.247954087021,1,cookies vs authorization
B004,R01,16274.877186137324,5509.358997381287,2,"basic scheme
bearer scheme"
B005,R01,13761.574663996731,4186.636136469258,1,Referer header
B006,R01,11194.996098100615,3601.303774723021,1,expect header
B007,R01,9533.294850417968,3997.975817543449,1,cant do in browser
B008,R01,4417.209375287417,4272.090589320283,2,"expires and pragma headers 
(safelisted response headers in cross orig req)"
B009,R01,11321.899856645507,10.0,4,"may need to diff by response 
and request headers
may need to ask for all possible attrs
that header may have"
B010,R01,20724.02905556766,5248.604025066188,1,realm
B011,R04,13776.229068980098,17986.064141695628,1,not everyday app code
B012,R04,14722.019585322969,19323.10653021429,1,"accepts strings,not typed media types"
B013,R03,9861.190402516117,8226.462391924364,2,"httpconent headers and
abstreactions"
B014,R03,13087.748663502638,8124.240101885302,2,"asp.net core headers and
abst"
B015,R03,9751.918235846773,9893.99570449294,1,accept
B016,R03,13885.251976081148,10560.662472884867,1,accept
B017,R03,7353.285689397453,9065.790568462791,1,add
B018,R03,7361.490786302502,9669.893140390377,1,add
B019,R03,7364.567709379424,10153.9956888429,1,tryaddwithoutval
B020,R03,7308.157421669086,10791.944438091701,1,trygetval
B021,R03,7335.849729361395,11353.995712317963,1,contains
B022,R03,7297.754549394876,11856.979755984257,1,remove
B023,R03,13831.037320649904,9165.262514908954,1,indexer
B024,R03,13987.400898606693,9648.19704433666,1,trygetvalue
B025,R03,13992.768848399499,10063.444325164128,1,helpers
B026,R03,15417.150991700479,10022.131609763446,1,append
B027,R03,15211.245287153877,10455.780418547527,1,appendcommasepvalues
B028,R03,15241.81121113828,10891.7463305659,1,getcommasepvalues
B029,R03,15217.68025727787,11509.498749392387,1,appendlist
B030,R03,15245.833085876233,12091.054737428261,1,setcommasepvalues
B031,R03,9746.918235846773,10802.328986963643,1,ifnonematch
B032,R03,13768.251731940523,12084.995735010518,1,ifnonematch
B033,R03,13764.69614925823,11608.995704492942,1,ifmodifiedsince
B034,R03,9748.58495337607,10370.662269434346,1,authorizations
B035,R03,13729.045244194056,12546.36062642607,1,authorizations
B036,R03,9768.58495337607,11278.440030257916,1,useragent
B037,R03,9720.807141689871,11639.551175277447,1,host
B038,R03,13836.362968512789,11132.88450861078,1,host
B039,R03,9784.140475023203,12240.662345728293,1,etag
B040,R03,13822.870536872162,14093.995824383426,1,etag
B041,R03,13802.870536872162,14546.117095690244,1,location
B042,R03,13841.537284919037,14975.45035319202,1,set cookie
B043,R04,13764.204032965912,16132.783727215457,1,cookieheadervalue
B044,R04,13673.434362894754,16774.474943970476,1,setcookieheadervalue
B045,R04,13717.202212828983,17426.386144731063,1,headernames
B046,R04,13408.523409192358,18488.333260029372,1,mediatypeheadervaluecomparer
B047,R04,13235.262343413617,19133.81975282431,1,stringwithqualheadervaluecomparer
B048,R03,9721.918286709402,12640.662345728293,1,location
B049,R03,9707.10342668336,13123.62526348003,1,reyty-after
B050,R03,9724.197412477297,13783.454307659049,1,content type
B051,R03,13727.372345047981,13669.803678706297,1,cache control
B052,R03,13658.800916476554,13269.803678706297,1,content type
B053,R03,9679.069238649172,14309.608153812896,1,content length
B054,R03,9696.505104784988,14819.351712256408,1,content encoding
B055,R03,9552.182729162565,15289.534878089598,1,add/tryaddwithout val
B056,R03,13659.185467032601,9533.784090094961,1,!!!!
B057,R03,13013.220565459822,9492.731426392249,1,stringkey.empty
B058,R04,15758.376748774728,18499.585271563956,1,wildcards?
B059,R04,15359.259754988614,16234.957211904342,2,"get typeheaders
req/res"
B060,R04,19423.486396625252,17251.34927316814,2,"inspect cookie values
using typed headers"
B061,R04,20960.62898057181,17716.338272260393,1,inspecting cookies
B062,R04,19497.337060121183,18418.401964977304,2,"parsing from raw strings 
to setcookieheadervalue"
B063,R02,4446.216614911387,6915.427310853269,2,"what is origin
is client controlled?"
B064,R02,5613.327475619244,6770.287462953114,1,origin
B065,R02,1079.9931250333066,5636.954333070302,1,location
B066,R02,526.6599079574116,6896.954420263382,1,201 created
B067,R02,1882.8502678904479,6929.335401708695,1,redirects
B068,R04,19084.084694790912,19188.205580282796,2,"the truth about cookies
when working with raw header string without to typedheaders"
B069,R04,19144.703360122163,18820.473450651967,1,!!!
