idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy
1,image-6c874d022ea203b6225b39d0c6a2e46605fca470,c256bc5e22,2345.751418513648,311.6753370799106,434.0,482.0,0.0,217.23051181102363,241.15625
2,image-4affab89a6910ef8b072d14e62d9fc9f133e6a5e,2ef3627cf8,2256.444983710089,4097.850196020887,779.0,107.0,0.0,389.5,53.5
3,image-3d049ad219b95f4d2c6d2a48f8ba4d5222def8c8,61422f2331,2263.4929263720023,3609.4532504913714,720.0,482.0,0.0,360.2298351158645,241.15625
4,image-45c3ad44439fad82a49f8a14c0a77c1f3c8a59ff,bc66bb1508,2244.630123684047,3210.1465149227934,853.0,395.0,0.0,426.5,197.5
5,image-7f6bde9e12f17397dc1cb21ca9f6cc68a6af055a,2ad3ed9839,2267.1485969913388,2752.4982876550002,805.0,454.0,0.0,402.5,227.0
6,image-f51ffc9dcb1bf3709d536269625e119c16f110bf,12c73dcb3d,2283.0516028713064,2252.416202151524,729.0,482.0,0.0,364.3747718978102,241.15625
7,image-1b629d28b4b30afea1304a30dbb2fd8852e2966a,20eaf21d12,2260.5931770694633,1915.2205437856446,827.0,333.0,0.0,413.5,166.5
8,image-e88c77621d47cc6bc3050697ab2ec22c3c54c588,f48cde15d1,2274.0773245360497,1402.0457526615119,702.0,482.0,0.0,351.12696364452427,241.15625
9,image-d024d6c3b6cca8712c7fb8da0175d4e3cc5bbcdc,e433eee117,2250.2686652283373,885.0087043216681,771.0,482.0,0.0,385.3060385338346,241.15625
10,image-599a19665a0e42c0ee3ec6330a406f1fa649364e,a86bb3ed0f,3301.8981862347196,4136.860578779137,673.0,482.0,0.0,336.6394352791878,241.15625
11,image-d289ee20bebb783cfd1b7bbea6c5057980c62adf,67a3c3296c,3287.3708192135605,3743.92425879216,809.0,403.0,0.0,404.5,201.5
12,image-056578f663bd2215f9caeb95cebe2153f0e89809,d0cf9486c3,4321.707176973966,3701.350120379042,712.0,463.0,0.0,356.14668385618097,231.53846153846155
13,image-9f272bab46135dde2ba322850e299adff49fae8f,2ae9a1e8b9,4386.372337998841,4194.683485012452,608.0,463.0,0.0,303.7892151389974,231.53846153846155
14,image-ce4a31a13ff7acd079e70f2ac4e09f748b479d86,3f03499ebb,4357.8813586414235,4677.760408089371,747.0,463.0,0.0,373.3057729218957,231.53846153846143
15,image-be98801ff719b2c992246ee221decce7a0cc5de0,c492a03a9d,638.2884919552212,391.0080512329273,509.0,376.0,0.0,254.58667883211683,188.125
16,image-a0e9e5593ed9ce6677dc55be58ccaf5f94fe500a,50bc639d5d,640.4648154693205,1632.7303107544153,680.0,376.0,0.0,339.9659329140461,188.125
17,image-5739f517b8c8b489419f434876985187f45c3b1c,9f3f2fdb90,647.6917523638158,1240.2302726074427,749.0,376.0,0.0,374.4056372549021,188.125
18,image-6cf98bebc3b8cffacb2609fbf301317cdeec341a,195146bd59,622.9663654844198,856.0635932251184,627.0,376.0,0.0,313.29766536964985,188.125
