label_id,x,y,text,font_size,fill,candidate_region,candidate_region_name,stage1_status
T-001,3128.609029980119,648.7238849856512,is safe?,177.538461538461px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-002,3151.683629673721,1025.6616109166168,summary,97.93078891636182px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-003,3070.9222666772685,3001.4317026347826,summary,97.93078891636182px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-004,3150.241417679963,6709.245585087998,when locking is good,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-005,3099.0032144756533,7629.398350208422,when locking is prob bad,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-006,2018.0970031636164,8336.610172737079,how expensive is,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-007,2018.0970031636164,8459.02365888253,the endpoint,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-008,689.234136596855,8147.930308100715,what is the,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-009,689.234136596855,8270.343794246166,chance of concurrent,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-010,689.234136596855,8392.75728039162,cache misses?,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-011,3033.0188692869992,8297.27285064179,what is the expiration,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-012,3033.0188692869992,8419.686336787241,time?,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-013,1814.7964697611558,1551.966574960322,"uses or emits personal,",97.93078891636182px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-014,1814.7964697611558,1674.3800611057743,session info,97.93078891636182px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-015,3019.235812618645,1691.1255431834131,unsafe cookies?,97.93078891636182px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-016,4084.1307032464265,1700.9251894161841,side effects?,97.93078891636182px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-017,867.777709960937,3573.769116300774,will be fetched,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
