use_id,generation,image_id,fileId,x,y,width,height,asset_path,final_region,transcript_file,coverage_status,duplicate_of_use_id,semantic_role
S-001,original-incomplete-svg-set,OLD-946177ff27,946177ff2792c9ea96f6de3ed0b56e6c40936f4f,10298.814377867902,1561.0898307211114,818.0,482.0,assets/source-images/S-001__946177ff27.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,"EF materialization and constructor behavior: mapped constructors may run, but business side effects must not be assumed."
S-002,original-incomplete-svg-set,OLD-e64cf87310,e64cf873106e91b8131fc21f7c82b43755606ed9,4060.447262828555,1764.0361969437063,1020.0,482.0,assets/source-images/S-002__e64cf87310.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Configure no-tracking as the default for read-heavy paths and opt into tracking for update workflows.
S-003,original-incomplete-svg-set,OLD-62853cad31,62853cad31d530ef58e80a97804cb298b795a3c5,14368.322348733172,1821.009450967853,766.0,261.0,assets/source-images/S-003__62853cad31.png,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,verified-semantic-transcript-final-v002,,Check-then-insert race for a unique email; application pre-checks do not replace a database uniqueness invariant.
S-004,original-incomplete-svg-set,OLD-0dc3625229,0dc36252297a06db0078a475ab4864173854cb77,22437.901394637287,1887.0151166782616,847.0,422.0,assets/source-images/S-004__0dc3625229.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,Optimistic concurrency in a read-modify-write workflow; a token is required to detect another writer.
S-005,original-incomplete-svg-set,OLD-af19e8920a,af19e8920a19689612c61ac88e733822736f2419,5713.487258104495,1928.146393590876,822.0,366.0,assets/source-images/S-005__af19e8920a.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,DbContext identity map: one tracked instance per primary key and why duplicate tracked instances are dangerous.
S-006,original-incomplete-svg-set,OLD-7e221f7688,7e221f768884ec140c888dd2a0743497d3c6ec58,15933.099185752084,1997.0735049104896,740.0,482.0,assets/source-images/S-006__7e221f7688.png,X01,transcripts/x01-boundary-exclusions-v002.md,explicit-boundary-exclusion-reassigned,,"Out-of-boundary screenshot about a Vite development proxy, redirects, CORS, and cross-origin navigation."
S-007,original-incomplete-svg-set,OLD-55ea344509,55ea344509b1cac8eab294a42109f6936a6e8b2e,17274.452920922566,2033.746177834837,726.0,192.0,assets/source-images/S-007__55ea344509.png,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,verified-semantic-transcript-final-v002,,Cross-column presence invariant: first and last name must be both null or both present.
S-008,original-incomplete-svg-set,OLD-0f7c82eb0b,0f7c82eb0bec02dfc86af922257a53526a4ccf7c,14205.169237684066,2119.655551693293,1027.0,295.0,assets/source-images/S-008__0f7c82eb0b.png,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,verified-semantic-transcript-final-v002,,Unique constraint/index as the authoritative defense against concurrent duplicate inserts.
S-009,original-incomplete-svg-set,OLD-1256f47477,1256f47477dd6f49f7961a168e4bc32fa7affded,4060.766725069576,2275.641196192504,1006.0,215.0,assets/source-images/S-009__1256f47477.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,AsNoTrackingWithIdentityResolution for read-only materialization that still needs one object instance per key.
S-010,original-incomplete-svg-set,OLD-1e229933ef,1e229933ef928389bc29b7e08afe9972e834b1ff,17232.25704992779,2280.4974032996724,1000.0,465.0,assets/source-images/S-010__1e229933ef.png,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,verified-semantic-transcript-final-v002,,Model configuration combining owned-name columns with a database check constraint for correlated nullability.
S-011,original-incomplete-svg-set,OLD-8a232da430,8a232da43012177f003bd2cac088142de3549bcd,7542.418882534876,2284.890474357434,990.0,226.0,assets/source-images/S-011__8a232da430.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,Querying a shadow property through EF.Property without exposing it on the CLR entity.
S-012,original-incomplete-svg-set,OLD-27e0fafb7d,27e0fafb7d1dd39ad64edc5438ff329d5a637ded,5666.153924771163,2335.7019152380126,890.0,302.0,assets/source-images/S-012__27e0fafb7d.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,When Single/Find/Attach produce a tracked entity and how the same DbContext reuses it.
S-013,original-incomplete-svg-set,OLD-119679e20c,119679e20cbced03fb1e7006f8c4986131a0a55f,22457.508334396207,2341.3034467563866,823.0,482.0,assets/source-images/S-013__119679e20c.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"Why a check-then-add workflow needs rowversion/concurrency, a database constraint, or suitable isolation."
S-014,original-incomplete-svg-set,OLD-5e335b4ef1,5e335b4ef189aa60a3a99594deae30f73b88a348,8761.267223565439,2461.567713293284,820.0,289.0,assets/source-images/S-014__5e335b4ef1.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,"Attach an existing detached entity as Unchanged, then mark only selected properties modified."
S-015,original-incomplete-svg-set,OLD-3dc7a29628,3dc7a29628084e374f8250cf75dfe35a028f5916,14410.100868594034,2512.600914329312,611.0,361.0,assets/source-images/S-015__3dc7a29628.png,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,verified-semantic-transcript-final-v002,,Owned Email mapping plus a unique index on the owned column.
S-016,original-incomplete-svg-set,OLD-5f5db5c14f,5f5db5c14f14f8f2229c24570125d93c44fdc31f,4095.4837528761,2538.6515874278557,923.0,482.0,assets/source-images/S-016__5f5db5c14f.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Project only required fields into DTOs for read paths rather than materializing a full tracked aggregate.
S-017,original-incomplete-svg-set,OLD-5152f87def,5152f87defad976c9dd3ee14756ef28ee32a6574,15947.514688941363,2566.9289971456965,458.0,391.0,assets/source-images/S-017__5152f87def.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,Optional owned FullName mapping with nullable component columns.
S-018,original-incomplete-svg-set,OLD-31d62e0a78,31d62e0a787f927257864cfe55f7d0b3c267c8a3,5636.154128221684,2708.813060257544,830.0,338.0,assets/source-images/S-018__31d62e0a78.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,Attach overloads and the fact that the entity remains tracked by the current DbContext.
S-019,original-incomplete-svg-set,OLD-4538d60710,4538d60710a3dffc240a4b71beb39cd039c107cf,10302.698026626462,2713.734033106261,828.0,210.0,assets/source-images/S-019__4538d60710.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,"Safe constructor guidance for EF materialization: parameterless is not mandatory, but constructors must be side-effect free."
S-020,original-incomplete-svg-set,OLD-1b74640858,1b74640858f7eede262744d40f1dd43b3a2a5cc7,8762.459625157986,2823.003673329339,713.0,241.0,assets/source-images/S-020__1b74640858.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,"Attach semantics: existing entity, no insert, initial Unchanged state, then explicit modification."
S-021,original-incomplete-svg-set,OLD-bc91d60828,bc91d60828e809f6f6912a7f8135900d5770015c,10301.57638233116,2932.2444701179797,686.0,482.0,assets/source-images/S-021__bc91d60828.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,A safe value-object constructor that validates only its own arguments and maintains local invariants.
S-022,original-incomplete-svg-set,OLD-3710ca8272,3710ca8272c1f3d9c6a7d4c590e992559504cb75,20055.974492600886,2978.028537146587,805.0,447.0,assets/source-images/S-022__3710ca8272.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,Atomicity of multiple SaveChanges calls: use one explicit transaction; isolation is a separate concern.
S-023,original-incomplete-svg-set,OLD-07d0c9bb3c,07d0c9bb3c5a467c780b0f613c12c3e674f4ac3e,5627.264968065432,3082.8685819046805,790.0,341.0,assets/source-images/S-023__07d0c9bb3c.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Find first checks the change tracker and can return an already tracked instance without a database query.
S-024,original-incomplete-svg-set,OLD-a67f713ace,a67f713acec88461f5025b56f8ff356744568f30,4115.5637051450685,3088.6515874278557,953.0,482.0,assets/source-images/S-024__a67f713ace.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,"Large Include graphs, cartesian explosion, and AsSplitQuery as a trade-off between row multiplication and round trips."
S-025,original-incomplete-svg-set,OLD-354939e8d7,354939e8d711e4357a48a491dd3910fc58ad5f50,8751.824824527426,3135.581742798394,717.0,861.0,assets/source-images/S-025__354939e8d7.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,Optional owned/value-object materialization behavior and all-null column handling in EF Core.
S-026,original-incomplete-svg-set,OLD-3945d0f1d7,3945d0f1d71dd0bdb3cb1faa44bbea3b98c0035b,15777.343860180405,3287.175431263774,1049.0,482.0,assets/source-images/S-026__3945d0f1d7.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,Explicit configuration for an optional owned FullName navigation and nullable owned columns.
S-027,original-incomplete-svg-set,OLD-e42dcdf323,e42dcdf3236026efc2ab2a5f140f254438ebc6ab,10295.198148696774,3437.9006590828235,819.0,247.0,assets/source-images/S-027__e42dcdf323.png,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,verified-semantic-transcript-final-v002,,"Constructor anti-patterns: service calls, database access, navigation assumptions, and side effects during materialization."
S-028,original-incomplete-svg-set,OLD-4e35b1cbc9,4e35b1cbc9934429c0cd8079ae69a2a49dd4ca29,20027.725860563438,3457.1502819382513,787.0,395.0,assets/source-images/S-028__4e35b1cbc9.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,"Choosing transaction isolation: ReadCommitted as the normal default, Snapshot for specific versioned-read needs."
S-029,original-incomplete-svg-set,OLD-f5a69d20bc,f5a69d20bc55a391997a61bb78f7c73b64aaac8e,5589.136841597921,3465.545766963274,826.0,482.0,assets/source-images/S-029__f5a69d20bc.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,"When an entity is already tracked, explicit Load is enough; an additional Find is redundant."
S-030,original-incomplete-svg-set,OLD-b7164244ce,b7164244ce7dec37e2e2e5c83a86e10438119523,20005.9876490679,3882.197871921513,800.0,223.0,assets/source-images/S-030__b7164244ce.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,"ReadUncommitted concerns database reads of other transactions, not unsaved in-memory tracker changes."
