source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_group,decision,reason,nearest_labels_for_search_only
S-012,IU-012,62853cad31,14368.322,1821.009,766,261,EF05,ef05a-unique-constraint-race-protection,candidate-for-EF05-transcript,Race protection / unique constraint / unique index; belongs to model constraints and DB-level invariant protection.,L-009: how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email | L-037: some onmodel creat hshit | L-003: navigation | L-004: owned isrequired | L-116: alternate key sheet
S-013,IU-013,0f7c82eb0b,14205.169,2119.656,1027,295,EF05,ef05a-unique-constraint-race-protection,candidate-for-EF05-transcript,Race protection / unique constraint / unique index; belongs to model constraints and DB-level invariant protection.,L-009: how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email | L-116: alternate key sheet | L-004: owned isrequired | L-003: navigation | L-037: some onmodel creat hshit
S-011,IU-011,3dc7a29628,14410.101,2512.601,611,361,EF05,ef05a-unique-constraint-race-protection,candidate-for-EF05-transcript,Race protection / unique constraint / unique index; belongs to model constraints and DB-level invariant protection.,L-116: alternate key sheet | L-117: coposite key sheet | L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-009: how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email | L-004: owned isrequired
S-004,IU-004,55ea344509,17274.453,2033.746,726,192,EF05,ef05b-owned-fullname-optional-check-constraint,candidate-for-EF05-transcript,Owned FullName / optional owned navigation / CHECK constraint for grouped-null or grouped-not-null columns.,"L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-002: hascheck constraint | L-118: remove  warnings | dbset | L-034: dbcontext about transactions strategies | L-004: owned isrequired"
S-005,IU-005,1e229933ef,17232.257,2280.497,1000,465,EF05,ef05b-owned-fullname-optional-check-constraint,candidate-for-EF05-transcript,Owned FullName / optional owned navigation / CHECK constraint for grouped-null or grouped-not-null columns.,"L-118: remove  warnings | dbset | L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-002: hascheck constraint | L-034: dbcontext about transactions strategies | L-036: about transactions isolation level for atomicity"
S-002,IU-002,5152f87def,15947.515,2566.929,458,391,EF05,ef05b-owned-fullname-optional-check-constraint,candidate-for-EF05-transcript,Owned FullName / optional owned navigation / CHECK constraint for grouped-null or grouped-not-null columns.,"L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-004: owned isrequired | L-118: remove  warnings | dbset | L-003: navigation | L-005: need to add somewhere, to some general dbcontext mapping sheet mb"
S-003,IU-003,3945d0f1d7,15777.344,3287.175,1049,482,EF05,ef05b-owned-fullname-optional-check-constraint,candidate-for-EF05-transcript,Owned FullName / optional owned navigation / CHECK constraint for grouped-null or grouped-not-null columns.,"L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-118: remove  warnings | dbset | L-004: owned isrequired | L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-003: navigation"
S-019,IU-019,3945d0f1d7,12335.771,6064.037,1049,482,EF05,ef05b-owned-fullname-optional-check-constraint,candidate-for-EF05-transcript,Owned FullName / optional owned navigation / CHECK constraint for grouped-null or grouped-not-null columns.,L-010: better to have isrequired false too | L-011: complex types | L-026: nullable relationships | L-117: coposite key sheet | L-116: alternate key sheet
S-014,IU-014,9f752fd7b7,13678.144,5293.284,837,431,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-010: better to have isrequired false too | L-117: coposite key sheet | L-011: complex types | L-116: alternate key sheet | L-026: nullable relationships
S-015,IU-015,9be28189df,13680.406,5763.355,842,308,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-010: better to have isrequired false too | L-011: complex types | L-117: coposite key sheet | L-116: alternate key sheet | L-026: nullable relationships
S-016,IU-016,dfe76f5f7c,13658.369,6177.797,893,296,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-010: better to have isrequired false too | L-011: complex types | L-117: coposite key sheet | L-116: alternate key sheet | L-026: nullable relationships
S-017,IU-017,8d6946160e,13650.793,6453.661,913,457,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-011: complex types | L-010: better to have isrequired false too | L-117: coposite key sheet | L-026: nullable relationships | L-116: alternate key sheet
S-018,IU-018,deb7e62c3f,13635.914,6955.059,681,441,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-011: complex types | L-010: better to have isrequired false too | L-117: coposite key sheet | L-026: nullable relationships | L-116: alternate key sheet
