new_use_id,new_image_id,fileId,x,y,x_center,y_center,width,height,asset_path,nearest_label_ids,nearest_labels_for_search_only,repair_batch,status
NU-001,NIMG-115,9d4a455012eff14657aed945c9fae193bdfd025f,15821.22568997913,13855.00371606701,16176.72568997913,14025.50371606701,711.0,341.0,assets/source-images-added-v002/NIMG-115__9d4a455012.png,L2-119 | L2-050 | L2-051 | L2-122 | L2-049,"L2-119: place to catch codes | L2-050: pos concurrency automatic, | not user view driven | retry logic | L2-051: have  entries in | dbupdateconcurex | can getdatabasevalues | with etag | and then update how you needed | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified | L2-049: retry exception",RB03-middle,pending-verified-transcript-after-source-repair
NU-002,NIMG-028,2e2d51d95b61fb8d55c0fb8ed825b8c28e637008,15846.737092612731,14233.084389022233,16202.737092612731,14403.584389022233,712.0,341.0,assets/source-images-added-v002/NIMG-028__2e2d51d95b.png,L2-119 | L2-122 | L2-051 | L2-049 | L2-050,"L2-119: place to catch codes | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified | L2-051: have  entries in | dbupdateconcurex | can getdatabasevalues | with etag | and then update how you needed | L2-049: retry exception | L2-050: pos concurrency automatic, | not user view driven | retry logic",RB03-middle,pending-verified-transcript-after-source-repair
NU-003,NIMG-054,4cd8371579deb26afb0534d69dcdb3e8553be900,15830.766497586837,14575.219680121105,16194.266497586837,14745.719680121105,727.0,341.0,assets/source-images-added-v002/NIMG-054__4cd8371579.png,L2-119 | L2-122 | L2-052 | L2-051 | L2-049,L2-119: place to catch codes | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified | L2-052: !!!! | L2-051: have  entries in | dbupdateconcurex | can getdatabasevalues | with etag | and then update how you needed | L2-049: retry exception,RB03-middle,pending-verified-transcript-after-source-repair
NU-004,NIMG-007,0d177ffd07147af7d35f411413d5ee02822e0ea7,15824.376954888854,14927.594675312392,16269.376954888854,15052.094675312392,890.0,249.0,assets/source-images-added-v002/NIMG-007__0d177ffd07.png,L2-052 | L2-122 | L2-119 | L2-053 | L2-049,L2-052: !!!! | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified | L2-119: place to catch codes | L2-053: !!!! | L2-049: retry exception,RB03-middle,pending-verified-transcript-after-source-repair
NU-005,NIMG-182,f367e6bcc82f14862f2cdb78ca47b669e18b51b8,15833.421615923095,15336.12845389268,16254.421615923095,15401.12845389268,842.0,130.0,assets/source-images-added-v002/NIMG-182__f367e6bcc8.png,L2-052 | L2-053 | L2-054 | L2-122 | L2-047,L2-052: !!!! | L2-053: !!!! | L2-054: !!!! | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified | L2-047: can we have exhaust check?,RB04-lower-middle,pending-verified-transcript-after-source-repair
NU-006,NIMG-099,877655b6a177556a35046276fee9bbae7e74eada,15767.51759265963,15609.174012981342,16235.51759265963,15652.174012981342,936.0,86.0,assets/source-images-added-v002/NIMG-099__877655b6a1.png,L2-053 | L2-052 | L2-054 | L2-047 | L2-122,L2-053: !!!! | L2-052: !!!! | L2-054: !!!! | L2-047: can we have exhaust check? | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified,RB04-lower-middle,pending-verified-transcript-after-source-repair
NU-007,NIMG-041,3ca00b42d1139d34a32caaf1a63434244730e4bd,15759.943655954876,15782.960793603363,16226.443655954876,15871.460793603363,933.0,177.0,assets/source-images-added-v002/NIMG-041__3ca00b42d1.png,L2-054 | L2-053 | L2-052 | L2-047 | L2-122,L2-054: !!!! | L2-053: !!!! | L2-052: !!!! | L2-047: can we have exhaust check? | L2-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they are not changed | then unmodified,RB04-lower-middle,pending-verified-transcript-after-source-repair
NU-008,NIMG-051,4a2c92a25d549d3c2623a2ad97e74cc90359c2a1,22249.857164038556,6379.22865571549,22747.857164038556,6619.72865571549,996.0,481.0,assets/source-images-added-v002/NIMG-051__4a2c92a25d.png,L2-056 | L2-055 | L2-066 | L2-063 | L2-057,"L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-055: Executeasync | L2-066: IMPLEMENTATION | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-009,NIMG-183,f3edcfaf7e1519eb1c2b542c712bcde7bb95447c,22166.272632710134,7182.20364623536,22642.772632710134,7278.70364623536,953.0,193.0,assets/source-images-added-v002/NIMG-183__f3edcfaf7e.png,L2-056 | L2-057 | L2-055 | L2-066 | L2-063,"L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-055: Executeasync | L2-066: IMPLEMENTATION | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-010,NIMG-049,4623b891f0a16f93e0637db61166317eab844d0e,22173.330233255467,7370.880729568696,22678.330233255467,7611.880729568696,1010.0,482.0,assets/source-images-added-v002/NIMG-049__4623b891f0.png,L2-057 | L2-056 | L2-066 | L2-055 | L2-063,"L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-066: IMPLEMENTATION | L2-055: Executeasync | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
