source_id,decision,reason
S-010,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-031,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-009,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-032,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-008,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-033,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-034,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-007,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-035,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-036,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-053,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-054,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-055,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-056,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-057,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-058,included-in-EF01A-v001,tracking/no-tracking/identity-resolution/read optimization sub-block
S-006,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-029,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-030,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-037,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-038,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-039,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-040,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-041,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-042,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-043,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-044,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-045,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-046,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-059,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
S-060,pending-EF01B-not-in-EF01A,loading collections / Include / Find / Load / AutoInclude sub-block
