source_id,decision,reason
S-004,included-in-EF05B-v001,owned FullName / optional mapping / CHECK constraint
S-005,included-in-EF05B-v001,owned FullName / optional mapping / CHECK constraint
S-002,included-in-EF05B-v001,owned FullName / optional mapping / CHECK constraint
S-003,included-in-EF05B-v001,owned FullName / optional mapping / CHECK constraint
S-019,included-in-EF05B-v001,owned FullName / optional mapping / CHECK constraint; duplicate use of S-003 image definition
S-014,pending-EF05C,optional value objects / complex types
S-015,pending-EF05C,optional value objects / complex types
S-016,pending-EF05C,optional value objects / complex types
S-017,pending-EF05C,optional value objects / complex types
S-018,pending-EF05C,optional value objects / complex types
S-020,pending-EF05C,optional value objects / complex types
S-021,pending-EF05C,optional value objects / complex types
S-022,pending-EF05C,optional value objects / complex types
S-023,pending-EF05C,optional value objects / complex types
S-047,pending-EF06A,transactions / concurrency / db exceptions / retry
S-048,pending-EF06A,transactions / concurrency / db exceptions / retry
S-049,pending-EF06B,transactions / concurrency / db exceptions / retry
S-050,pending-EF06B,transactions / concurrency / db exceptions / retry
S-051,pending-EF06B,transactions / concurrency / db exceptions / retry
S-052,pending-EF06B,transactions / concurrency / db exceptions / retry
S-062,pending-EF06C,transactions / concurrency / db exceptions / retry
S-063,pending-EF06C,transactions / concurrency / db exceptions / retry
S-064,pending-EF06C,transactions / concurrency / db exceptions / retry
S-065,pending-EF06C,transactions / concurrency / db exceptions / retry
S-061,pending-EF06C,transactions / concurrency / db exceptions / retry
