source_id,decision,subregion,reason
S-047,included-in-EF06A-v001,EF06A,optimistic concurrency / check-then-add race
S-048,included-in-EF06A-v001,EF06A,optimistic concurrency / check-then-add race
S-049,included-in-EF06B-v001,EF06B,transactions / isolation levels / ReadUncommitted
S-050,included-in-EF06B-v001,EF06B,transactions / isolation levels / ReadUncommitted
S-051,included-in-EF06B-v001,EF06B,transactions / isolation levels / ReadUncommitted
S-052,included-in-EF06B-v001,EF06B,transactions / isolation levels / ReadUncommitted
S-062,included-in-EF06C-v001,EF06C,DB exceptions / retry exhausted / catch order
S-063,included-in-EF06C-v001,EF06C,DB exceptions / retry exhausted / catch order
S-064,included-in-EF06C-v001,EF06C,DB exceptions / retry exhausted / catch order
S-065,included-in-EF06C-v001,EF06C,DB exceptions / retry exhausted / catch order
S-061,included-in-EF06C-v001,EF06C,DB exceptions / retry exhausted / catch order
