block_id,region,x,y,line_count,text
TB-001,R01,1522.133,308.852,3,"need to practise, ask for some tasks with func or query linq
+ will need to underst if i can use func or query
or what is more preferrable mb"
TB-002,R01,1557.644,190.272,1,from is like start enumeration - start for loop or some enum callback
TB-003,R01,1468.015,153.235,1,!!!
TB-004,R02,3138.271,2299.406,9,"like the line
like you have some var
that represent
one element from some source
but when the source gets
filtered or smth you may need
into for clear variable+
ability to operate the source
variable"
TB-005,R02,3216.231,2933.148,2,"for group its just
create group variable"
TB-006,R02,3070.077,3283.404,4,"here we have
some hidden source
of matching by id orders
and o is the one el"
TB-007,R02,3178.795,2785.968,1,have some hidden source like names
TB-008,R01,3613.043,1744.588,4,"into,
3 cases,
select,group
filtered set to use it as the collection"
TB-009,R01,3888.569,1432.414,1,into
TB-010,R01,215.462,10.0,2,"method / query
sytaxes"
TB-011,R01,5602.74,1775.664,5,"we have 2 left join patterns and one of them uses into
to operate on inner matched result
with froms we dont need into to operate on matched results/
setnulls
AND WE CANT USE INTO WITH FROM"
TB-012,R01,5427.396,1420.205,2,"2 left join patterns
when we can use into"
TB-013,R01,5469.527,1846.916,1,!!!
