region,source_id,image_use_id,file_id,image_file,x,y,width,height,theme,stage1_status,region_description
R01,S-001,IU-001,48f3b5392b,source/images/48f3b5392b.png,130.533,217.141,742.0,482.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-002,IU-002,54e067fd4b,source/images/54e067fd4b.png,2458.236,259.01,776.0,639.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-003,IU-003,a3f3fd97fe,source/images/a3f3fd97fe.png,1357.467,401.297,702.0,330.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-004,IU-004,07b3b02729,source/images/07b3b02729.png,109.683,720.474,790.0,482.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-005,IU-005,3e85541656,source/images/3e85541656.png,1341.3,755.963,825.0,394.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-006,IU-006,dde43c26a0,source/images/dde43c26a0.png,1328.958,1176.029,683.0,482.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-007,IU-007,b37ec0730d,source/images/b37ec0730d.png,110.222,1209.363,707.0,482.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-008,IU-008,3730c7e507,source/images/3730c7e507.png,1311.551,1678.252,696.0,482.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-009,IU-009,b9832b620b,source/images/b9832b620b.png,120.911,1699.352,388.0,249.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
R01,S-010,IU-010,f22fceae71,source/images/f22fceae71.png,6013.354,1934.401,914.0,482.0,query syntax basics / from-where-select,verified-semantic-transcript,"query syntax vs method syntax, from as enumeration variable, where/select basics"
