text_id,region,x,y,text,font_size,stage1_status
T-001,R01,1522.133,326.472,"need to practise, ask for some tasks with func or query linq",20px,closed-by-stage1
T-002,R01,1522.133,351.472,+ will need to underst if i can use func or query,20px,closed-by-stage1
T-003,R01,1522.133,376.472,or what is more preferrable mb,20px,closed-by-stage1
T-004,R01,1557.644,217.289,from is like start enumeration - start for loop or some enum callback,30.666666666666444px,closed-by-stage1
T-005,R01,1468.015,196.959,!!!,49.62961154513907px,closed-by-stage1
T-006,R02,3138.271,2317.026,like the line,20px,closed-by-stage1
T-007,R02,3138.271,2342.026,like you have some var,20px,closed-by-stage1
T-008,R02,3138.271,2367.026,that represent,20px,closed-by-stage1
T-009,R02,3138.271,2392.026,one element from some source,20px,closed-by-stage1
T-010,R02,3138.271,2442.026,but when the source gets,20px,closed-by-stage1
T-011,R02,3138.271,2467.026,filtered or smth you may need,20px,closed-by-stage1
T-012,R02,3138.271,2492.026,into for clear variable+,20px,closed-by-stage1
T-013,R02,3138.271,2517.026,ability to operate the source,20px,closed-by-stage1
T-014,R02,3138.271,2542.026,variable,20px,closed-by-stage1
T-015,R02,3216.231,2950.768,for group its just,20px,closed-by-stage1
T-016,R02,3216.231,2975.768,create group variable,20px,closed-by-stage1
T-017,R02,3070.077,3301.024,here we have,20px,closed-by-stage1
T-018,R02,3070.077,3326.024,some hidden source,20px,closed-by-stage1
T-019,R02,3070.077,3351.024,of matching by id orders,20px,closed-by-stage1
T-020,R02,3070.077,3376.024,and o is the one el,20px,closed-by-stage1
T-021,R02,3178.795,2803.588,have some hidden source like names,20px,closed-by-stage1
T-022,R01,3613.043,1779.541,"into,",39.67369792940734px,closed-by-stage1
T-023,R01,3613.043,1829.133,"3 cases,",39.67369792940734px,closed-by-stage1
T-024,R01,3613.043,1878.725,"select,group",39.67369792940734px,closed-by-stage1
T-025,R01,3613.043,1928.317,filtered set to use it as the collection,39.67369792940734px,closed-by-stage1
T-026,R01,3888.569,1593.679,into,183.0476422991072px,closed-by-stage1
T-027,R01,215.462,73.04,method / query,71.55555555555546px,closed-by-stage1
T-028,R01,215.462,162.485,sytaxes,71.55555555555546px,closed-by-stage1
T-029,R01,5602.74,1793.284,we have 2 left join patterns and one of them uses into,20px,closed-by-stage1
T-030,R01,5602.74,1818.284,to operate on inner matched result,20px,closed-by-stage1
T-031,R01,5602.74,1868.284,with froms we dont need into to operate on matched results/,20px,closed-by-stage1
T-032,R01,5602.74,1893.284,setnulls,20px,closed-by-stage1
T-033,R01,5602.74,1918.284,AND WE CANT USE INTO WITH FROM,20px,closed-by-stage1
T-034,R01,5427.396,1512.332,2 left join patterns,104.57144601004475px,closed-by-stage1
T-035,R01,5427.396,1643.046,when we can use into,104.57144601004475px,closed-by-stage1
T-036,R01,5469.527,1932.529,!!!,97.17647058823498px,closed-by-stage1
