combined_source_id,region_source_id,source_id,image_use_id,region,fileId_short,x,y,width,height,status,readability,confidence,topic,nearest_labels,duplicate_use_count,duplicate_source_ids,notes
R04R05R06-S001,R04-S001,S-001,IU-001,R04,4aec986325,16714.23589728051,731.3790746507166,770.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",manual executiong | custom pipeline | + | provider | passing context to | classic polly,2,"S-001,S-033",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S002,R04-S002,S-002,IU-002,R04,277ca6910b,17880.584603963904,861.8007604554514,689.0,606.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",passing context to | classic polly | + | getting pipeline from registry | classic | manual executiong,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S003,R04-S003,S-003,IU-003,R04,f96bff56a0,18686.92471735224,899.8777555784527,874.0,280.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",classic | passing context to | classic polly | + | getting pipeline from registry | manual executiong,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S004,R04-S004,S-009,IU-009,R04,e7e0102b71,18689.282034595548,1223.9729355449704,835.0,268.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",classic | passing context to | classic polly | + | getting pipeline from registry | cheat sheet,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S005,R04-S005,S-010,IU-010,R04,a9fb8b8fe5,19713.024856674638,1282.0512807669274,936.0,285.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",classic | cheat sheet | passing context to | classic polly | + | getting pipeline from registry,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S006,R04-S006,S-011,IU-011,R04,d16b8dae56,16664.68733163904,1336.6958755798205,778.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,2,"S-011,S-155",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S007,R04-S007,S-020,IU-020,R04,00817539fe,18682.662928847774,1537.7824884188549,833.0,368.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",classic | passing context to | classic polly | + | getting pipeline from registry | cheat sheet,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S008,R04-S008,S-024,IU-024,R04,154e41c1f0,19711.085536717244,1582.717984424582,952.0,377.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",classic | cheat sheet | !!! | passing context to | classic polly | +,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S009,R04-S009,S-038,IU-038,R04,4756a372c9,19717.94928405389,1964.2633834834835,931.0,283.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",cheat sheet | classic | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S010,R04-S010,S-045,IU-045,R04,38c57f1440,19704.237014877755,2254.505826221457,956.0,471.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",cheat sheet | classic | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S011,R04-S011,S-058,IU-058,R04,63b5a940f4,19712.26729941256,2733.1876444032805,986.0,270.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",cheat sheet | !!! | !!! | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
