label_id,x,y,font_size,text
L-001,2348.355,6250.64,98.222,begin end
L-002,2348.355,6373.417,98.222,if
L-003,3922.567,6202.258,67.148,stored proc usecase
L-004,3922.567,6286.193,67.148,Set of update
L-005,3922.567,6370.128,67.148,set to assign value to output param
L-006,6580.046,7154.86,72.267,why not set ?
L-007,6450.046,7697.158,55.2,why not assign from output directly?
L-008,9038.734,7201.122,81.63,declare
L-009,7878.734,7170.011,81.63,why select
L-010,1403.846,11464.535,81.63,Guid
L-011,2471.846,11416.535,81.63,Table with foreign key
L-012,2457.623,11930.313,81.63,foreign key with cascade
L-013,3942.483,11405.771,81.63,return created row data
L-014,2114.696,13216.374,81.63,what can you get from
L-015,2114.696,13318.411,81.63,inserted
L-016,7217.43,17275.861,81.63,add default constr
L-017,8319.703,17263.423,81.63,Primary key
L-018,8377.363,17738.921,81.63,Foreign key
L-019,8353.906,18314.391,81.63,unique constr
L-020,9453.815,18273.743,81.63,unique idex
L-021,8419.24,18757.548,81.63,Not null
L-022,8351.284,19265.486,81.63,Default
L-023,8393.522,19826.891,81.63,Check
L-024,7220.507,17817.399,81.63,add check constr
L-025,7221.248,18449.992,81.63,add unique constr
L-026,7226.433,18974.436,81.63,add foreign key constr
L-027,6015.396,18783.378,81.63,add a column and then
L-028,6015.396,18885.415,81.63,add it a constraint
L-029,6004.513,17266.004,81.63,add column
L-030,5995.366,17558.718,81.63,alter column
L-031,5992.621,17851.432,81.63,drop column
L-032,5976.156,18109.386,81.63,add constr
L-033,3282.696,13136.374,81.63,inserted with table
L-034,3282.696,13238.411,81.63,variable pattern
L-035,4800.791,14166.85,81.63,set vs select
L-036,6875.45,10775.553,116.296,Delete
L-037,5685.45,10838.886,116.296,Update
L-038,3596.165,10855.769,116.296,Insert
L-039,2437.175,10867.486,116.296,Create table
L-040,1044.73,13177.709,116.296,INSERTED
L-041,4784.326,13267.81,116.296,Variables
L-042,7157.659,13299.81,116.296,IF
L-043,8093.659,13310.476,116.296,IF EXISTS
L-044,9289.898,13392.698,116.296,@@RowCount
L-045,10361.437,13403.809,116.296,Try Catch
L-046,1015.397,14595.042,116.296,DELETED
L-047,1688.709,17039.764,116.296,Upsert with
L-048,1688.709,17185.134,116.296,merge
L-049,1688.709,17330.504,116.296,
L-050,2646.777,17082.129,116.296,Easier path
L-051,2646.777,17227.499,116.296,with If exists
L-052,3617.448,17176.068,116.296,Transactions
L-053,4760.478,17196.674,116.296,Indexes
L-054,5991.68,17084.044,116.296,ALTER TABLE
L-055,7196.669,16928.817,116.296,adding constraints
L-056,7196.669,17074.187,116.296,with alter
L-057,2156.349,14558.852,116.296,FOR UPDATE
L-058,634.444,15266.557,116.296,DELETED VS SCOPE_IDENTITY()
L-059,1322.508,10846.153,116.296,Common types
L-060,6185.115,5517.903,102.667,stored proc rowsversion case
L-061,6185.115,5646.236,102.667,"update output,"
L-062,6185.115,5774.569,102.667,INSERTED.RowVersion
L-063,6185.115,5902.903,102.667,Select outputparamrowversion = temptablerowwithonecolumn from temptable
L-064,2180.802,493.709,89.197,create database
L-065,3091.659,500.816,89.197,on primary
