text_id,text,combined_transcript_section,status,authoritative_transcript
T-001,has sequence,02 Model-level relational configuration,closed,13-full-combined-final-transcript.md
T-002,has dbfunction,02 Model-level relational configuration,closed,13-full-combined-final-transcript.md
T-003,"set schema,setdefault schema","05 Value generation, defaults, computed values and save behavior",closed,13-full-combined-final-transcript.md
T-004,"persisted,",02 Model-level relational configuration,closed,13-full-combined-final-transcript.md
T-005,nonpersisted,02 Model-level relational configuration,closed,13-full-combined-final-transcript.md
T-006,computed,"05 Value generation, defaults, computed values and save behavior",closed,13-full-combined-final-transcript.md
T-007,default,"05 Value generation, defaults, computed values and save behavior",closed,13-full-combined-final-transcript.md
T-008,field,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-009,prop,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-010,fieldDuringConstruciton,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-011,construction/normal ef access,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-012,preferfield,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-013,preferprop,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-014,always need prop logic,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-015,readonly wrapper collection,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-016,setter has buisness logic,07 Backing fields and property access modes,closed,13-full-combined-final-transcript.md
T-017,!!!configuring collation,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-018,nvarchar vs varchar,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-019,with utf8 collation,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-020,varchar,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-021,with utf8 collation,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-022,collations,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-023,when to use nvarchar,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-024,unicode,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-025,when to use varchar,"03 Text storage, Unicode and collations",closed,13-full-combined-final-transcript.md
T-026,no repeated function generate calls,13 Remaining model notes and cross-cutting rules,closed,13-full-combined-final-transcript.md
T-027,!!!,13 Remaining model notes and cross-cutting rules,closed,13-full-combined-final-transcript.md
T-028,many to many,"08 Relationships, many-to-many and delete behavior",closed,13-full-combined-final-transcript.md
