source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,9968a326170ab8e3e70506f889bcd97f17290d54,9968a32617,1953.417,5769.187,640.0,366.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-002,2,89a28aa45a5544282f4d5e57fe6fff74f611d5cc,89a28aa45a,1976.95,6177.61,623.0,415.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-003,3,5bfed6a2a6a4b50b00f8a050537bb2dd298e208b,5bfed6a2a6,1979.321,6585.638,608.0,397.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-004,4,146d07473fb5535eb38f1bcc40453b61b95a8b7f,146d07473f,1947.433,6991.29,626.0,162.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-005,5,35431b8dc64b649bd6cbc4e73ec01ad6c8ab83c7,35431b8dc6,1967.373,7164.482,636.0,351.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-006,6,06f9ef1f1e466c647028bc98d821dcccde41c6f9,06f9ef1f1e,1977.193,7518.559,602.0,369.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-007,7,1cd1d57d4e47d56aceda83d39ee8a0d4ac51f6a8,1cd1d57d4e,1998.292,7900.181,637.0,672.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-008,8,0cd738b646f6eaa1ea2cbb2f796ec038580db0d1,0cd738b646,1943.538,8590.495,731.0,463.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-009,9,1b5e1dbcd63018cfa0eac58d0abe814010caebc3,1b5e1dbcd6,1946.122,9079.871,645.0,463.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-001: shows validation errors | L-002: cache tag helper | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-010,10,0a9d758c29f5b490b634fad4a86e329c1086b5b3,0a9d758c29,1894.245,9550.957,765.0,463.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-001: shows validation errors | L-002: cache tag helper | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-011,11,87f4cd5d70fcb8b49594ece8680f74aad314fc94,87f4cd5d70,1883.758,10035.88,801.0,463.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-001: shows validation errors | L-002: cache tag helper | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
