text_id,text,x,y,status
T-001,!!!,4841.040457909256,2378.3539496410453,pending_transcript
T-002,AuthorizationMiddleware,2906.5654005595316,4003.5105714967185,pending_transcript
T-003,Multiple ways to,568.3278917853695,2097.132143205773,pending_transcript
T-004,attach authorization info,568.3278917853695,2191.2230522966847,pending_transcript
T-005,to endpoint,568.3278917853695,2285.3139613875965,pending_transcript
T-006,IAuthorizeData,626.7894302469085,2724.824450898085,pending_transcript
T-007,AuthorizationPolicy,655.5074102649378,3368.926999350616,pending_transcript
T-008,IAuthorizationRequirementData,564.225390282967,4049.9526716763494,pending_transcript
T-009,defaultpolicy,5095.327466500616,1674.5248094206936,pending_transcript
T-010,fallbackpolicy,4960.782011955161,2433.3126512175686,pending_transcript
T-011,getPolicy,5057.827528922935,3328.312620006409,pending_transcript
T-012,InvokeHanldersAfterFailure,6394.9406921387745,1445.1956574113728,pending_transcript
T-013,AuthorizationMiddleware,4984.225313810584,4143.853818623745,pending_transcript
T-014,"build or retrieve policy, ordered metadata",4810.891932606541,4746.206759800217,pending_transcript
T-015,if there is absolutely no policy,4828.931196163526,5373.657752160053,pending_transcript
T-016,run policy authentication,4906.578254987055,5942.285215108124,pending_transcript
T-017,Policyeval.Authenticate,4942.21075907944,6568.122498259556,pending_transcript
T-018,respect allowanonymous,4967.988471946814,7663.011424447706,pending_transcript
T-019,but populate context.User,4967.988471946814,7757.102333538618,pending_transcript
T-020,resource,5073.7027576611,8362.059058027506,pending_transcript
T-021,PolicyEvaluator.Authorize,5065.859596470842,9186.372771550024,pending_transcript
T-022,IAuthorizationService,5078.045232085617,11112.865345958022,pending_transcript
T-023,default one,5078.045232085617,11206.956255048932,pending_transcript
T-024,defaulthandlerprovider,5047.060332738139,11830.592625621108,pending_transcript
T-025,defaultAuthorizationEvaluator,5059.560332738139,12400.59266376808,pending_transcript
T-026,After authorization resulot,5055.545169663298,12956.122960440556,pending_transcript
T-027,for what,5150.246024364153,14460.738313755859,pending_transcript
T-028,interface,5047.33998016218,15280.210469204578,pending_transcript
T-029,default implementation behavior,6307.33998016218,15280.210469204578,pending_transcript
T-030,parameters,5279.940553265511,15886.968704127288,pending_transcript
T-031,Looping over policy schemes,5047.188954685054,17000.368863985335,pending_transcript
T-032,AuthorizationMiddlewareResHanlder,4205.204031330583,13644.37629656116,pending_transcript
T-033,InvokeHanldersAfterFailure,6477.7453997970315,11328.792838279349,pending_transcript
T-034,why to have,6485.7458880782815,13678.126212302786,pending_transcript
T-035,InvokeHanldersAfterFailure,6485.7458880782815,13772.217121393696,pending_transcript
T-036,get endpoint and set features,2397.8154005595316,4284.7605714967185,pending_transcript
T-037,for future endpointRoutingMiddleware,2397.8154005595316,4309.7605714967185,pending_transcript
T-038,so we will know that authorization middleware,2397.8154005595316,4334.7605714967185,pending_transcript
T-039,has checked this shit,2397.8154005595316,4359.7605714967185,pending_transcript
T-040,trying cache lookup,2482.8154005595316,4512.260571496711,pending_transcript
T-041,for cacheable policies,2482.8154005595316,4537.260571496711,pending_transcript
T-042,if nothing in cache,2515.3154005595316,4718.927289026008,pending_transcript
T-043,then getmetadata from,2515.3154005595316,4743.927289026008,pending_transcript
T-044,endpoint and combine into,2515.3154005595316,4768.927289026008,pending_transcript
T-045,one policy,2515.3154005595316,4793.927289026008,pending_transcript
T-046,get requirements form req,2515.3154005595316,4843.927289026008,pending_transcript
T-047,metadata,2515.3154005595316,4868.927289026008,pending_transcript
T-048,and in the end combine,2515.3154005595316,4918.927289026008,pending_transcript
