source_id,sha256_12,region_id,placement_count,transcript_file,near_literal_text,visible_code_or_text_preserved,questions_present,status
S-001,a06913576756,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-002,0a92c3d4014f,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-003,e5465384da8e,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-004,fcdcba7f11bf,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-005,4e32e1ce50a3,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-006,6c1f61979aa5,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-007,917b8dbf4cc7,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-008,37d31569241c,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-009,8d5a0c8efcf5,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-010,0bc7ca7a1b04,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-011,10d25105b7f5,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-012,ba4b8bcd14b1,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-013,2307c5de3315,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-014,f6d50d1202a0,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-015,c2fe17547122,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-016,d3db066d4dd0,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-017,ce06053a6598,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-018,d6ea2afe3923,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-019,f36d3a057339,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-020,56d37ae8eae7,R01,1,regions/R01-S001-S020-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-021,cb0e5c4c52b3,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-022,3dc9924ba952,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-023,a4f06df799ef,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-024,35f5407c0188,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-025,bf6c594ffc14,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-026,d15243009307,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-027,04bd6e4af1cf,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-028,578b715430cb,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-029,95c2aee6e001,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-030,80cf7dd51367,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-031,86a439b9108d,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-032,86f8496e2860,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-033,6748221317fe,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-034,2ec2a6ee24c7,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-035,cac23e96cd0d,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-036,8f6b3f5c4979,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-037,62f3d35cb6a4,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-038,95f772551bc8,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-039,9847653a571c,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-040,6e4115c897c8,R02,1,regions/R02-S021-S040-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-041,4b4872b88aa5,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-042,100267b21ad0,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-043,50dd27627c25,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-044,03d12685fe2e,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-045,02286505fe9f,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-046,4176eefdb469,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-047,b0ab22b9993e,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-048,950135defd92,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-049,511bad35c0ba,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-050,83102e372542,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-051,77bb64bdf221,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-052,ca3340ce0142,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-053,ba2327778ece,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-054,356780cb4a6c,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-055,7d5c2fc15633,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-056,961faf90010b,R03,2,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-057,a58a93244dc4,R03,2,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-058,d9fa3dcf0f55,R03,2,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-059,b3d3860e13e1,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-060,2e29e7d75841,R03,1,regions/R03-S041-S060-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-061,f3ec0ebfd96d,R04,2,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-062,53992f53f0e5,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-063,add7639454fb,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-064,33f8b19af7d1,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-065,d4e2dff67ec6,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-066,feb930e951d0,R04,2,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-067,eb7f882e6cb1,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-068,dc5cf22cf3cb,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-069,ea0842f7788b,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-070,0e8228f66e5d,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-071,53bb0e186368,R04,3,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-072,a88dbef74a0d,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-073,57a1c9463450,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-074,04334976e0ab,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-075,a5869fcb8619,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-076,176e59d437a2,R04,1,regions/R04-S061-S076-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-077,a5e708f3becb,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-078,6c9ff652a3d2,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-079,141bd552a656,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-080,4c0e5676fdb9,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-081,88a5bc258634,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-082,b73360104c71,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-083,cfa71fe6f7a4,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-084,0b2dd4897d20,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-085,da475ed8995f,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-086,79ddc4a4a107,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-087,4eefadefe8e9,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-088,66d9fafd0903,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-089,36072269a0f4,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-090,cf0a31a01f5c,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-091,033de3a3aff9,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-092,5bbc661ec82d,R05,1,regions/R05-S077-S092-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-093,e275ce3b3e5d,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-094,1c3aff5862e8,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-095,fda2f4c38289,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-096,ed7d40e607c1,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-097,40395a24e3fd,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-098,50c168b40e35,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-099,7978e250ab4e,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-100,01803b7cd13f,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-101,ddf8f9ad7ec8,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-102,a312e122724a,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-103,2e8974dda879,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-104,736c6f4be959,R06,1,regions/R06-S093-S104-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-105,57e3e044a64a,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-106,750d44b30fa9,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-107,9a5c66cbccd5,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-108,55098e98a0c8,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-109,4ee0dddd5729,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-110,c573f91f9ea2,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-111,1e8edf2cad3b,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
S-112,22c7ea3c7fe0,R07,1,regions/R07-S105-S112-near-literal-v001.md,True,True,True,closed-near-literal-normalized-v001
