line_id,group_id,x,y,text
L-001,TG-001,16473.016985786882,1214.0998376900789,BASIC POLICIES IN ADDAUTHORIZATION
L-002,TG-002,12430.443175036215,1261.67709232352,RESOURCE BASED AUTHORIZATION
L-003,TG-003,10043.52873923612,1178.155336482905,CUSTOM POLICIES WITH AUTHORIZATION
L-004,TG-003,10043.52873923612,1178.155336482905,HANDLERS WITH REQUIREMENTS
L-005,TG-004,5526.861869118933,5181.488618953608,NON Generic AuthorizationHandler
L-006,TG-005,14754.270011140014,1305.021365326872,"BASIC,"
L-007,TG-005,14754.270011140014,1305.021365326872,GLOBAL AUTHORIZATION
L-008,TG-006,10789.74456640815,4932.083917470715,"why to not use context.fail everywhere, multiple handlers registered"
L-009,TG-006,10789.74456640815,4932.083917470715,for one requirement
L-010,TG-007,9520.170063169822,7444.60424484384,using Microsoft.AspNetCore.Authorization;
L-011,TG-007,9520.170063169822,7444.60424484384,using System.Security.Claims;
L-012,TG-007,9520.170063169822,7444.60424484384,public sealed class ScopeRequirementHandler : AuthorizationHandler<ScopeRequirement>
L-013,TG-007,9520.170063169822,7444.60424484384,{
L-014,TG-007,9520.170063169822,7444.60424484384,"protected override Task HandleRequirementAsync(AuthorizationHandlerContext context, ScopeRequirement requirement)"
L-015,TG-007,9520.170063169822,7444.60424484384,{
L-016,TG-007,9520.170063169822,7444.60424484384,"if (HasScope(context.User, requirement.Scope))"
L-017,TG-007,9520.170063169822,7444.60424484384,context.Succeed(requirement);
L-018,TG-007,9520.170063169822,7444.60424484384,return Task.CompletedTask; // do nothing => not satisfied
L-019,TG-007,9520.170063169822,7444.60424484384,}
L-020,TG-007,9520.170063169822,7444.60424484384,"private static bool HasScope(ClaimsPrincipal user, string needed)"
L-021,TG-007,9520.170063169822,7444.60424484384,{
L-022,TG-007,9520.170063169822,7444.60424484384,// gather all possible scope strings
L-023,TG-007,9520.170063169822,7444.60424484384,"var values = user.FindAll(""scope"").Select(c => c.Value)"
L-024,TG-007,9520.170063169822,7444.60424484384,".Concat(user.FindAll(""scp"").Select(c => c.Value));"
L-025,TG-007,9520.170063169822,7444.60424484384,foreach (var v in values)
L-026,TG-007,9520.170063169822,7444.60424484384,{
L-027,TG-007,9520.170063169822,7444.60424484384,"// handle both ""a b c"" and single-value"
L-028,TG-007,9520.170063169822,7444.60424484384,"var scopes = v.Split(' ', StringSplitOptions.RemoveEmptyEntries);"
L-029,TG-007,9520.170063169822,7444.60424484384,"if (scopes.Contains(needed, StringComparer.Ordinal))"
L-030,TG-007,9520.170063169822,7444.60424484384,return true;
L-031,TG-007,9520.170063169822,7444.60424484384,}
L-032,TG-007,9520.170063169822,7444.60424484384,return false;
L-033,TG-007,9520.170063169822,7444.60424484384,}
L-034,TG-007,9520.170063169822,7444.60424484384,}
L-035,TG-008,10790.95060900991,6666.812974751127,scope claims
L-036,TG-009,13771.914019023612,5527.160665631993,when policy might succeed when
L-037,TG-009,13771.914019023612,5527.160665631993,one handler didnt call success
