source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,69750ca020,CH01,CH01A,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,e0c7de9230,CH01,CH01A,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,3af3048afa,CH01,CH01A,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,2c5e2d56f6,CH02,CH02A,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,7c70d83414,CH02,CH02A,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,857be63047,CH02,CH02A,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,f0df8e1725,CH02,CH02A,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,602aeda77b,CH01,CH01B,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,914ba9f303,CH01,CH01B,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,66ac284b71,CH01,CH01B,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-011,IU-011,cf5f63afdf,CH02,CH02B,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,a5267d76ae,CH05,CH05A,processed-in-ch05-v001,yes-for-ch05-v001-boundary,ok-processed,Included in CH05 v001 after NEXT03 visual/semantic transcript pass.
S-013,IU-013,0c073a9b2d,CH05,CH05A,processed-in-ch05-v001,yes-for-ch05-v001-boundary,ok-processed,Included in CH05 v001 after NEXT03 visual/semantic transcript pass.
S-014,IU-014,19d7bc54f3,CH03,CH03A,processed-in-ch03-v001,yes-for-ch03-v001-boundary,ok-processed,Included in CH03 v001 after NEXT02 visual/semantic transcript pass.
S-015,IU-015,07b2d7ba26,CH02,CH02B,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,d8e4bb36c7,CH02,CH02B,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,3915eae1aa,CH02,CH02B,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,69ee89af90,CH01,CH01C,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,500221fcc1,CH01,CH01C,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-020,IU-020,3ff670517a,CH01,CH01B,processed-in-ch01-v001,yes-for-ch01-v001-boundary,ok-processed,Included in CH01 v001 after NEXT01 visual/semantic transcript pass.
S-021,IU-021,cdbfdbd4a8,CH05,CH05A,processed-in-ch05-v001,yes-for-ch05-v001-boundary,ok-processed,Included in CH05 v001 after NEXT03 visual/semantic transcript pass.
S-022,IU-022,5c850ac461,CH02,CH02C,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-023,IU-023,486873cb36,CH02,CH02C,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-024,IU-024,c31f01633d,CH02,CH02C,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-025,IU-025,13bfb00398,CH02,CH02C,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-026,IU-026,ad70021ac4,CH02,CH02C,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-027,IU-027,d50cd41858,CH02,CH02C,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-028,IU-028,66f326e2bc,CH02,CH02D,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
S-029,IU-029,0b4932c634,CH02,CH02D,processed-in-ch02-v001,yes-for-ch02-v001-boundary,ok-processed,Included in CH02 v001 after NEXT01 visual/semantic transcript pass.
