text_id,text,candidate_region,theme
T-005,trycomplete,CH03,canvas text label / local note
T-006,waitto...,CH04,canvas text label / local note
T-007,tryread/trywrite,CH04,canvas text label / local note
T-008,singlereader,CH03,canvas text label / local note
T-009,singlewriter,CH03,canvas text label / local note
T-010,examples when it can make sense,CH04,canvas text label / local note
T-011,1 may need to do something when you processed currently avalable chunk and,CH04,canvas text label / local note
T-012,the stream isnt ended yet,CH04,canvas text label / local note
T-013,2 batch processing of sync available at the moment items,CH04,canvas text label / local note
T-014,you add to batch if there is some available and dont wait automatically,CH04,canvas text label / local note
T-015,like you will do with readallasync,CH04,canvas text label / local note
T-016,3 may want to give up after some count of attempts or,CH04,canvas text label / local note
T-017,"after some time of waiting start, after losed race",CH04,canvas text label / local note
T-018,and not wait forever,CH04,canvas text label / local note
T-035,read group of items,CH04,canvas text label / local note
T-036,until there is nothing to read,CH04,canvas text label / local note
T-037,and process the whole group,CH04,canvas text label / local note
