source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only
S-001,IU-001,1,image-9ead7d510447d65908a4b068bd5ff2e4ce16dc04,69750ca020,4769.484024628809,561.8877915985613,765.0,482.0,0.0,382.6649174528302,241.15625,1,T-032:and try versions | T-031:readasync/writeasync/readallasync/complete | T-030:channelwriter/reader | T-024:channelreader | T-033:create and get
S-002,IU-002,2,image-24d6fdde7b00f33a5dc1ff4eef9e04e8d78806fb,e0c7de9230,4761.179686621589,1145.0167089809365,798.0,288.0,0.0,399.0,144.0,1,T-024:channelreader | T-025:channelreader | T-032:and try versions | T-031:readasync/writeasync/readallasync/complete | T-034:reader or writer
S-003,IU-003,3,image-cd436f1bbcf44a2359d887b0c36c79e1702c40aa,3af3048afa,4767.24738114514,1592.5572583311987,870.0,385.0,0.0,435.0,192.5,1,T-025:channelreader | T-026:write | T-024:channelreader | T-034:reader or writer | T-033:create and get
S-004,IU-004,4,image-e3539359c29651d43c9f26b102915ff4cbde645c,2c5e2d56f6,4816.0212640786685,2079.231457142594,809.0,431.0,0.0,404.5,215.5,1,T-026:write | T-027:read | T-025:channelreader | T-028:readallasync | T-024:channelreader
S-005,IU-005,5,image-5d94f7d7487f71bc43062fa1018ce907dd495376,7c70d83414,4825.643873782641,2545.495945880726,833.0,385.0,0.0,416.5,192.5,1,T-027:read | T-028:readallasync | T-026:write | T-025:channelreader | T-024:channelreader
S-006,IU-006,6,image-15f5ccc462fc543517715b217594d21e11cdeb8c,857be63047,2216.780897440024,2688.016454794574,824.0,348.0,0.0,412.0,174.0,1,T-023:fullmodeoptions | T-005:trycomplete | T-021:bounded channel | T-034:reader or writer | T-033:create and get
S-007,IU-007,7,image-c65decda2c9215a6afe732c0f2c468933c3bdc40,f0df8e1725,2222.5032277483815,3049.035618074048,828.0,426.0,0.0,414.0,213.0,1,T-023:fullmodeoptions | T-005:trycomplete | T-021:bounded channel | T-008:singlereader | T-009:singlewriter
S-008,IU-008,8,image-7eea72b5b943fc7443b0433a6ca94812c9ae77fa,602aeda77b,2357.5901288573978,332.32008938255603,831.0,452.0,0.0,415.5,226.0,1,T-020:unbounded channel | T-022:channeltypes and their options | T-021:bounded channel | T-023:fullmodeoptions | T-033:create and get
S-009,IU-009,9,image-e46b7be0285d10264939562d546059af74002b84,914ba9f303,2490.753649840579,980.6074003067051,631.0,482.0,0.0,315.412573313783,241.15625,1,T-021:bounded channel | T-023:fullmodeoptions | T-020:unbounded channel | T-022:channeltypes and their options | T-033:create and get
S-010,IU-010,10,image-a7aa9a6a82826c7a189f1de7931418479add0773,66ac284b71,2480.6027124929306,1587.683704670596,639.0,463.0,0.0,319.5613477431659,231.53846153846155,1,T-023:fullmodeoptions | T-021:bounded channel | T-020:unbounded channel | T-022:channeltypes and their options | T-034:reader or writer
S-011,IU-011,11,image-62db9daa2bd7709f82f39a985533ae5ab6ccaec9,cf5f63afdf,4883.006651077348,4206.5546078272055,831.0,438.0,0.0,415.5,219.0,1,T-029:async waiting | T-001:about await foreach | T-028:readallasync | T-002:and possible sync reading/writing | T-003:and async awaiting
S-012,IU-012,12,image-2ad0a430bc5c268c9a96f4b8710ac83deb030016,a5267d76ae,4877.993861864607,4654.528935501487,800.0,340.0,0.0,400.0,170.0,1,T-029:async waiting | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-013,IU-013,13,image-263252eb2e317aeeae375eff87ed4203a2198bce,0c073a9b2d,4887.729424146274,5019.657203229846,785.0,463.0,0.0,392.31568846953456,231.53846153846143,1,T-029:async waiting | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-014,IU-014,14,image-9f779dfcf6af7c1a8834c602e49983aa38683ce4,19d7bc54f3,4872.167026678309,5696.580233202814,760.0,463.0,0.0,380.1861538461538,231.53846153846143,1,T-009:singlewriter | T-006:waitto... | T-007:tryread/trywrite | T-029:async waiting | T-008:singlereader
S-015,IU-015,15,image-a1434aba7d33c83c26246ba0eb32533ce32a7822,07b2d7ba26,4873.327695999223,6184.144367066994,836.0,450.0,0.0,418.0,225.0,1,T-007:tryread/trywrite | T-006:waitto... | T-009:singlewriter | T-008:singlereader | T-004:valuetask
S-016,IU-016,16,image-d41c51a2de93a4cdc50cf9db26f6e3937310b7d5,d8e4bb36c7,4876.366157537684,6652.849463972041,793.0,249.0,0.0,396.5,124.5,1,T-007:tryread/trywrite | T-006:waitto... | T-009:singlewriter | T-008:singlereader | T-004:valuetask
S-017,IU-017,17,image-254d9fba356120eb638e665487712bb606633174,3915eae1aa,4862.646179301712,6919.144367066994,761.0,463.0,0.0,380.47632589222235,231.53846153846143,1,T-007:tryread/trywrite | T-006:waitto... | T-009:singlewriter | T-008:singlereader | T-018:and not wait forever
S-018,IU-018,18,image-2a88f211c4cdad084aa13b4723a0c5ac2e9569be,69ee89af90,4867.430197501627,7386.746915519525,696.0,293.0,0.0,348.0,146.5,1,"T-007:tryread/trywrite | T-006:waitto... | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or"
S-019,IU-019,19,image-c316806d7841330e3bb0312d62db767e2ecbadd8,500221fcc1,4877.443080614607,7680.362300134908,797.0,395.0,0.0,398.5,197.5,1,"T-007:tryread/trywrite | T-006:waitto... | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or"
S-020,IU-020,20,image-68038fa696cfa27b15221ca46ad05035869184de,3ff670517a,4857.840391311723,8093.68287555558,828.0,434.0,0.0,414.0,217.0,1,"T-007:tryread/trywrite | T-006:waitto... | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or"
S-021,IU-021,21,image-563e0c940c461cb0f34395ec698c94ed1ccce32a,cdbfdbd4a8,4864.122259925862,8569.400761673369,676.0,463.0,0.0,337.9746668425913,231.53846153846143,1,"T-007:tryread/trywrite | T-006:waitto... | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or"
S-022,IU-022,22,image-6a2a7b3aef6beeb0370850ce4bb163972d37b538,5c850ac461,6073.761336699343,7074.760732995779,747.0,268.0,0.0,373.5,134.0,1,T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach | T-007:tryread/trywrite
S-023,IU-023,23,image-796017bad8d5ddd97e492a0bb75e8337d401ad36,486873cb36,6065.840551612848,6696.956518760442,753.0,358.0,0.0,376.5,179.0,1,T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach | T-007:tryread/trywrite
S-024,IU-024,24,image-a8cd935ae9706d65563edcee98fc7029d559abd2,c31f01633d,6050.479635351097,6194.800319623075,821.0,482.0,0.0,410.74987296747963,241.15625,1,T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach | T-029:async waiting
S-025,IU-025,25,image-c8db00073e6147d9460cb6d406f3fcc285e6e15a,13bfb00398,6052.396225847873,5715.678732505559,831.0,465.0,0.0,415.5,232.5,1,T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach | T-029:async waiting
S-026,IU-026,26,image-2659e48ce1783f4e958d9cdc58696d335ff39b01,ad70021ac4,6070.842389826656,5218.133602093763,641.0,482.0,0.0,320.387118491921,241.15625,1,T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach | T-029:async waiting
S-027,IU-027,27,image-3e698f0ebe4797695ff6f45ccd93dd0e4c4757c4,d50cd41858,6069.613114715842,4721.466986289724,628.0,482.0,0.0,313.8385819165378,241.15625,1,T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach | T-029:async waiting
S-028,IU-028,35,image-997918251b228eacba775d063d8b39ac20b9fc17,66f326e2bc,997.5309664819306,2733.7092691118296,753.0,337.0,0.0,376.5,168.5,1,T-005:trycomplete | T-023:fullmodeoptions | T-021:bounded channel | T-020:unbounded channel | T-022:channeltypes and their options
S-029,IU-029,36,image-c0d7193d4514cc0015309fe10dce1b84f68c2a46,0b4932c634,968.8601626725795,3134.386393135267,773.0,482.0,0.0,386.5042999031007,241.15625,1,T-005:trycomplete | T-023:fullmodeoptions | T-021:bounded channel | T-008:singlereader | T-020:unbounded channel
S-030,IU-030,37,image-3af6fee5027d461f6624e98257d6f7e22867c509,a9c24057ad,2221.1418877058886,3619.7093504920376,896.0,469.0,0.0,448.0,234.5,1,T-005:trycomplete | T-008:singlereader | T-009:singlewriter | T-023:fullmodeoptions | T-010:examples when it can make sense
