region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CH01A-S001,S-001,IU-001,69750ca020,CH01,CH01A,verified-from-source-image,high,no,high,Namespace and why Channels exist,
CH01A-S002,S-002,IU-002,e0c7de9230,CH01,CH01A,verified-from-source-image,high,no,high,ChannelWriter<T> core piece,
CH01A-S003,S-003,IU-003,3af3048afa,CH01,CH01A,verified-from-source-image,high,no,high,ChannelReader<T> and channel object exposing both sides,
CH02A-S001,S-004,IU-004,2c5e2d56f6,CH02,CH02A,verified-from-source-image,high,no,high,WriteAsync and TryWrite,
CH02A-S002,S-005,IU-005,7c70d83414,CH02,CH02A,verified-from-source-image,high,no,high,ReadAsync and TryRead,
CH02A-S003,S-006,IU-006,857be63047,CH02,CH02A,verified-from-source-image,high,no,high,TryComplete / writer completion,
CH02A-S004,S-007,IU-007,f0df8e1725,CH02,CH02A,verified-from-source-image,high,no,high,Common ReadAllAsync reading pattern,
CH01B-S001,S-008,IU-008,602aeda77b,CH01,CH01B,verified-from-source-image,high,no,high,Unbounded channel,
CH01B-S002,S-009,IU-009,914ba9f303,CH01,CH01B,verified-from-source-image,high,no,high,Bounded channel and explicit BoundedChannelOptions,
CH01B-S003,S-010,IU-010,66ac284b71,CH01,CH01B,verified-from-source-image,high,no,high,BoundedChannelFullMode options,
CH02B-S001,S-011,IU-011,cf5f63afdf,CH02,CH02B,verified-from-source-image,high,no,high,Important behavior: async waiting,
CH02B-S002,S-015,IU-015,07b2d7ba26,CH02,CH02B,verified-from-source-image,high,no,high,WaitToReadAsync and WaitToWriteAsync reader side,
CH02B-S003,S-016,IU-016,d8e4bb36c7,CH02,CH02B,verified-from-source-image,high,no,high,WaitToWriteAsync writer side,
CH02B-S004,S-017,IU-017,3915eae1aa,CH02,CH02B,verified-from-source-image,high,no,high,Completion model and error completion,
CH01C-S001,S-018,IU-018,69ee89af90,CH01,CH01C,verified-from-source-image,high,no,high,Difference from BlockingCollection,
CH01C-S002,S-019,IU-019,500221fcc1,CH01,CH01C,verified-from-source-image,high,no,high,Difference from SemaphoreSlim,
CH01B-S004,S-020,IU-020,3ff670517a,CH01,CH01B,verified-from-source-image,high,no,high,Bounded backpressure example,
CH02C-S001,S-022,IU-022,5c850ac461,CH02,CH02C,verified-from-source-image,high,no,high,Rough mental model: IEnumerable vs IAsyncEnumerable,
CH02C-S002,S-023,IU-023,486873cb36,CH02,CH02C,verified-from-source-image,high,no,high,IAsyncEnumerable as not collected yet / produced over time,
CH02C-S003,S-024,IU-024,c31f01633d,CH02,CH02C,verified-from-source-image,high,no,high,Async iteration with await foreach,
CH02C-S004,S-025,IU-025,13bfb00398,CH02,CH02C,verified-from-source-image,high,no,high,Compare IAsyncEnumerable with normal enumerable,
CH02C-S005,S-026,IU-026,ad70021ac4,CH02,CH02C,verified-from-source-image,high,no,high,ReadAllAsync returns IAsyncEnumerable<T>,
CH02C-S006,S-027,IU-027,d50cd41858,CH02,CH02C,verified-from-source-image,high,no,high,Why WriteAsync / ReadAsync return ValueTask,
CH02D-S001,S-028,IU-028,66f326e2bc,CH02,CH02D,verified-from-source-image,high,no,high,TryComplete meaning,
CH02D-S002,S-029,IU-029,0b4932c634,CH02,CH02D,verified-from-source-image,high,no,high,TryComplete return bool / Complete stricter version,
CH02D-S003,S-030,IU-030,a9c24057ad,CH02,CH02D,verified-from-source-image,high,no,high,Why TryComplete matters / completion means no more writes,
CH02D-S004,S-031,IU-031,b6bbad0f58,CH02,CH02D,verified-from-source-image,high,no,high,WaitToReadAsync and WaitToWriteAsync return ValueTask<bool>,
CH02D-S005,S-032,IU-032,910c68a3ce,CH02,CH02D,verified-from-source-image,high,no,high,WaitToReadAsync pattern,
CH02D-S006,S-033,IU-033,e917fdf9e0,CH02,CH02D,verified-from-source-image,high,no,high,WaitToWriteAsync pattern,
CH01B-S005,S-062,IU-062,3ff670517a,CH01,CH01B,verified-from-source-image,high,no,high,Duplicate canvas use of bounded backpressure example,"Duplicate embedded image use of S-020; treated as a separate canvas occurrence, not extraction error."
