text_id,text,candidate_region,theme
T-001,about await foreach,CH02,canvas text label / local note
T-002,and possible sync reading/writing,CH02,canvas text label / local note
T-003,and async awaiting,CH02,canvas text label / local note
T-004,valuetask,CH02,canvas text label / local note
T-020,unbounded channel,CH01,canvas text label / local note
T-021,bounded channel,CH01,canvas text label / local note
T-022,channeltypes and their options,CH01,canvas text label / local note
T-023,fullmodeoptions,CH01,canvas text label / local note
T-024,channelreader,CH02,canvas text label / local note
T-025,channelreader,CH02,canvas text label / local note
T-026,write,CH02,canvas text label / local note
T-027,read,CH02,canvas text label / local note
T-028,readallasync,CH02,canvas text label / local note
T-029,async waiting,CH02,canvas text label / local note
T-030,channelwriter/reader,CH02,canvas text label / local note
T-031,readasync/writeasync/readallasync/complete,CH02,canvas text label / local note
T-032,and try versions,CH02,canvas text label / local note
T-033,create and get,CH02,canvas text label / local note
T-034,reader or writer,CH02,canvas text label / local note
